year,period,rep_period,weight
2030,1,1,1.0
2030,2,1,1.0
2030,3,1,1.0
2030,4,1,1.0
2030,5,1,1.0
2030,6,1,1.0
2030,7,1,1.0
2030,8,1,1.0
2030,9,1,1.0
2030,10,1,1.0
2030,11,1,1.0
2030,12,1,1.0
2030,13,1,1.0
2030,14,1,1.0
2030,15,1,1.0
2030,16,1,1.0
2030,17,1,1.0
2030,18,1,1.0
2030,19,1,1.0
2030,20,1,1.0
2030,21,1,1.0
2030,22,1,1.0
2030,23,1,1.0
2030,24,1,1.0
2030,25,1,1.0
2030,26,1,1.0
2030,27,1,1.0
2030,28,1,1.0
2030,29,1,1.0
2030,30,1,1.0
2030,31,1,1.0
2030,32,1,1.0
2030,33,1,1.0
2030,34,1,1.0
2030,35,1,1.0
2030,36,1,1.0
2030,37,1,1.0
2030,38,1,1.0
2030,39,1,1.0
2030,40,1,1.0
2030,41,1,1.0
2030,42,1,1.0
2030,43,1,1.0
2030,44,1,1.0
2030,45,1,1.0
2030,46,1,1.0
2030,47,1,1.0
2030,48,1,1.0
2030,49,1,1.0
2030,50,1,1.0
2030,51,1,1.0
2030,52,1,1.0
