asset,type,group,capacity,min_operating_point,investment_method,investment_integer,technical_lifetime,economic_lifetime,discount_rate,consumer_balance_sense,capacity_storage_energy,is_seasonal,use_binary_storage_method,unit_commitment,unit_commitment_method,unit_commitment_integer,ramping,storage_method_energy,energy_to_power_ratio,investment_integer_storage_energy,max_ramp_up,max_ramp_down,start_up_cost,shut_down_cost,max_su_ramp,max_sd_ramp,minimum_up_time,minimum_down_time,start_trajectory,shut_trajectory
CoalSubC1,producer,,303,0.4,simple,true,35,35,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,0.450,0.450,7.09,7.09,0.4,0.4,24,16,8,8
CoalSubC2,producer,,746,0.4,simple,true,35,35,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,0.450,0.450,17.5,17.5,0.4,0.4,24,16,8,8
CoalSubC3,producer,,227,0.4,simple,true,35,35,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,0.450,0.450,5.31,5.31,0.4,0.4,24,16,8,8
CoalSubC4,producer,,110,0.4,simple,true,35,35,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,0.450,0.450,2.57,2.57,0.4,0.4,24,16,8,8
CoalSuperC1,producer,,655,0.5,simple,true,35,35,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,0.600,0.600,13.7,13.7,0.5,0.5,24,16,8,8
CoalSuperC2,producer,,285,0.5,simple,true,35,35,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,0.600,0.600,5.98,5.98,0.5,0.5,24,16,8,8
CoalSuperC3,producer,,140,0.5,simple,true,35,35,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,0.600,0.600,2.94,2.94,0.5,0.5,24,16,8,8
CoalSuperC4,producer,,250,0.5,simple,true,35,35,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,0.600,0.600,5.25,5.25,0.5,0.5,24,16,8,8
CCGT1,producer,,80,0.5,simple,true,15,15,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,1.000,1.000,1.32,1.32,0.5,0.5,16,6,3,3
CCGT2,producer,,9.8,0.5,simple,true,15,15,0.05,==,0.0,false,,true,3var-0T,true,true,false,0.0,false,1.000,1.000,0.162,0.162,0.5,0.5,16,6,3,3
