from_asset,to_asset,commission_year,fixed_cost,investment_cost,investment_limit,capacity_coefficient,conversion_coefficient
CoalSubC1,demand,2030,0,0,,1,1.0
CoalSubC2,demand,2030,0,0,,1,1.0
CoalSubC3,demand,2030,0,0,,1,1.0
CoalSubC4,demand,2030,0,0,,1,1.0
CoalSuperC1,demand,2030,0,0,,1,1.0
CoalSuperC2,demand,2030,0,0,,1,1.0
CoalSuperC3,demand,2030,0,0,,1,1.0
CoalSuperC4,demand,2030,0,0,,1,1.0
CCGT1,demand,2030,0,0,,1,1.0
CCGT2,demand,2030,0,0,,1,1.0
CCGT3,demand,2030,0,0,,1,1.0
CCGT4,demand,2030,0,0,,1,1.0
CCGT5,demand,2030,0,0,,1,1.0
CCGT6,demand,2030,0,0,,1,1.0
CCGT7,demand,2030,0,0,,1,1.0
CCGT8,demand,2030,0,0,,1,1.0
OCGT1,demand,2030,0,0,,1,1.0
OCGT2,demand,2030,0,0,,1,1.0
OCGT3,demand,2030,0,0,,1,1.0
OCGT4,demand,2030,0,0,,1,1.0
OCGT5,demand,2030,0,0,,1,1.0
OCGT6,demand,2030,0,0,,1,1.0
OCGT7,demand,2030,0,0,,1,1.0
OCGT8,demand,2030,0,0,,1,1.0
Nuclear1,demand,2030,0,0,,1,1.0
Nuclear2,demand,2030,0,0,,1,1.0
Nuclear3,demand,2030,0,0,,1,1.0
Nuclear4,demand,2030,0,0,,1,1.0
OnWind,demand,2030,0,0,,1,1.0
OffWind,demand,2030,0,0,,1,1.0
Solar,demand,2030,0,0,,1,1.0
ens,demand,2030,0,0,,1,1.0
