from_asset,to_asset,technical_lifetime,discount_rate,is_transport,investment_integer,economic_lifetime,carrier,capacity
CoalSubC1,demand,10,0.02,false,false,15,electricity,0.0
CoalSubC2,demand,10,0.02,false,false,15,electricity,0.0
CoalSubC3,demand,10,0.02,false,false,15,electricity,0.0
CoalSubC4,demand,10,0.02,false,false,15,electricity,0.0
CoalSuperC1,demand,10,0.02,false,false,15,electricity,0.0
CoalSuperC2,demand,10,0.02,false,false,15,electricity,0.0
CoalSuperC3,demand,10,0.02,false,false,15,electricity,0.0
CoalSuperC4,demand,10,0.02,false,false,15,electricity,0.0
CCGT1,demand,10,0.02,false,false,15,electricity,0.0
CCGT2,demand,10,0.02,false,false,15,electricity,0.0
CCGT3,demand,10,0.02,false,false,15,electricity,0.0
CCGT4,demand,10,0.02,false,false,15,electricity,0.0
CCGT5,demand,10,0.02,false,false,15,electricity,0.0
CCGT6,demand,10,0.02,false,false,15,electricity,0.0
CCGT7,demand,10,0.02,false,false,15,electricity,0.0
CCGT8,demand,10,0.02,false,false,15,electricity,0.0
OCGT1,demand,10,0.02,false,false,15,electricity,0.0
OCGT2,demand,10,0.02,false,false,15,electricity,0.0
OCGT3,demand,10,0.02,false,false,15,electricity,0.0
OCGT4,demand,10,0.02,false,false,15,electricity,0.0
OCGT5,demand,10,0.02,false,false,15,electricity,0.0
OCGT6,demand,10,0.02,false,false,15,electricity,0.0
OCGT7,demand,10,0.02,false,false,15,electricity,0.0
OCGT8,demand,10,0.02,false,false,15,electricity,0.0
Nuclear1,demand,10,0.02,false,false,15,electricity,0.0
Nuclear2,demand,10,0.02,false,false,15,electricity,0.0
Nuclear3,demand,10,0.02,false,false,15,electricity,0.0
Nuclear4,demand,10,0.02,false,false,15,electricity,0.0
OnWind,demand,10,0.02,false,false,15,electricity,0.0
OffWind,demand,10,0.02,false,false,15,electricity,0.0
Solar,demand,10,0.02,false,false,15,electricity,0.0
ens,demand,10,0.02,false,false,15,electricity,0.0
