year,period,num_timesteps
2030,1,672
2030,2,672
2030,3,672
2030,4,672
2030,5,672
2030,6,672
2030,7,672
2030,8,672
2030,9,672
2030,10,672
2030,11,672
2030,12,672
2030,13,672
2030,14,672
2030,15,672
2030,16,672
2030,17,672
2030,18,672
2030,19,672
2030,20,672
2030,21,672
2030,22,672
2030,23,672
2030,24,672
2030,25,672
2030,26,672
2030,27,672
2030,28,672
2030,29,672
2030,30,672
2030,31,672
2030,32,672
2030,33,672
2030,34,672
2030,35,672
2030,36,672
2030,37,672
2030,38,672
2030,39,672
2030,40,672
2030,41,672
2030,42,672
2030,43,672
2030,44,672
2030,45,672
2030,46,672
2030,47,672
2030,48,672
2030,49,672
2030,50,672
2030,51,672
2030,52,672
