from_asset,to_asset,milestone_year,investable,operational_cost,reactance,dc_opf
CoalSubC1,demand,2030,false,0.0077,0.3,false
CoalSubC2,demand,2030,false,0.0077,0.3,false
CoalSubC3,demand,2030,false,0.0077,0.3,false
CoalSubC4,demand,2030,false,0.0077,0.3,false
CoalSuperC1,demand,2030,false,0.006,0.3,false
CoalSuperC2,demand,2030,false,0.006,0.3,false
CoalSuperC3,demand,2030,false,0.006,0.3,false
CoalSuperC4,demand,2030,false,0.006,0.3,false
CCGT1,demand,2030,false,0.005,0.3,false
CCGT2,demand,2030,false,0.005,0.3,false
CCGT3,demand,2030,false,0.005,0.3,false
CCGT4,demand,2030,false,0.005,0.3,false
CCGT5,demand,2030,false,0.005,0.3,false
CCGT6,demand,2030,false,0.005,0.3,false
CCGT7,demand,2030,false,0.005,0.3,false
CCGT8,demand,2030,false,0.005,0.3,false
OCGT1,demand,2030,false,0.004,0.3,false
OCGT2,demand,2030,false,0.004,0.3,false
OCGT3,demand,2030,false,0.004,0.3,false
OCGT4,demand,2030,false,0.004,0.3,false
OCGT5,demand,2030,false,0.004,0.3,false
OCGT6,demand,2030,false,0.004,0.3,false
OCGT7,demand,2030,false,0.004,0.3,false
OCGT8,demand,2030,false,0.004,0.3,false
Nuclear1,demand,2030,false,0.0111,0.3,false
Nuclear2,demand,2030,false,0.0111,0.3,false
Nuclear3,demand,2030,false,0.0111,0.3,false
Nuclear4,demand,2030,false,0.0111,0.3,false
OnWind,demand,2030,false,0.0,0.3,false
OffWind,demand,2030,false,0.0,0.3,false
Solar,demand,2030,false,0.01,0.3,false
ens,demand,2030,false,0.77,0.3,false
