from_asset,to_asset,commission_year,conversion_coefficient,storage_coefficient,investment_max_limit,investment_min_limit
wind,e_demand,2030,1.0,1.0,,0.0
ccgt,e_demand,2030,1.0,1.0,,0.0
ocgt,e_demand,2030,1.0,1.0,,0.0
solar,e_demand,2030,1.0,1.0,,0.0
ens,e_demand,2030,1.0,1.0,,0.0
wind,electrolizer,2030,1.0,1.0.0,,0.0
electrolizer,h2_demand,2030,0.65,1.0,,0.0
smr_ccs,h2_demand,2030,1.0,1.0.0,,0.0
wind_offshore,hub,2030,1.0,1.0.0,,0.0
wind_offshore,electrolizer,2030,1.0,1.0.0,,0.0
hub,e_demand,2030,1.0,1.0.0,,0.0
