id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_consumer
1,e_demand,2030,1,1,1,6650.0
2,e_demand,2030,1,2,2,6650.0
3,e_demand,2030,1,3,3,6650.0
4,e_demand,2030,1,4,4,6650.0
5,e_demand,2030,1,5,5,6650.0
6,e_demand,2030,1,6,6,6650.0
7,e_demand,2030,1,7,7,6650.0
8,e_demand,2030,1,8,8,6650.0
9,e_demand,2030,1,9,9,6650.0
10,e_demand,2030,1,10,10,6650.0
11,e_demand,2030,1,11,11,6650.0
12,e_demand,2030,1,12,12,6650.0
13,e_demand,2030,1,13,13,6650.0
14,e_demand,2030,1,14,14,6650.0
15,e_demand,2030,1,15,15,6650.0
16,e_demand,2030,1,16,16,6650.0
17,e_demand,2030,1,17,17,6650.0
18,e_demand,2030,1,18,18,6650.0
19,e_demand,2030,1,19,19,6650.0
20,e_demand,2030,1,20,20,6650.0
21,e_demand,2030,1,21,21,6650.0
22,e_demand,2030,1,22,22,6650.0
23,e_demand,2030,1,23,23,6650.0
24,e_demand,2030,1,24,24,6650.0
25,e_demand,2030,2,1,1,4000.0
26,e_demand,2030,2,2,2,4000.0
27,e_demand,2030,2,3,3,4000.0
28,e_demand,2030,2,4,4,4000.0
29,e_demand,2030,2,5,5,4000.0
30,e_demand,2030,2,6,6,4000.0
31,e_demand,2030,2,7,7,4000.0
32,e_demand,2030,2,8,8,4000.0
33,e_demand,2030,2,9,9,4000.0
34,e_demand,2030,2,10,10,4000.0
35,e_demand,2030,2,11,11,4000.0
36,e_demand,2030,2,12,12,4000.0
37,e_demand,2030,2,13,13,4000.0
38,e_demand,2030,2,14,14,4000.0
39,e_demand,2030,2,15,15,4000.0
40,e_demand,2030,2,16,16,4000.0
41,e_demand,2030,2,17,17,4000.0
42,e_demand,2030,2,18,18,4000.0
43,e_demand,2030,2,19,19,4000.0
44,e_demand,2030,2,20,20,4000.0
45,e_demand,2030,2,21,21,4000.0
46,e_demand,2030,2,22,22,4000.0
47,e_demand,2030,2,23,23,4000.0
48,e_demand,2030,2,24,24,4000.0
49,e_demand,2030,3,1,1,1300.0
50,e_demand,2030,3,2,2,1300.0
51,e_demand,2030,3,3,3,1300.0
52,e_demand,2030,3,4,4,1300.0
53,e_demand,2030,3,5,5,1300.0
54,e_demand,2030,3,6,6,1300.0
55,e_demand,2030,3,7,7,1300.0
56,e_demand,2030,3,8,8,1300.0
57,e_demand,2030,3,9,9,1300.0
58,e_demand,2030,3,10,10,1300.0
59,e_demand,2030,3,11,11,1300.0
60,e_demand,2030,3,12,12,260.0
61,e_demand,2030,3,13,13,260.0
62,e_demand,2030,3,14,14,1300.0
63,e_demand,2030,3,15,15,1300.0
64,e_demand,2030,3,16,16,1300.0
65,e_demand,2030,3,17,17,1300.0
66,e_demand,2030,3,18,18,1300.0
67,e_demand,2030,3,19,19,1300.0
68,e_demand,2030,3,20,20,1300.0
69,e_demand,2030,3,21,21,1300.0
70,e_demand,2030,3,22,22,1300.0
71,e_demand,2030,3,23,23,1300.0
72,e_demand,2030,3,24,24,1300.0
73,e_demand,2030,4,1,1,195.0
74,e_demand,2030,4,2,2,195.0
75,e_demand,2030,4,3,3,195.0
76,e_demand,2030,4,4,4,195.0
77,e_demand,2030,4,5,5,1950.0
78,e_demand,2030,4,6,6,1950.0
79,e_demand,2030,4,7,7,1950.0
80,e_demand,2030,4,8,8,1950.0
81,e_demand,2030,4,9,9,390.0
82,e_demand,2030,4,10,10,390.0
83,e_demand,2030,4,11,11,390.0
84,e_demand,2030,4,12,12,390.0
85,e_demand,2030,4,13,13,390.0
86,e_demand,2030,4,14,14,390.0
87,e_demand,2030,4,15,15,390.0
88,e_demand,2030,4,16,16,390.0
89,e_demand,2030,4,17,17,1950.0
90,e_demand,2030,4,18,18,1950.0
91,e_demand,2030,4,19,19,1950.0
92,e_demand,2030,4,20,20,1950.0
93,e_demand,2030,4,21,21,1950.0
94,e_demand,2030,4,22,22,1950.0
95,e_demand,2030,4,23,23,1950.0
96,e_demand,2030,4,24,24,1950.0
97,e_demand,2030,5,1,1,1950.0
98,e_demand,2030,5,2,2,1950.0
99,e_demand,2030,5,3,3,1950.0
100,e_demand,2030,5,4,4,1950.0
101,e_demand,2030,5,5,5,1950.0
102,e_demand,2030,5,6,6,1950.0
103,e_demand,2030,5,7,7,1950.0
104,e_demand,2030,5,8,8,1950.0
105,e_demand,2030,5,9,9,1950.0
106,e_demand,2030,5,10,10,390.0
107,e_demand,2030,5,11,11,390.0
108,e_demand,2030,5,12,12,390.0
109,e_demand,2030,5,13,13,390.0
110,e_demand,2030,5,14,14,390.0
111,e_demand,2030,5,15,15,390.0
112,e_demand,2030,5,16,16,1950.0
113,e_demand,2030,5,17,17,1950.0
114,e_demand,2030,5,18,18,1950.0
115,e_demand,2030,5,19,19,1950.0
116,e_demand,2030,5,20,20,1950.0
117,e_demand,2030,5,21,21,1950.0
118,e_demand,2030,5,22,22,1950.0
119,e_demand,2030,5,23,23,195.0
120,e_demand,2030,5,24,24,195.0
121,e_demand,2030,6,1,1,1350.0
122,e_demand,2030,6,2,2,1350.0
123,e_demand,2030,6,3,3,1350.0
124,e_demand,2030,6,4,4,1350.0
125,e_demand,2030,6,5,5,1350.0
126,e_demand,2030,6,6,6,1350.0
127,e_demand,2030,6,7,7,1350.0
128,e_demand,2030,6,8,8,1350.0
129,e_demand,2030,6,9,9,1350.0
130,e_demand,2030,6,10,10,1350.0
131,e_demand,2030,6,11,11,1350.0
132,e_demand,2030,6,12,12,1350.0
133,e_demand,2030,6,13,13,1350.0
134,e_demand,2030,6,14,14,1350.0
135,e_demand,2030,6,15,15,1350.0
136,e_demand,2030,6,16,16,1350.0
137,e_demand,2030,6,17,17,1350.0
138,e_demand,2030,6,18,18,1350.0
139,e_demand,2030,6,19,19,1350.0
140,e_demand,2030,6,20,20,1350.0
141,e_demand,2030,6,21,21,1350.0
142,e_demand,2030,6,22,22,1350.0
143,e_demand,2030,6,23,23,1350.0
144,e_demand,2030,6,24,24,1350.0
145,e_demand,2030,7,1,1,1050.0
146,e_demand,2030,7,2,2,1050.0
147,e_demand,2030,7,3,3,1050.0
148,e_demand,2030,7,4,4,1050.0
149,e_demand,2030,7,5,5,1050.0
150,e_demand,2030,7,6,6,1050.0
151,e_demand,2030,7,7,7,1050.0
152,e_demand,2030,7,8,8,1050.0
153,e_demand,2030,7,9,9,1050.0
154,e_demand,2030,7,10,10,1050.0
155,e_demand,2030,7,11,11,1050.0
156,e_demand,2030,7,12,12,1050.0
157,e_demand,2030,7,13,13,1050.0
158,e_demand,2030,7,14,14,1050.0
159,e_demand,2030,7,15,15,1050.0
160,e_demand,2030,7,16,16,1050.0
