id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_conversion
1,electrolizer,2030,1,1,1,6650.0
2,electrolizer,2030,1,2,2,20461.53846153846
3,electrolizer,2030,1,3,3,6650.0
4,electrolizer,2030,1,4,4,6650.0
5,electrolizer,2030,1,5,5,6650.0
6,electrolizer,2030,1,6,6,20461.53846153846
7,electrolizer,2030,1,7,7,20461.53846153846
8,electrolizer,2030,1,8,8,6650.0
9,electrolizer,2030,1,9,9,20461.53846153846
10,electrolizer,2030,1,10,10,6650.0
11,electrolizer,2030,1,11,11,6650.0
12,electrolizer,2030,1,12,12,6650.0
13,electrolizer,2030,1,13,13,6650.0
14,electrolizer,2030,1,14,14,6650.0
15,electrolizer,2030,1,15,15,6650.0
16,electrolizer,2030,1,16,16,6650.0
17,electrolizer,2030,1,17,17,6650.0
18,electrolizer,2030,1,18,18,6650.0
19,electrolizer,2030,1,19,19,6650.0
20,electrolizer,2030,1,20,20,6650.0
21,electrolizer,2030,1,21,21,6650.0
22,electrolizer,2030,1,22,22,6650.0
23,electrolizer,2030,1,23,23,6650.0
24,electrolizer,2030,1,24,24,6650.0
25,electrolizer,2030,2,1,1,400.0
26,electrolizer,2030,2,2,2,400.0
27,electrolizer,2030,2,3,3,400.0
28,electrolizer,2030,2,4,4,400.0
29,electrolizer,2030,2,5,5,400.0
30,electrolizer,2030,2,6,6,400.0
31,electrolizer,2030,2,7,7,400.0
32,electrolizer,2030,2,8,8,400.0
33,electrolizer,2030,2,9,9,400.0
34,electrolizer,2030,2,10,10,400.0
35,electrolizer,2030,2,11,11,400.0
36,electrolizer,2030,2,12,12,400.0
37,electrolizer,2030,2,13,13,400.0
38,electrolizer,2030,2,14,14,400.0
39,electrolizer,2030,2,15,15,400.0
40,electrolizer,2030,2,16,16,400.0
41,electrolizer,2030,2,17,17,400.0
42,electrolizer,2030,2,18,18,400.0
43,electrolizer,2030,2,19,19,400.0
44,electrolizer,2030,2,20,20,400.0
45,electrolizer,2030,2,21,21,400.0
46,electrolizer,2030,2,22,22,400.0
47,electrolizer,2030,2,23,23,400.0
48,electrolizer,2030,2,24,24,400.0
49,electrolizer,2030,3,1,1,1300.0
50,electrolizer,2030,3,2,2,1300.0
51,electrolizer,2030,3,3,3,1300.0
52,electrolizer,2030,3,4,4,1300.0
53,electrolizer,2030,3,5,5,1300.0
54,electrolizer,2030,3,6,6,1300.0
55,electrolizer,2030,3,7,7,1300.0
56,electrolizer,2030,3,8,8,1300.0
57,electrolizer,2030,3,9,9,1300.0
58,electrolizer,2030,3,10,10,130.0
59,electrolizer,2030,3,11,11,130.0
60,electrolizer,2030,3,12,12,130.0
61,electrolizer,2030,3,13,13,130.0
62,electrolizer,2030,3,14,14,130.0
63,electrolizer,2030,3,15,15,130.0
64,electrolizer,2030,3,16,16,130.0
65,electrolizer,2030,3,17,17,1300.0
66,electrolizer,2030,3,18,18,1300.0
67,electrolizer,2030,3,19,19,1300.0
68,electrolizer,2030,3,20,20,1300.0
69,electrolizer,2030,3,21,21,1300.0
70,electrolizer,2030,3,22,22,1300.0
71,electrolizer,2030,3,23,23,1300.0
72,electrolizer,2030,3,24,24,1300.0
73,electrolizer,2030,4,1,1,195.0
74,electrolizer,2030,4,2,2,195.0
75,electrolizer,2030,4,3,3,195.0
76,electrolizer,2030,4,4,4,195.0
77,electrolizer,2030,4,5,5,195.0
78,electrolizer,2030,4,6,6,195.0
79,electrolizer,2030,4,7,7,195.0
80,electrolizer,2030,4,8,8,195.0
81,electrolizer,2030,4,9,9,195.0
82,electrolizer,2030,4,10,10,195.0
83,electrolizer,2030,4,11,11,195.0
84,electrolizer,2030,4,12,12,195.0
85,electrolizer,2030,4,13,13,195.0
86,electrolizer,2030,4,14,14,195.0
87,electrolizer,2030,4,15,15,195.0
88,electrolizer,2030,4,16,16,195.0
89,electrolizer,2030,4,17,17,195.0
90,electrolizer,2030,4,18,18,195.0
91,electrolizer,2030,4,19,19,1950.0
92,electrolizer,2030,4,20,20,1950.0
93,electrolizer,2030,4,21,21,1950.0
94,electrolizer,2030,4,22,22,1950.0
95,electrolizer,2030,4,23,23,1950.0
96,electrolizer,2030,4,24,24,1950.0
97,electrolizer,2030,5,1,1,1950.0
98,electrolizer,2030,5,2,2,195.0
99,electrolizer,2030,5,3,3,1950.0
100,electrolizer,2030,5,4,4,195.0
101,electrolizer,2030,5,5,5,1950.0
102,electrolizer,2030,5,6,6,195.0
103,electrolizer,2030,5,7,7,1950.0
104,electrolizer,2030,5,8,8,1950.0
105,electrolizer,2030,5,9,9,195.0
106,electrolizer,2030,5,10,10,195.0
107,electrolizer,2030,5,11,11,195.0
108,electrolizer,2030,5,12,12,195.0
109,electrolizer,2030,5,13,13,195.0
110,electrolizer,2030,5,14,14,195.0
111,electrolizer,2030,5,15,15,195.0
112,electrolizer,2030,5,16,16,195.0
113,electrolizer,2030,5,17,17,195.0
114,electrolizer,2030,5,18,18,195.0
115,electrolizer,2030,5,19,19,195.0
116,electrolizer,2030,5,20,20,195.0
117,electrolizer,2030,5,21,21,195.0
118,electrolizer,2030,5,22,22,195.0
119,electrolizer,2030,5,23,23,195.0
120,electrolizer,2030,5,24,24,195.0
121,electrolizer,2030,6,1,1,1350.0
122,electrolizer,2030,6,2,2,1350.0
123,electrolizer,2030,6,3,3,1350.0
124,electrolizer,2030,6,4,4,1350.0
125,electrolizer,2030,6,5,5,1350.0
126,electrolizer,2030,6,6,6,1350.0
127,electrolizer,2030,6,7,7,1350.0
128,electrolizer,2030,6,8,8,1350.0
129,electrolizer,2030,6,9,9,1350.0
130,electrolizer,2030,6,10,10,1350.0
131,electrolizer,2030,6,11,11,1350.0
132,electrolizer,2030,6,12,12,135.0
133,electrolizer,2030,6,13,13,135.0
134,electrolizer,2030,6,14,14,135.0
135,electrolizer,2030,6,15,15,135.0
136,electrolizer,2030,6,16,16,135.0
137,electrolizer,2030,6,17,17,135.0
138,electrolizer,2030,6,18,18,135.0
139,electrolizer,2030,6,19,19,135.0
140,electrolizer,2030,6,20,20,135.0
141,electrolizer,2030,6,21,21,135.0
142,electrolizer,2030,6,22,22,135.0
143,electrolizer,2030,6,23,23,135.0
144,electrolizer,2030,6,24,24,135.0
145,electrolizer,2030,7,1,1,1050.0
146,electrolizer,2030,7,2,2,1050.0
147,electrolizer,2030,7,3,3,105.0
148,electrolizer,2030,7,4,4,105.0
149,electrolizer,2030,7,5,5,105.0
150,electrolizer,2030,7,6,6,105.0
151,electrolizer,2030,7,7,7,105.0
152,electrolizer,2030,7,8,8,105.0
153,electrolizer,2030,7,9,9,1050.0
154,electrolizer,2030,7,10,10,1050.0
155,electrolizer,2030,7,11,11,1050.0
156,electrolizer,2030,7,12,12,1050.0
157,electrolizer,2030,7,13,13,1050.0
158,electrolizer,2030,7,14,14,1050.0
159,electrolizer,2030,7,15,15,1050.0
160,electrolizer,2030,7,16,16,1050.0
161,electrolizer,2030,7,17,17,1050.0
162,electrolizer,2030,7,18,18,1050.0
163,electrolizer,2030,7,19,19,1050.0
164,electrolizer,2030,7,20,20,1050.0
165,electrolizer,2030,7,21,21,1050.0
166,electrolizer,2030,7,22,22,1050.0
167,electrolizer,2030,7,23,23,1050.0
168,electrolizer,2030,7,24,24,1050.0
