id,from_asset,to_asset,year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,ens,e_demand,2030,1,1.0,1.0,1,1,0.0
2,ens,e_demand,2030,1,1.0,1.0,2,2,0.0
3,ens,e_demand,2030,1,1.0,1.0,3,3,0.0
4,ens,e_demand,2030,1,1.0,1.0,4,4,0.0
5,ens,e_demand,2030,1,1.0,1.0,5,5,0.0
6,ens,e_demand,2030,1,1.0,1.0,6,6,0.0
7,ens,e_demand,2030,1,1.0,1.0,7,7,0.0
8,ens,e_demand,2030,1,1.0,1.0,8,8,0.0
9,ens,e_demand,2030,1,1.0,1.0,9,9,0.0
10,ens,e_demand,2030,1,1.0,1.0,10,10,0.0
11,ens,e_demand,2030,1,1.0,1.0,11,11,0.0
12,ens,e_demand,2030,1,1.0,1.0,12,12,0.0
13,ens,e_demand,2030,1,1.0,1.0,13,13,0.0
14,ens,e_demand,2030,1,1.0,1.0,14,14,0.0
15,ens,e_demand,2030,1,1.0,1.0,15,15,0.0
16,ens,e_demand,2030,1,1.0,1.0,16,16,0.0
17,ens,e_demand,2030,1,1.0,1.0,17,17,0.0
18,ens,e_demand,2030,1,1.0,1.0,18,18,0.0
19,ens,e_demand,2030,1,1.0,1.0,19,19,0.0
20,ens,e_demand,2030,1,1.0,1.0,20,20,0.0
21,ens,e_demand,2030,1,1.0,1.0,21,21,0.0
22,ens,e_demand,2030,1,1.0,1.0,22,22,0.0
23,ens,e_demand,2030,1,1.0,1.0,23,23,0.0
24,ens,e_demand,2030,1,1.0,1.0,24,24,0.0
25,ocgt,e_demand,2030,1,1.0,1.0,1,1,0.0
26,ocgt,e_demand,2030,1,1.0,1.0,2,2,0.0
27,ocgt,e_demand,2030,1,1.0,1.0,3,3,0.0
28,ocgt,e_demand,2030,1,1.0,1.0,4,4,0.0
29,ocgt,e_demand,2030,1,1.0,1.0,5,5,0.0
30,ocgt,e_demand,2030,1,1.0,1.0,6,6,0.0
31,ocgt,e_demand,2030,1,1.0,1.0,7,7,0.0
32,ocgt,e_demand,2030,1,1.0,1.0,8,8,0.0
33,ocgt,e_demand,2030,1,1.0,1.0,9,9,0.0
34,ocgt,e_demand,2030,1,1.0,1.0,10,10,0.0
35,ocgt,e_demand,2030,1,1.0,1.0,11,11,0.0
36,ocgt,e_demand,2030,1,1.0,1.0,12,12,0.0
37,ocgt,e_demand,2030,1,1.0,1.0,13,13,0.0
38,ocgt,e_demand,2030,1,1.0,1.0,14,14,0.0
39,ocgt,e_demand,2030,1,1.0,1.0,15,15,0.0
40,ocgt,e_demand,2030,1,1.0,1.0,16,16,0.0
41,ocgt,e_demand,2030,1,1.0,1.0,17,17,0.0
42,ocgt,e_demand,2030,1,1.0,1.0,18,18,0.0
43,ocgt,e_demand,2030,1,1.0,1.0,19,19,0.0
44,ocgt,e_demand,2030,1,1.0,1.0,20,20,0.0
45,ocgt,e_demand,2030,1,1.0,1.0,21,21,0.0
46,ocgt,e_demand,2030,1,1.0,1.0,22,22,0.0
47,ocgt,e_demand,2030,1,1.0,1.0,23,23,0.0
48,ocgt,e_demand,2030,1,1.0,1.0,24,24,0.0
49,ccgt,e_demand,2030,1,1.0,1.0,1,1,534.8382038
50,ccgt,e_demand,2030,1,1.0,1.0,2,2,535.673211
51,ccgt,e_demand,2030,1,1.0,1.0,3,3,533.6182348
52,ccgt,e_demand,2030,1,1.0,1.0,4,4,488.5798314
53,ccgt,e_demand,2030,1,1.0,1.0,5,5,552.2559506000001
54,ccgt,e_demand,2030,1,1.0,1.0,6,6,585.832416
55,ccgt,e_demand,2030,1,1.0,1.0,7,7,622.646342
56,ccgt,e_demand,2030,1,1.0,1.0,8,8,610.0345489000001
57,ccgt,e_demand,2030,1,1.0,1.0,9,9,571.786612
58,ccgt,e_demand,2030,1,1.0,1.0,10,10,483.89398600000004
59,ccgt,e_demand,2030,1,1.0,1.0,11,11,392.3663154999999
60,ccgt,e_demand,2030,1,1.0,1.0,12,12,357.1427295
61,ccgt,e_demand,2030,1,1.0,1.0,13,13,362.6504401000001
62,ccgt,e_demand,2030,1,1.0,1.0,14,14,346.3813399
63,ccgt,e_demand,2030,1,1.0,1.0,15,15,361.31245119999994
64,ccgt,e_demand,2030,1,1.0,1.0,16,16,414.6093717
65,ccgt,e_demand,2030,1,1.0,1.0,17,17,445.99106850000004
66,ccgt,e_demand,2030,1,1.0,1.0,18,18,479.49363080000006
67,ccgt,e_demand,2030,1,1.0,1.0,19,19,497.2816246
68,ccgt,e_demand,2030,1,1.0,1.0,20,20,491.6987913
69,ccgt,e_demand,2030,1,1.0,1.0,21,21,457.14089779999995
70,ccgt,e_demand,2030,1,1.0,1.0,22,22,392.1795314
71,ccgt,e_demand,2030,1,1.0,1.0,23,23,332.4256165999999
72,ccgt,e_demand,2030,1,1.0,1.0,24,24,291.69917640000006
73,wind,e_demand,2030,1,1.0,1.0,1,1,0.0
74,wind,e_demand,2030,1,1.0,1.0,2,2,0.0
75,wind,e_demand,2030,1,1.0,1.0,3,3,0.0
76,wind,e_demand,2030,1,1.0,1.0,4,4,58.695713600000005
77,wind,e_demand,2030,1,1.0,1.0,5,5,0.0
78,wind,e_demand,2030,1,1.0,1.0,6,6,0.0
79,wind,e_demand,2030,1,1.0,1.0,7,7,0.0
80,wind,e_demand,2030,1,1.0,1.0,8,8,0.0
81,wind,e_demand,2030,1,1.0,1.0,9,9,0.0
82,wind,e_demand,2030,1,1.0,1.0,10,10,0.0
83,wind,e_demand,2030,1,1.0,1.0,11,11,68.197484
84,wind,e_demand,2030,1,1.0,1.0,12,12,69.05899
85,wind,e_demand,2030,1,1.0,1.0,13,13,0.0
86,wind,e_demand,2030,1,1.0,1.0,14,14,7.550102800000005
87,wind,e_demand,2030,1,1.0,1.0,15,15,10.278806399999993
88,wind,e_demand,2030,1,1.0,1.0,16,16,11.238050400000006
89,wind,e_demand,2030,1,1.0,1.0,17,17,15.305945999999992
90,wind,e_demand,2030,1,1.0,1.0,18,18,87.6103896
91,wind,e_demand,2030,1,1.0,1.0,19,19,98.4386792
92,wind,e_demand,2030,1,1.0,1.0,20,20,49.2857796
93,wind,e_demand,2030,1,1.0,1.0,21,21,46.331531600000005
94,wind,e_demand,2030,1,1.0,1.0,22,22,124.34279079999999
95,wind,e_demand,2030,1,1.0,1.0,23,23,67.49102720000002
96,wind,e_demand,2030,1,1.0,1.0,24,24,141.8275228
97,solar,e_demand,2030,1,1.0,1.0,1,1,-0.0
98,solar,e_demand,2030,1,1.0,1.0,2,2,-0.0
99,solar,e_demand,2030,1,1.0,1.0,3,3,-0.0
100,solar,e_demand,2030,1,1.0,1.0,4,4,-0.0
101,solar,e_demand,2030,1,1.0,1.0,5,5,-0.0
102,solar,e_demand,2030,1,1.0,1.0,6,6,-0.0
103,solar,e_demand,2030,1,1.0,1.0,7,7,-0.0
104,solar,e_demand,2030,1,1.0,1.0,8,8,24.9029165
105,solar,e_demand,2030,1,1.0,1.0,9,9,72.81303899999999
106,solar,e_demand,2030,1,1.0,1.0,10,10,130.731779
107,solar,e_demand,2030,1,1.0,1.0,11,11,191.8641975
108,solar,e_demand,2030,1,1.0,1.0,12,12,232.36908449999999
109,solar,e_demand,2030,1,1.0,1.0,13,13,253.3874215
110,solar,e_demand,2030,1,1.0,1.0,14,14,250.5371945
111,solar,e_demand,2030,1,1.0,1.0,15,15,229.999821
112,solar,e_demand,2030,1,1.0,1.0,16,16,195.7468605
113,solar,e_demand,2030,1,1.0,1.0,17,17,138.3859585
114,solar,e_demand,2030,1,1.0,1.0,18,18,78.880253
115,solar,e_demand,2030,1,1.0,1.0,19,19,32.156982
116,solar,e_demand,2030,1,1.0,1.0,20,20,0.6488524999999999
117,solar,e_demand,2030,1,1.0,1.0,21,21,-0.0
118,solar,e_demand,2030,1,1.0,1.0,22,22,-0.0
119,solar,e_demand,2030,1,1.0,1.0,23,23,-0.0
120,solar,e_demand,2030,1,1.0,1.0,24,24,-0.0
121,wind,electrolizer,2030,1,1.0,1.0,1,1,35.7907956
122,wind,electrolizer,2030,1,1.0,1.0,2,2,30.885102399999997
123,wind,electrolizer,2030,1,1.0,1.0,3,3,33.3870536
124,wind,electrolizer,2030,1,1.0,1.0,4,4,3.1521431999999976
125,wind,electrolizer,2030,1,1.0,1.0,5,5,46.7654012
126,wind,electrolizer,2030,1,1.0,1.0,6,6,31.0582664
127,wind,electrolizer,2030,1,1.0,1.0,7,7,20.8079332
128,wind,electrolizer,2030,1,1.0,1.0,8,8,36.5738128
129,wind,electrolizer,2030,1,1.0,1.0,9,9,24.0434776
130,wind,electrolizer,2030,1,1.0,1.0,10,10,53.01278000000001
131,wind,electrolizer,2030,1,1.0,1.0,11,11,0.0
132,wind,electrolizer,2030,1,1.0,1.0,12,12,0.0
133,wind,electrolizer,2030,1,1.0,1.0,13,13,62.5115012
134,wind,electrolizer,2030,1,1.0,1.0,14,14,65.0
135,wind,electrolizer,2030,1,1.0,1.0,15,15,65.0
136,wind,electrolizer,2030,1,1.0,1.0,16,16,65.0
137,wind,electrolizer,2030,1,1.0,1.0,17,17,65.0
138,wind,electrolizer,2030,1,1.0,1.0,18,18,0.0
139,wind,electrolizer,2030,1,1.0,1.0,19,19,0.0
140,wind,electrolizer,2030,1,1.0,1.0,20,20,65.0
141,wind,electrolizer,2030,1,1.0,1.0,21,21,65.0
142,wind,electrolizer,2030,1,1.0,1.0,22,22,0.0
143,wind,electrolizer,2030,1,1.0,1.0,23,23,65.0
144,wind,electrolizer,2030,1,1.0,1.0,24,24,0.0
145,electrolizer,h2_demand,2030,1,1.0,0.65,1,1,100.0
146,electrolizer,h2_demand,2030,1,1.0,0.65,2,2,95.0310843076923
147,electrolizer,h2_demand,2030,1,1.0,0.65,3,3,100.0
148,electrolizer,h2_demand,2030,1,1.0,0.65,4,4,100.0
149,electrolizer,h2_demand,2030,1,1.0,0.65,5,5,100.0
150,electrolizer,h2_demand,2030,1,1.0,0.65,6,6,95.56389661538462
151,electrolizer,h2_demand,2030,1,1.0,0.65,7,7,64.02440984615384
152,electrolizer,h2_demand,2030,1,1.0,0.65,8,8,100.0
153,electrolizer,h2_demand,2030,1,1.0,0.65,9,9,73.97993107692307
154,electrolizer,h2_demand,2030,1,1.0,0.65,10,10,100.0
155,electrolizer,h2_demand,2030,1,1.0,0.65,11,11,100.0
