profile_name,year,period,timestep,value
availability-wind,2030,1,1,0.975744495
availability-wind,2030,1,2,0.974481951
availability-wind,2030,1,3,0.974812418
availability-wind,2030,1,4,0.977629529
availability-wind,2030,1,5,0.976298455
availability-wind,2030,1,6,0.976918101
availability-wind,2030,1,7,0.976978617
availability-wind,2030,1,8,0.972971882
availability-wind,2030,1,9,0.973027353
availability-wind,2030,1,10,0.9766685
availability-wind,2030,1,11,0.977240991
availability-wind,2030,1,12,0.978000298
availability-wind,2030,1,13,0.978449519
availability-wind,2030,1,14,0.978303223
availability-wind,2030,1,15,0.97886613
availability-wind,2030,1,16,0.978702233
availability-wind,2030,1,17,0.979181344
availability-wind,2030,1,18,0.979192452
availability-wind,2030,1,19,0.979198743
availability-wind,2030,1,20,0.96731231
availability-wind,2030,1,21,0.716343273
availability-wind,2030,1,22,0.730743085
availability-wind,2030,1,23,0.641879866
availability-wind,2030,1,24,0.53504365
availability-wind,2030,1,25,0.753506717
availability-wind,2030,1,26,0.735375427
availability-wind,2030,1,27,0.689022361
availability-wind,2030,1,28,0.600063141
availability-wind,2030,1,29,0.937494308
availability-wind,2030,1,30,0.978935108
availability-wind,2030,1,31,0.97919998
availability-wind,2030,1,32,0.979199776
availability-wind,2030,1,33,0.979168481
availability-wind,2030,1,34,0.978778019
availability-wind,2030,1,35,0.97876972
availability-wind,2030,1,36,0.975801645
availability-wind,2030,1,37,0.979162079
availability-wind,2030,1,38,0.979140634
availability-wind,2030,1,39,0.979138623
availability-wind,2030,1,40,0.97912968
availability-wind,2030,1,41,0.978973883
availability-wind,2030,1,42,0.978928089
availability-wind,2030,1,43,0.979087898
availability-wind,2030,1,44,0.978791493
availability-wind,2030,1,45,0.979060189
availability-wind,2030,1,46,0.977520252
availability-wind,2030,1,47,0.978227344
availability-wind,2030,1,48,0.973689662
availability-wind,2030,1,49,0.972680237
availability-wind,2030,1,50,0.969142883
availability-wind,2030,1,51,0.964693519
availability-wind,2030,1,52,0.967909582
availability-wind,2030,1,53,0.975804388
availability-wind,2030,1,54,0.977208091
availability-wind,2030,1,55,0.977300928
availability-wind,2030,1,56,0.965881996
availability-wind,2030,1,57,0.964609564
availability-wind,2030,1,58,0.956589678
availability-wind,2030,1,59,0.88853488
availability-wind,2030,1,60,0.770516254
availability-wind,2030,1,61,0.771229517
availability-wind,2030,1,62,0.750918361
availability-wind,2030,1,63,0.694290396
availability-wind,2030,1,64,0.699257137
availability-wind,2030,1,65,0.843253882
availability-wind,2030,1,66,0.900136167
availability-wind,2030,1,67,0.936890281
availability-wind,2030,1,68,0.958139328
availability-wind,2030,1,69,0.961635604
availability-wind,2030,1,70,0.966514389
availability-wind,2030,1,71,0.961130449
availability-wind,2030,1,72,0.958370467
availability-wind,2030,1,73,0.9467621
availability-wind,2030,1,74,0.947664811
availability-wind,2030,1,75,0.936115467
availability-wind,2030,1,76,0.924629548
availability-wind,2030,1,77,0.9158087
availability-wind,2030,1,78,0.915653834
availability-wind,2030,1,79,0.899042268
availability-wind,2030,1,80,0.839944767
availability-wind,2030,1,81,0.760127473
availability-wind,2030,1,82,0.700130791
availability-wind,2030,1,83,0.674236164
availability-wind,2030,1,84,0.546709534
availability-wind,2030,1,85,0.462885047
availability-wind,2030,1,86,0.44910344
availability-wind,2030,1,87,0.389135071
availability-wind,2030,1,88,0.347576728
availability-wind,2030,1,89,0.349527724
availability-wind,2030,1,90,0.412336067
availability-wind,2030,1,91,0.484515285
availability-wind,2030,1,92,0.538404402
availability-wind,2030,1,93,0.535892957
availability-wind,2030,1,94,0.594365515
availability-wind,2030,1,95,0.579853794
availability-wind,2030,1,96,0.576390244
availability-wind,2030,1,97,0.603554335
availability-wind,2030,1,98,0.652885611
availability-wind,2030,1,99,0.806198954
availability-wind,2030,1,100,0.876706014
availability-wind,2030,1,101,0.869618497
availability-wind,2030,1,102,0.872883076
availability-wind,2030,1,103,0.832715922
availability-wind,2030,1,104,0.674977395
availability-wind,2030,1,105,0.571384755
availability-wind,2030,1,106,0.55384371
availability-wind,2030,1,107,0.519888354
availability-wind,2030,1,108,0.537239662
availability-wind,2030,1,109,0.544811597
availability-wind,2030,1,110,0.58678478
availability-wind,2030,1,111,0.588055069
availability-wind,2030,1,112,0.509364969
availability-wind,2030,1,113,0.441368317
availability-wind,2030,1,114,0.429021271
availability-wind,2030,1,115,0.294445387
availability-wind,2030,1,116,0.243664787
availability-wind,2030,1,117,0.233967491
availability-wind,2030,1,118,0.250100502
availability-wind,2030,1,119,0.277956771
availability-wind,2030,1,120,0.25448825
availability-wind,2030,1,121,0.273820886
availability-wind,2030,1,122,0.316375895
availability-wind,2030,1,123,0.314328163
availability-wind,2030,1,124,0.508543991
availability-wind,2030,1,125,0.641011905
availability-wind,2030,1,126,0.680910471
availability-wind,2030,1,127,0.681968892
availability-wind,2030,1,128,0.69752244
availability-wind,2030,1,129,0.711554435
availability-wind,2030,1,130,0.74876603
availability-wind,2030,1,131,0.739375593
availability-wind,2030,1,132,0.791246617
availability-wind,2030,1,133,0.852147086
availability-wind,2030,1,134,0.900318663
availability-wind,2030,1,135,0.863930271
availability-wind,2030,1,136,0.820830228
availability-wind,2030,1,137,0.879467775
availability-wind,2030,1,138,0.926096078
availability-wind,2030,1,139,0.929923012
availability-wind,2030,1,140,0.946382154
availability-wind,2030,1,141,0.901063247
availability-wind,2030,1,142,0.854592113
availability-wind,2030,1,143,0.844771218
availability-wind,2030,1,144,0.734226954
availability-wind,2030,1,145,0.631019917
availability-wind,2030,1,146,0.603553717
availability-wind,2030,1,147,0.544735503
availability-wind,2030,1,148,0.46540923
availability-wind,2030,1,149,0.405367288
availability-wind,2030,1,150,0.436530212
availability-wind,2030,1,151,0.461924894
availability-wind,2030,1,152,0.581976597
availability-wind,2030,1,153,0.663406212
availability-wind,2030,1,154,0.874880175
availability-wind,2030,1,155,0.940131148
availability-wind,2030,1,156,0.973436268
availability-wind,2030,1,157,0.976901491
availability-wind,2030,1,158,0.971822186
availability-wind,2030,1,159,0.976321166
availability-wind,2030,1,160,0.977370765
availability-wind,2030,1,161,0.978453575
availability-wind,2030,1,162,0.979057408
availability-wind,2030,1,163,0.979154786
availability-wind,2030,1,164,0.97919652
availability-wind,2030,1,165,0.979198196
availability-wind,2030,1,166,0.979198885
availability-wind,2030,1,167,0.979199753
availability-wind,2030,1,168,0.979196837
availability-wind,2030,1,169,0.979169097
availability-wind,2030,1,170,0.979197849
availability-wind,2030,1,171,0.979199529
availability-wind,2030,1,172,0.97919998
availability-wind,2030,1,173,0.979199996
availability-wind,2030,1,174,0.979199999
availability-wind,2030,1,175,0.979198696
availability-wind,2030,1,176,0.979172188
availability-wind,2030,1,177,0.858551153
availability-wind,2030,1,178,0.849130719
availability-wind,2030,1,179,0.957938779
availability-wind,2030,1,180,0.921217957
availability-wind,2030,1,181,0.823203478
availability-wind,2030,1,182,0.787453288
availability-wind,2030,1,183,0.816028591
availability-wind,2030,1,184,0.937739166
availability-wind,2030,1,185,0.975399963
availability-wind,2030,1,186,0.957066195
availability-wind,2030,1,187,0.978921115
availability-wind,2030,1,188,0.978780323
availability-wind,2030,1,189,0.978206837
availability-wind,2030,1,190,0.976339599
availability-wind,2030,1,191,0.9649794
availability-wind,2030,1,192,0.974670727
availability-wind,2030,1,193,0.979061252
availability-wind,2030,1,194,0.979193873
availability-wind,2030,1,195,0.979199999
availability-wind,2030,1,196,0.975883913
availability-wind,2030,1,197,0.554825452
availability-wind,2030,1,198,0.434306261
availability-wind,2030,1,199,0.492169108
availability-wind,2030,1,200,0.439326052
availability-wind,2030,1,201,0.161708926
availability-wind,2030,1,202,0.408445554
availability-wind,2030,1,203,0.977994376
availability-wind,2030,1,204,0.928343375
availability-wind,2030,1,205,0.976213746
availability-wind,2030,1,206,0.9792
availability-wind,2030,1,207,0.9792
availability-wind,2030,1,208,0.979191702
availability-wind,2030,1,209,0.973367755
availability-wind,2030,1,210,0.976933423
availability-wind,2030,1,211,0.978137357
availability-wind,2030,1,212,0.884563862
availability-wind,2030,1,213,0.622516643
availability-wind,2030,1,214,0.672193818
availability-wind,2030,1,215,0.936519411
availability-wind,2030,1,216,0.977710051
availability-wind,2030,1,217,0.971466001
availability-wind,2030,1,218,0.940030704
availability-wind,2030,1,219,0.931176045
availability-wind,2030,1,220,0.937664225
availability-wind,2030,1,221,0.84968465
availability-wind,2030,1,222,0.733899295
availability-wind,2030,1,223,0.511801219
availability-wind,2030,1,224,0.496629955
availability-wind,2030,1,225,0.31060572
availability-wind,2030,1,226,0.238429281
availability-wind,2030,1,227,0.554970864
availability-wind,2030,1,228,0.880075055
availability-wind,2030,1,229,0.825117634
availability-wind,2030,1,230,0.728302193
availability-wind,2030,1,231,0.679993346
availability-wind,2030,1,232,0.601449245
availability-wind,2030,1,233,0.472786528
availability-wind,2030,1,234,0.598050291
availability-wind,2030,1,235,0.885802391
availability-wind,2030,1,236,0.961310727
availability-wind,2030,1,237,0.978544483
availability-wind,2030,1,238,0.979187304
availability-wind,2030,1,239,0.979195574
availability-wind,2030,1,240,0.979198405
availability-wind,2030,1,241,0.979199091
availability-wind,2030,1,242,0.979199689
availability-wind,2030,1,243,0.979198843
availability-wind,2030,1,244,0.979199901
availability-wind,2030,1,245,0.9792
availability-wind,2030,1,246,0.9792
availability-wind,2030,1,247,0.9792
availability-wind,2030,1,248,0.979199997
availability-wind,2030,1,249,0.979089231
availability-wind,2030,1,250,0.9792
availability-wind,2030,1,251,0.9792
availability-wind,2030,1,252,0.9792
availability-wind,2030,1,253,0.9792
availability-wind,2030,1,254,0.9792
availability-wind,2030,1,255,0.979199736
availability-wind,2030,1,256,0.979195402
availability-wind,2030,1,257,0.979199923
availability-wind,2030,1,258,0.979199944
availability-wind,2030,1,259,0.979199991
availability-wind,2030,1,260,0.979199966
availability-wind,2030,1,261,0.979199308
availability-wind,2030,1,262,0.979199906
availability-wind,2030,1,263,0.979199937
availability-wind,2030,1,264,0.979199846
availability-wind,2030,1,265,0.979199604
availability-wind,2030,1,266,0.979199658
availability-wind,2030,1,267,0.979199993
availability-wind,2030,1,268,0.979199871
availability-wind,2030,1,269,0.979199999
availability-wind,2030,1,270,0.9792
availability-wind,2030,1,271,0.9792
availability-wind,2030,1,272,0.9792
availability-wind,2030,1,273,0.9792
availability-wind,2030,1,274,0.9792
availability-wind,2030,1,275,0.944891236
availability-wind,2030,1,276,0.952911756
availability-wind,2030,1,277,0.9792
availability-wind,2030,1,278,0.977108611
availability-wind,2030,1,279,0.971806764
availability-wind,2030,1,280,0.9792
availability-wind,2030,1,281,0.9792
availability-wind,2030,1,282,0.979199793
availability-wind,2030,1,283,0.979197101
availability-wind,2030,1,284,0.97919166
availability-wind,2030,1,285,0.976204318
availability-wind,2030,1,286,0.707156667
availability-wind,2030,1,287,0.567551922
availability-wind,2030,1,288,0.500091806
availability-wind,2030,1,289,0.579873485
availability-wind,2030,1,290,0.737129351
availability-wind,2030,1,291,0.753373518
availability-wind,2030,1,292,0.612052537
availability-wind,2030,1,293,0.645754935
availability-wind,2030,1,294,0.735751224
availability-wind,2030,1,295,0.883617897
availability-wind,2030,1,296,0.744405049
availability-wind,2030,1,297,0.804534635
availability-wind,2030,1,298,0.945162875
availability-wind,2030,1,299,0.951501666
availability-wind,2030,1,300,0.917556817
availability-wind,2030,1,301,0.828299079
availability-wind,2030,1,302,0.755771653
availability-wind,2030,1,303,0.778508625
availability-wind,2030,1,304,0.777479121
availability-wind,2030,1,305,0.763109603
availability-wind,2030,1,306,0.683794904
availability-wind,2030,1,307,0.721941939
availability-wind,2030,1,308,0.662689536
availability-wind,2030,1,309,0.824342158
availability-wind,2030,1,310,0.853896347
availability-wind,2030,1,311,0.881666097
availability-wind,2030,1,312,0.908957313
availability-wind,2030,1,313,0.938804589
availability-wind,2030,1,314,0.95742753
availability-wind,2030,1,315,0.967467698
availability-wind,2030,1,316,0.970109201
availability-wind,2030,1,317,0.974423993
availability-wind,2030,1,318,0.978560527
availability-wind,2030,1,319,0.978812202
availability-wind,2030,1,320,0.970928617
availability-wind,2030,1,321,0.973572631
availability-wind,2030,1,322,0.947746474
availability-wind,2030,1,323,0.906395753
availability-wind,2030,1,324,0.930963659
availability-wind,2030,1,325,0.940885827
availability-wind,2030,1,326,0.909294708
availability-wind,2030,1,327,0.973764746
availability-wind,2030,1,328,0.955231333
availability-wind,2030,1,329,0.956459679
availability-wind,2030,1,330,0.964270208
availability-wind,2030,1,331,0.971887402
availability-wind,2030,1,332,0.977170592
availability-wind,2030,1,333,0.978989904
availability-wind,2030,1,334,0.979197915
availability-wind,2030,1,335,0.979183441
availability-wind,2030,1,336,0.979199621
availability-wind,2030,1,337,0.9792
availability-wind,2030,1,338,0.895269446
availability-wind,2030,1,339,0.667884766
availability-wind,2030,1,340,0.371473904
availability-wind,2030,1,341,0.292950206
availability-wind,2030,1,342,0.283217086
availability-wind,2030,1,343,0.322535023
availability-wind,2030,1,344,0.941700626
availability-wind,2030,1,345,0.884778157
availability-wind,2030,1,346,0.979191049
availability-wind,2030,1,347,0.979173941
availability-wind,2030,1,348,0.97893017
availability-wind,2030,1,349,0.978138823
availability-wind,2030,1,350,0.979186407
availability-wind,2030,1,351,0.979124401
availability-wind,2030,1,352,0.979191182
availability-wind,2030,1,353,0.979198548
availability-wind,2030,1,354,0.979199961
availability-wind,2030,1,355,0.97919958
availability-wind,2030,1,356,0.959390952
availability-wind,2030,1,357,0.933991986
availability-wind,2030,1,358,0.629663748
availability-wind,2030,1,359,0.862401543
availability-wind,2030,1,360,0.730793395
availability-wind,2030,1,361,0.66945657
availability-wind,2030,1,362,0.774539173
availability-wind,2030,1,363,0.9672225
availability-wind,2030,1,364,0.9792
availability-wind,2030,1,365,0.979199806
availability-wind,2030,1,366,0.979196148
availability-wind,2030,1,367,0.978994666
availability-wind,2030,1,368,0.976203135
availability-wind,2030,1,369,0.977597006
availability-wind,2030,1,370,0.971817936
availability-wind,2030,1,371,0.968271432
availability-wind,2030,1,372,0.93278438
availability-wind,2030,1,373,0.886947852
availability-wind,2030,1,374,0.814085194
availability-wind,2030,1,375,0.697883695
availability-wind,2030,1,376,0.619311146
availability-wind,2030,1,377,0.587007536
availability-wind,2030,1,378,0.583148812
availability-wind,2030,1,379,0.632069426
availability-wind,2030,1,380,0.633050437
availability-wind,2030,1,381,0.745271937
availability-wind,2030,1,382,0.805541171
availability-wind,2030,1,383,0.826945896
availability-wind,2030,1,384,0.798019069
availability-wind,2030,1,385,0.767953838
availability-wind,2030,1,386,0.76593231
availability-wind,2030,1,387,0.817468771
availability-wind,2030,1,388,0.799828872
availability-wind,2030,1,389,0.858939287
availability-wind,2030,1,390,0.84265199
availability-wind,2030,1,391,0.86013313
availability-wind,2030,1,392,0.891580456
availability-wind,2030,1,393,0.914445725
availability-wind,2030,1,394,0.916474028
availability-wind,2030,1,395,0.921071701
availability-wind,2030,1,396,0.94131275
availability-wind,2030,1,397,0.956918389
availability-wind,2030,1,398,0.964639756
availability-wind,2030,1,399,0.970047627
availability-wind,2030,1,400,0.961939977
availability-wind,2030,1,401,0.964500732
availability-wind,2030,1,402,0.961038896
availability-wind,2030,1,403,0.952087353
availability-wind,2030,1,404,0.894962569
availability-wind,2030,1,405,0.732479028
availability-wind,2030,1,406,0.745564387
availability-wind,2030,1,407,0.658608298
availability-wind,2030,1,408,0.733191642
availability-wind,2030,1,409,0.573279491
availability-wind,2030,1,410,0.583579635
availability-wind,2030,1,411,0.407581448
availability-wind,2030,1,412,0.459724407
availability-wind,2030,1,413,0.485736247
availability-wind,2030,1,414,0.353727347
availability-wind,2030,1,415,0.20887328
availability-wind,2030,1,416,0.216932129
