id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
1,hub,2030,1,1,1,4744.7595576242875
2,hub,2030,1,2,2,4744.7595576242875
3,hub,2030,1,3,3,5551.368682420417
4,hub,2030,1,4,4,5551.368682420417
5,hub,2030,1,5,5,5551.368682420417
6,hub,2030,1,6,6,5551.368682420417
7,hub,2030,1,7,7,5551.368682420417
8,hub,2030,1,8,8,5551.368682420417
9,hub,2030,1,9,9,5551.368682420417
10,hub,2030,1,10,10,2158.865598719051
11,hub,2030,1,11,11,1542.0468562278936
12,hub,2030,1,12,12,1542.0468562278936
13,hub,2030,1,13,13,1542.0468562278936
14,hub,2030,1,14,14,1542.0468562278936
15,hub,2030,1,15,15,1542.0468562278936
16,hub,2030,1,16,16,2158.865598719051
17,hub,2030,1,17,17,4744.7595576242875
18,hub,2030,1,18,18,5551.368682420417
19,hub,2030,1,19,19,5551.368682420417
20,hub,2030,1,20,20,5551.368682420417
21,hub,2030,1,21,21,5551.368682420417
22,hub,2030,1,22,22,5551.368682420417
23,hub,2030,1,23,23,5551.368682420417
24,hub,2030,1,24,24,2158.865598719051
25,hub,2030,2,1,1,560.5057946958322
26,hub,2030,2,2,2,560.5057946958322
27,hub,2030,2,3,3,560.5057946958322
28,hub,2030,2,4,4,560.5057946958322
29,hub,2030,2,5,5,560.5057946958322
30,hub,2030,2,6,6,560.5057946958322
31,hub,2030,2,7,7,560.5057946958322
32,hub,2030,2,8,8,560.5057946958322
33,hub,2030,2,9,9,560.5057946958322
34,hub,2030,2,10,10,560.5057946958322
35,hub,2030,2,11,11,560.5057946958322
36,hub,2030,2,12,12,560.5057946958322
37,hub,2030,2,13,13,560.5057946958322
38,hub,2030,2,14,14,560.5057946958322
39,hub,2030,2,15,15,560.5057946958322
40,hub,2030,2,16,16,560.5057946958322
41,hub,2030,2,17,17,560.5057946958322
42,hub,2030,2,18,18,560.5057946958322
43,hub,2030,2,19,19,560.5057946958322
44,hub,2030,2,20,20,560.5057946958322
45,hub,2030,2,21,21,560.5057946958322
46,hub,2030,2,22,22,560.5057946958322
47,hub,2030,2,23,23,560.5057946958322
48,hub,2030,2,24,24,560.5057946958322
49,hub,2030,3,1,1,119.71918376359974
50,hub,2030,3,2,2,119.71918376359974
51,hub,2030,3,3,3,119.71918376359974
52,hub,2030,3,4,4,119.71918376359974
53,hub,2030,3,5,5,119.71918376359974
54,hub,2030,3,6,6,119.71918376359974
55,hub,2030,3,7,7,119.71918376359974
56,hub,2030,3,8,8,1676.0685726903964
57,hub,2030,3,9,9,3683.667192726146
58,hub,2030,3,10,10,4309.890615489591
59,hub,2030,3,11,11,4309.890615489591
60,hub,2030,3,12,12,4309.890615489591
61,hub,2030,3,13,13,4309.890615489591
62,hub,2030,3,14,14,4309.890615489591
63,hub,2030,3,15,15,4309.890615489591
64,hub,2030,3,16,16,4309.890615489591
65,hub,2030,3,17,17,4309.890615489591
66,hub,2030,3,18,18,4309.890615489591
67,hub,2030,3,19,19,4309.890615489591
68,hub,2030,3,20,20,4309.890615489591
69,hub,2030,3,21,21,4309.890615489591
70,hub,2030,3,22,22,4309.890615489591
71,hub,2030,3,23,23,4309.890615489591
72,hub,2030,3,24,24,4309.890615489591
73,hub,2030,4,1,1,3675.3058012940082
74,hub,2030,4,2,2,3675.3058012940082
75,hub,2030,4,3,3,3675.3058012940082
76,hub,2030,4,4,4,3675.3058012940082
77,hub,2030,4,5,5,3675.3058012940082
78,hub,2030,4,6,6,3675.3058012940082
79,hub,2030,4,7,7,3675.3058012940082
80,hub,2030,4,8,8,3675.3058012940082
81,hub,2030,4,9,9,3675.3058012940082
82,hub,2030,4,10,10,3675.3058012940082
83,hub,2030,4,11,11,3675.3058012940082
84,hub,2030,4,12,12,3675.3058012940082
85,hub,2030,4,13,13,1429.2855893921144
86,hub,2030,4,14,14,1429.2855893921144
87,hub,2030,4,15,15,1429.2855893921144
88,hub,2030,4,16,16,3141.2870096529987
89,hub,2030,4,17,17,3675.3058012940082
90,hub,2030,4,18,18,1429.2855893921144
91,hub,2030,4,19,19,102.09182781372246
92,hub,2030,4,20,20,102.09182781372246
93,hub,2030,4,21,21,102.09182781372246
94,hub,2030,4,22,22,102.09182781372246
95,hub,2030,4,23,23,102.09182781372246
96,hub,2030,4,24,24,102.09182781372246
97,hub,2030,5,1,1,1859.9949911601484
98,hub,2030,5,2,2,1859.9949911601484
99,hub,2030,5,3,3,1859.9949911601484
100,hub,2030,5,4,4,1859.9949911601484
101,hub,2030,5,5,5,1859.9949911601484
102,hub,2030,5,6,6,1859.9949911601484
103,hub,2030,5,7,7,1859.9949911601484
