id,asset,year,period_block_start,period_block_end,dual_balance_storage_over_clustered_year,dual_max_storage_level_over_clustered_year_limit,dual_min_storage_level_over_clustered_year_limit
1,h2_storage,2030,1,1,-0.0,0.0,0.0
2,h2_storage,2030,2,2,-0.0,0.0,0.0
3,h2_storage,2030,3,3,-0.0,0.0,0.0
4,h2_storage,2030,4,4,-0.0,0.0,0.0
5,h2_storage,2030,5,5,-0.0,0.0,0.0
6,h2_storage,2030,6,6,-0.0,0.0,0.0
7,h2_storage,2030,7,7,-0.0,0.0,0.0
8,h2_storage,2030,8,8,-0.0,0.0,0.0
9,h2_storage,2030,9,9,-0.0,0.0,0.0
10,h2_storage,2030,10,10,-0.0,0.0,0.0
11,h2_storage,2030,11,11,-0.0,0.0,0.0
12,h2_storage,2030,12,12,-0.0,0.0,0.0
13,h2_storage,2030,13,13,-0.0,0.0,0.0
14,h2_storage,2030,14,14,-0.0,0.0,0.0
15,h2_storage,2030,15,15,-0.0,0.0,0.0
16,h2_storage,2030,16,16,-0.0,0.0,0.0
17,h2_storage,2030,17,17,-0.0,0.0,0.0
18,h2_storage,2030,18,18,-0.0,0.0,0.0
19,h2_storage,2030,19,19,-0.0,0.0,0.0
20,h2_storage,2030,20,20,-0.0,0.0,0.0
21,h2_storage,2030,21,21,-0.0,0.0,0.0
22,h2_storage,2030,22,22,-0.0,0.0,0.0
23,h2_storage,2030,23,23,-0.0,0.0,0.0
24,h2_storage,2030,24,24,-0.0,0.0,0.0
25,h2_storage,2030,25,25,-0.0,0.0,0.0
26,h2_storage,2030,26,26,-0.0,0.0,0.0
27,h2_storage,2030,27,27,-0.0,0.0,0.0
28,h2_storage,2030,28,28,-0.0,0.0,0.0
29,h2_storage,2030,29,29,-0.0,0.0,0.0
30,h2_storage,2030,30,30,-0.0,0.0,0.0
31,h2_storage,2030,31,31,-0.0,0.0,0.0
32,h2_storage,2030,32,32,-0.0,0.0,0.0
33,h2_storage,2030,33,33,-0.0,0.0,0.0
34,h2_storage,2030,34,34,-0.0,0.0,0.0
35,h2_storage,2030,35,35,-0.0,0.0,0.0
36,h2_storage,2030,36,36,-0.0,0.0,0.0
37,h2_storage,2030,37,37,-0.0,0.0,0.0
38,h2_storage,2030,38,38,-0.0,0.0,0.0
39,h2_storage,2030,39,39,-0.0,0.0,0.0
40,h2_storage,2030,40,40,-0.0,0.0,0.0
41,h2_storage,2030,41,41,-0.0,0.0,0.0
42,h2_storage,2030,42,42,-0.0,0.0,0.0
43,h2_storage,2030,43,43,-0.0,0.0,0.0
44,h2_storage,2030,44,44,-0.0,0.0,0.0
45,h2_storage,2030,45,45,-0.0,0.0,0.0
46,h2_storage,2030,46,46,-0.0,0.0,0.0
47,h2_storage,2030,47,47,-0.0,0.0,0.0
48,h2_storage,2030,48,48,-0.0,0.0,0.0
49,h2_storage,2030,49,49,-0.0,0.0,0.0
50,h2_storage,2030,50,50,-0.0,0.0,0.0
51,h2_storage,2030,51,51,-0.0,0.0,0.0
52,h2_storage,2030,52,52,-0.0,0.0,0.0
53,h2_storage,2030,53,53,-0.0,0.0,0.0
54,h2_storage,2030,54,54,-0.0,0.0,0.0
55,h2_storage,2030,55,55,-0.0,0.0,0.0
56,h2_storage,2030,56,56,-0.0,0.0,0.0
57,h2_storage,2030,57,57,25.24547733869651,-25.24547733869651,0.0
58,h2_storage,2030,58,58,-0.0,0.0,0.0
59,h2_storage,2030,59,59,-0.0,0.0,0.0
60,h2_storage,2030,60,60,-0.0,0.0,0.0
61,h2_storage,2030,61,61,-0.0,0.0,0.0
62,h2_storage,2030,62,62,-0.0,0.0,0.0
63,h2_storage,2030,63,63,-0.0,0.0,0.0
64,h2_storage,2030,64,64,-0.0,0.0,0.0
65,h2_storage,2030,65,65,-0.0,0.0,0.0
66,h2_storage,2030,66,66,-0.0,0.0,0.0
67,h2_storage,2030,67,67,-0.0,0.0,0.0
68,h2_storage,2030,68,68,-0.0,0.0,0.0
69,h2_storage,2030,69,69,-0.0,0.0,0.0
70,h2_storage,2030,70,70,-0.0,0.0,0.0
71,h2_storage,2030,71,71,-0.0,0.0,0.0
72,h2_storage,2030,72,72,-0.0,0.0,0.0
73,h2_storage,2030,73,73,-0.0,0.0,0.0
74,h2_storage,2030,74,74,-0.0,0.0,0.0
75,h2_storage,2030,75,75,-0.0,0.0,0.0
76,h2_storage,2030,76,76,-0.0,0.0,0.0
77,h2_storage,2030,77,77,-0.0,0.0,0.0
78,h2_storage,2030,78,78,-0.0,0.0,0.0
79,h2_storage,2030,79,79,-0.0,0.0,0.0
80,h2_storage,2030,80,80,-0.0,0.0,0.0
81,h2_storage,2030,81,81,-0.0,0.0,0.0
82,h2_storage,2030,82,82,-0.0,0.0,0.0
83,h2_storage,2030,83,83,-0.0,0.0,0.0
84,h2_storage,2030,84,84,-0.0,0.0,0.0
85,h2_storage,2030,85,85,-0.0,0.0,0.0
86,h2_storage,2030,86,86,-0.0,0.0,0.0
87,h2_storage,2030,87,87,-0.0,0.0,0.0
88,h2_storage,2030,88,88,-0.0,0.0,0.0
89,h2_storage,2030,89,89,-0.0,0.0,0.0
90,h2_storage,2030,90,90,-0.0,0.0,0.0
91,h2_storage,2030,91,91,-0.0,0.0,0.0
92,h2_storage,2030,92,92,-0.0,0.0,0.0
93,h2_storage,2030,93,93,-0.0,0.0,0.0
94,h2_storage,2030,94,94,-0.0,0.0,0.0
95,h2_storage,2030,95,95,-0.0,0.0,0.0
96,h2_storage,2030,96,96,-0.0,-198.88006163123956,0.0
97,h2_storage,2030,97,97,-198.88006163123956,0.0,0.0
98,h2_storage,2030,98,98,-0.0,0.0,0.0
99,h2_storage,2030,99,99,-0.0,0.0,0.0
100,h2_storage,2030,100,100,-0.0,0.0,0.0
101,h2_storage,2030,101,101,-0.0,0.0,0.0
102,h2_storage,2030,102,102,-0.0,0.0,0.0
103,h2_storage,2030,103,103,-0.0,0.0,0.0
104,h2_storage,2030,104,104,-0.0,0.0,0.0
105,h2_storage,2030,105,105,-0.0,0.0,0.0
106,h2_storage,2030,106,106,-0.0,0.0,0.0
107,h2_storage,2030,107,107,-0.0,0.0,0.0
108,h2_storage,2030,108,108,-0.0,0.0,0.0
109,h2_storage,2030,109,109,-0.0,0.0,0.0
110,h2_storage,2030,110,110,-0.0,0.0,0.0
111,h2_storage,2030,111,111,-0.0,0.0,0.0
112,h2_storage,2030,112,112,-0.0,0.0,0.0
113,h2_storage,2030,113,113,-0.0,0.0,0.0
114,h2_storage,2030,114,114,-0.0,0.0,0.0
115,h2_storage,2030,115,115,-0.0,0.0,0.0
116,h2_storage,2030,116,116,-0.0,0.0,0.0
117,h2_storage,2030,117,117,-0.0,0.0,0.0
118,h2_storage,2030,118,118,-0.0,0.0,0.0
119,h2_storage,2030,119,119,-0.0,0.0,0.0
120,h2_storage,2030,120,120,-0.0,0.0,0.0
121,h2_storage,2030,121,121,-0.0,0.0,0.0
122,h2_storage,2030,122,122,-0.0,0.0,0.0
123,h2_storage,2030,123,123,-0.0,0.0,0.0
124,h2_storage,2030,124,124,-0.0,0.0,0.0
125,h2_storage,2030,125,125,-0.0,0.0,0.0
126,h2_storage,2030,126,126,-0.0,0.0,0.0
127,h2_storage,2030,127,127,-0.0,0.0,0.0
128,h2_storage,2030,128,128,-0.0,0.0,0.0
129,h2_storage,2030,129,129,-0.0,0.0,0.0
130,h2_storage,2030,130,130,-0.0,0.0,0.0
131,h2_storage,2030,131,131,-0.0,0.0,0.0
132,h2_storage,2030,132,132,-0.0,0.0,0.0
133,h2_storage,2030,133,133,-0.0,0.0,0.0
134,h2_storage,2030,134,134,-0.0,0.0,0.0
135,h2_storage,2030,135,135,-0.0,0.0,0.0
136,h2_storage,2030,136,136,-0.0,0.0,0.0
137,h2_storage,2030,137,137,-0.0,0.0,0.0
138,h2_storage,2030,138,138,-0.0,0.0,0.0
139,h2_storage,2030,139,139,-0.0,0.0,0.0
140,h2_storage,2030,140,140,-0.0,0.0,0.0
141,h2_storage,2030,141,141,-0.0,0.0,0.0
142,h2_storage,2030,142,142,-0.0,0.0,0.0
143,h2_storage,2030,143,143,-0.0,0.0,0.0
144,h2_storage,2030,144,144,-0.0,0.0,0.0
145,h2_storage,2030,145,145,-0.0,0.0,0.0
146,h2_storage,2030,146,146,-0.0,0.0,0.0
