id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_storage_rep_period,dual_max_storage_level_rep_period_limit,dual_min_storage_level_rep_period_limit
1,battery,2030,1,1,1,-4744.7595576242875,0.0,0.0
2,battery,2030,1,2,2,-4744.7595576242875,-806.6091247961294,0.0
3,battery,2030,1,3,3,-5551.368682420417,0.0,0.0
4,battery,2030,1,4,4,-5551.368682420417,0.0,0.0
5,battery,2030,1,5,5,-5551.368682420417,0.0,0.0
6,battery,2030,1,6,6,-5551.368682420417,0.0,0.0
7,battery,2030,1,7,7,-5551.368682420417,0.0,0.0
8,battery,2030,1,8,8,-5551.368682420417,0.0,0.0
9,battery,2030,1,9,9,-5551.368682420417,0.0,0.0
10,battery,2030,1,10,10,-2158.865598719051,0.0,0.0
11,battery,2030,1,11,11,-1542.0468562278936,0.0,0.0
12,battery,2030,1,12,12,-1542.0468562278936,0.0,0.0
13,battery,2030,1,13,13,-1542.0468562278936,0.0,0.0
14,battery,2030,1,14,14,-1542.0468562278936,0.0,0.0
15,battery,2030,1,15,15,-1542.0468562278936,-616.8187424911573,0.0
16,battery,2030,1,16,16,-2158.865598719051,-2585.8939589052366,0.0
17,battery,2030,1,17,17,-4744.7595576242875,-806.6091247961294,0.0
18,battery,2030,1,18,18,-5551.368682420417,0.0,0.0
19,battery,2030,1,19,19,-5551.368682420417,0.0,0.0
20,battery,2030,1,20,20,-5551.368682420417,0.0,0.0
21,battery,2030,1,21,21,-5551.368682420417,0.0,0.0
22,battery,2030,1,22,22,-5551.368682420417,0.0,0.0
23,battery,2030,1,23,23,-5551.368682420417,0.0,0.0
24,battery,2030,1,24,24,-2158.865598719051,-2585.8939589052366,0.0
25,battery,2030,2,1,1,-5605.057946958322,0.0,0.0
26,battery,2030,2,2,2,-5605.057946958322,0.0,0.0
27,battery,2030,2,3,3,-5605.057946958322,0.0,0.0
28,battery,2030,2,4,4,-5605.057946958322,0.0,0.0
29,battery,2030,2,5,5,-5605.057946958322,0.0,0.0
30,battery,2030,2,6,6,-5605.057946958322,0.0,0.0
31,battery,2030,2,7,7,-5605.057946958322,0.0,0.0
32,battery,2030,2,8,8,-5605.057946958322,0.0,0.0
33,battery,2030,2,9,9,-5605.057946958322,0.0,0.0
34,battery,2030,2,10,10,-5605.057946958322,0.0,0.0
35,battery,2030,2,11,11,-5605.057946958322,0.0,0.0
36,battery,2030,2,12,12,-5605.057946958322,0.0,0.0
37,battery,2030,2,13,13,-5605.057946958322,0.0,0.0
38,battery,2030,2,14,14,-5605.057946958322,0.0,0.0
39,battery,2030,2,15,15,-5605.057946958322,0.0,0.0
40,battery,2030,2,16,16,-5605.057946958322,0.0,0.0
41,battery,2030,2,17,17,-5605.057946958322,0.0,0.0
42,battery,2030,2,18,18,-5605.057946958322,0.0,0.0
43,battery,2030,2,19,19,-5605.057946958322,0.0,0.0
44,battery,2030,2,20,20,-5605.057946958322,0.0,0.0
45,battery,2030,2,21,21,-5605.057946958322,0.0,0.0
46,battery,2030,2,22,22,-5605.057946958322,0.0,0.0
47,battery,2030,2,23,23,-5605.057946958322,0.0,0.0
48,battery,2030,2,24,24,-5605.057946958322,0.0,0.0
49,battery,2030,3,1,1,-1197.1918376359974,0.0,0.0
50,battery,2030,3,2,2,-1197.1918376359974,0.0,0.0
51,battery,2030,3,3,3,-1197.1918376359974,0.0,0.0
52,battery,2030,3,4,4,-1197.1918376359974,0.0,0.0
53,battery,2030,3,5,5,-1197.1918376359974,0.0,0.0
54,battery,2030,3,6,6,-1197.1918376359974,0.0,0.0
