asset,milestone_year,investable,peak_demand,initial_storage_level,max_energy_timeframe_partition,min_energy_timeframe_partition,storage_inflows,units_on_cost
ccgt,2030,true,0.0,0.0,,,0.0,
wind,2030,true,0.0,0.0,,,0.0,
solar,2030,true,0.0,0.0,,,0.0,
e_demand,2030,false,1.5,0.0,,,0.0,
ocgt,2030,true,0.0,0.0,,,0.0,
ens,2030,false,0.0,0.0,,,0.0,
electrolizer,2030,true,0.0,0.0,,,0.0,
h2_demand,2030,false,0.1,0.0,,,0.0,
smr_ccs,2030,false,0.0,0.0,,,0.0,
wind_offshore,2030,true,0.0,0.0,,,0.0,
battery,2030,true,0.0,0.0,,,0.0,
h2_storage,2030,false,0.0,0.0,,,0.0,
hydro_reservoir,2030,false,0.0,201.6,,,0.1,
spillage,2030,false,0.0,0.0,,,0.0,
