asset,type,capacity,investment_method,investment_integer,technical_lifetime,discount_rate,capacity_storage_energy,is_seasonal,consumer_balance_sense,economic_lifetime,energy_to_power_ratio,investment_group,investment_integer_storage_energy,max_ramp_down,max_ramp_up,min_operating_point,ramping,storage_method_energy,unit_commitment,unit_commitment_integer,unit_commitment_method,use_binary_storage_method
ccgt,producer,800.0,simple,false,25,0.05,0.0,false,==,20,0.0,,false,0.0,0.0,0.0,false,false,false,false,,
e_demand,consumer,0.0,none,false,25,0.05,0.0,false,==,20,0.0,,false,0.0,0.0,0.0,false,false,false,false,,
ens,producer,2000.0,none,false,25,0.05,0.0,false,==,20,0.0,,false,0.0,0.0,0.0,false,false,false,false,,
ocgt,producer,100.0,simple,false,25,0.05,0.0,false,==,20,0.0,,false,0.0,0.0,0.0,false,false,false,false,,
solar,producer,500.0,simple,false,25,0.05,0.0,false,==,20,0.0,,false,0.0,0.0,0.0,false,false,false,false,,
wind,producer,400.0,simple,false,25,0.05,0.0,false,==,20,0.0,,false,0.0,0.0,0.0,false,false,false,false,,
electrolizer,conversion,100.0,simple,false,25,0.05,0.0,false,==,20,0.0,,false,0.0,0.0,0.0,false,false,false,false,,
h2_demand,consumer,100.0,none,false,25,0.05,0.0,false,==,20,0.0,,false,0.0,0.0,0.0,false,false,false,false,,
smr_ccs,producer,500.0,none,false,25,0.05,0.0,false,==,20,0.0,,false,0.0,0.0,0.0,false,false,false,false,,
wind_offshore,producer,400.0,simple,false,25,0.05,0.0,false,==,20,0.0,,false,0.0,0.0,0.0,false,false,false,false,,
battery,storage,50.0,simple,false,25,0.05,100.0,false,==,20,2.0,,false,0.0,0.0,0.0,false,true,false,false,,
h2_storage,storage,100.0,none,false,25,0.05,16800.0,true,==,20,0.0,,false,0.0,0.0,0.0,false,false,false,false,,
hydro_reservoir,storage,100.0,none,false,25,0.05,403200.0,true,==,20,0.0,,false,0.0,0.0,0.0,false,false,false,false,,
