from_asset,to_asset,milestone_year,operational_cost,dc_opf,investable,reactance,commodity_price
wind,e_demand,2030,3.0,false,false,0.3,0.0
ccgt,e_demand,2030,0.0,false,false,0.3,50.0
ocgt,e_demand,2030,0.0,false,false,0.3,70.0
solar,e_demand,2030,1.0,false,false,0.3,0.0
ens,e_demand,2030,0.0,false,false,0.3,180.0
electrolizer,h2_demand,2030,0.0,false,false,0.3,0.0
e_demand,electrolizer,2030,0.0,false,false,0.3,0.0
smr_ccs,h2_demand,2030,0.0,false,false,0.3,250.0
wind_offshore,e_demand,2030,5.0,false,false,0.3,0.0
wind_offshore,electrolizer,2030,5.0,false,false,0.3,0.0
battery,e_demand,2030,0.0,false,false,0.3,0.0
e_demand,battery,2030,0.0,false,false,0.3,0.0
h2_storage,h2_demand,2030,0.0,false,false,0.3,0.0
h2_demand,h2_storage,2030,0.0,false,false,0.3,0.0
hydro_reservoir,e_demand,2030,0.0,false,false,0.3,0.0
wind,e_demand,2050,3.0,false,false,0.3,0.0
ccgt,e_demand,2050,0.0,false,false,0.3,80.0
ocgt,e_demand,2050,0.0,false,false,0.3,90.0
solar,e_demand,2050,1.0,false,false,0.3,0.0
ens,e_demand,2050,0.0,false,false,0.3,360.0
electrolizer,h2_demand,2050,0.0,false,false,0.3,0.0
e_demand,electrolizer,2050,0.0,false,false,0.3,0.0
smr_ccs,h2_demand,2050,0.0,false,false,0.3,550.0
wind_offshore,e_demand,2050,5.0,false,false,0.3,0.0
wind_offshore,electrolizer,2050,5.0,false,false,0.3,0.0
battery,e_demand,2050,0.0,false,false,0.3,0.0
e_demand,battery,2050,0.0,false,false,0.3,0.0
h2_storage,h2_demand,2050,0.0,false,false,0.3,0.0
h2_demand,h2_storage,2050,0.0,false,false,0.3,0.0
hydro_reservoir,e_demand,2050,0.0,false,false,0.3,0.0
