name,year,partition,peak_demand
NL_E_Demand,2050,1,37.48725257
BE_E_Demand,2050,2,26.32290865
DE_E_Demand,2050,1,125.0411243
FR_E_Demand,2050,2,91.60100618
DK_E_Demand,2050,1,6.316626413
UK_E_Demand,2050,1,118.6302474
IE_E_Demand,2050,2,10.91834823
CH_E_Demand,2050,4,12.73508856
AT_E_Demand,2050,4,18.77578042
LU_E_Demand,2050,4,2.670942648
CZ_E_Demand,2050,4,13.12773612
PL_E_Demand,2050,3,37.05916112
SE_E_Demand,2050,4,29.95816458
NO_E_Demand,2050,1,30.10965055
ES_E_Demand,2050,3,55.09026507
PT_E_Demand,2050,4,10.4110523
IT_E_Demand,2050,4,80.32105864
MT_E_Demand,2050,4,0.632208989
SI_E_Demand,2050,4,3.461524237
HU_E_Demand,2050,4,12.96715039
SK_E_Demand,2050,4,6.547951746
LT_E_Demand,2050,4,3.420536077
LV_E_Demand,2050,4,2.358298063
EE_E_Demand,2050,4,2.709725187
FI_E_Demand,2050,4,19.29761551
HR_E_Demand,2050,4,4.605988696
GR_E_Demand,2050,4,16.63127631
BG_E_Demand,2050,4,7.401237471
RO_E_Demand,2050,4,15.81456593
CY_E_Demand,2050,4,1.563589525
OBZLL_E_Demand,2050,1,0
NL_H_Demand,2050,1,16.00456621
BE_H_Demand,2050,2,11.11872146
DE_H_Demand,2050,1,68.34474886
FR_H_Demand,2050,2,6.803652968
DK_H_Demand,2050,1,2.305936073
UK_H_Demand,2050,1,35.58907422
IE_H_Demand,2050,2,2.705479452
CH_H_Demand,2050,4,3.820526568
AT_H_Demand,2050,4,5.730593607
LU_H_Demand,2050,4,0.51369863
CZ_H_Demand,2050,4,4.703196347
PL_H_Demand,2050,4,14.94292237
SE_H_Demand,2050,4,8.664383562
NO_H_Demand,2050,1,9.032895165
ES_H_Demand,2050,4,20.97031963
PT_H_Demand,2050,4,3.515981735
IT_H_Demand,2050,4,16.66666667
MT_H_Demand,2050,4,0.068493151
SI_H_Demand,2050,4,0.650684932
HU_H_Demand,2050,4,4.212328767
SK_H_Demand,2050,4,2.716894977
LT_H_Demand,2050,4,2.066210046
LV_H_Demand,2050,4,0.308219178
EE_H_Demand,2050,4,0.194063927
FI_H_Demand,2050,4,5.410958904
HR_H_Demand,2050,4,0.924657534
GR_H_Demand,2050,4,6.575342466
BG_H_Demand,2050,4,1.51826484
RO_H_Demand,2050,4,4.897260274
CY_H_Demand,2050,4,0.285388128
OBZLL_H_Demand,2050,1,0
