year,scenario,timestep,solar,wind_offshore,wind_onshore,demand,hydro_inflow
2030,2008,1,0.0,0.2083507778346724,0.05193565728660535,0.5420280793248472,0.27535652008424183
2030,2008,2,0.0,0.3472925286238556,0.06869035798452383,0.5206164192118659,0.27535652008424183
2030,2008,3,0.0,0.5393217944919453,0.08528399317439364,0.5023265486337954,0.27535652008424183
2030,2008,4,0.0,0.6786898658189238,0.09805506696909168,0.48383431339996225,0.27535652008424183
2030,2008,5,0.0,0.7763319063161856,0.1128895461819367,0.46939065084068804,0.27535652008424183
2030,2008,6,0.0,0.8510742647128381,0.1286770683462587,0.4565121656281188,0.27535652008424183
2030,2008,7,0.0,0.8942027685887478,0.1487569145640968,0.4642153939318508,0.27535652008424183
2030,2008,8,0.0,0.9182958471372726,0.1625848824661147,0.49484529625401624,0.27535652008424183
2030,2008,9,0.06047808806122273,0.9334046575753432,0.1824771726478805,0.5345660748260544,0.27535652008424183
2030,2008,10,0.2386211709517436,0.9361888541860268,0.1930903669524048,0.5731256178036754,0.27535652008424183
2030,2008,11,0.3869881310857818,0.9453887885906184,0.191617123292652,0.5925989232744806,0.27535652008424183
2030,2008,12,0.4837682647323933,0.9486565448062482,0.189484892349749,0.5962647986345816,0.27535652008424183
2030,2008,13,0.5328611435008824,0.9495594361721746,0.2137707996604892,0.6004246856713372,0.27535652008424183
2030,2008,14,0.5095539028670993,0.9498101292614312,0.2377800630744021,0.5998787772167679,0.27535652008424183
2030,2008,15,0.4268290610994173,0.9497752747987296,0.2442421722082704,0.584142582841664,0.27535652008424183
2030,2008,16,0.3123523922290909,0.9475004574304978,0.249447783903014,0.5714488757238181,0.27535652008424183
2030,2008,17,0.1501258191392503,0.9485824576823456,0.2540710266904911,0.5741943510259127,0.27535652008424183
2030,2008,18,0.0,0.9472074530905542,0.2758859512081926,0.603162669822279,0.27535652008424183
2030,2008,19,0.0,0.9481095441198816,0.2959548805352642,0.6397559595151519,0.27535652008424183
2030,2008,20,0.0,0.9497922346530095,0.3118611438779188,0.6624841659079499,0.27535652008424183
2030,2008,21,0.0,0.9495977634802798,0.3275661583068729,0.6747782587002619,0.27535652008424183
2030,2008,22,0.0,0.9499578120761398,0.3531794870560894,0.659515883929957,0.27535652008424183
2030,2008,23,0.0,0.9475393964301108,0.4025864311766918,0.6151986133315702,0.27535652008424183
2030,2008,24,0.0,0.9413605838443884,0.4220826380808332,0.5900764765471292,0.27535652008424183
2030,2008,25,0.0,0.9354174811837142,0.4422080960758764,0.5325521248303171,0.27535652008424183
2030,2008,26,0.0,0.9468483500714988,0.4452069571300126,0.5116590591851894,0.27535652008424183
2030,2008,27,0.0,0.9481340406111228,0.461904979064977,0.49507059158742567,0.27535652008424183
2030,2008,28,0.0,0.9456837213712966,0.4672928157562163,0.4796489097548687,0.27535652008424183
2030,2008,29,0.0,0.9302816278303326,0.4654822771225195,0.47523629897216035,0.27535652008424183
2030,2008,30,0.0,0.9030475215959552,0.4610987189865763,0.47900239600013395,0.27535652008424183
2030,2008,31,0.0,0.8853375553996564,0.4444956411689829,0.5005184833782427,0.27535652008424183
2030,2008,32,0.0,0.8804214149051197,0.4294952275620541,0.5408152304010809,0.27535652008424183
2030,2008,33,0.01615610454210128,0.9200478679203284,0.4371974479427704,0.5859067111287722,0.27535652008424183
2030,2008,34,0.04781957427987771,0.9468914174858551,0.4533931199884387,0.6237072244072539,0.27535652008424183
2030,2008,35,0.08028754022906191,0.949973496288924,0.4172270675923993,0.6437740385845947,0.27535652008424183
2030,2008,36,0.1125835402089682,0.9486006009077372,0.436133962641486,0.6495859661499309,0.27535652008424183
2030,2008,37,0.1386047377854948,0.9454390819543148,0.4743059756351308,0.649894797833768,0.27535652008424183
2030,2008,38,0.1486484287135099,0.9434199170234876,0.4839672258126735,0.6420376096176501,0.27535652008424183
2030,2008,39,0.1451200039461942,0.8738885683168539,0.4874689964269998,0.6249361756043691,0.27535652008424183
2030,2008,40,0.1268218045358163,0.6811780301851481,0.489104976088858,0.6134021316696325,0.27535652008424183
2030,2008,41,0.06971833218926456,0.6737651903825379,0.4762892324435352,0.6127961923976246,0.27535652008424183
2030,2008,42,0.0,0.7976225006902714,0.4748550171353233,0.6305801984497897,0.27535652008424183
2030,2008,43,0.0,0.8398292849561316,0.4913402941893182,0.6578213098945846,0.27535652008424183
2030,2008,44,0.0,0.9352240361840896,0.5317471546227588,0.6791007274420808,0.27535652008424183
2030,2008,45,0.0,0.9499860762944458,0.5650279383872259,0.6850196613355816,0.27535652008424183
2030,2008,46,0.0,0.9499999999999996,0.5900355035694075,0.6561420753235847,0.27535652008424183
2030,2008,47,0.0,0.9487072266854218,0.6335479052739297,0.6049507052297225,0.27535652008424183
2030,2008,48,0.0,0.949666671917614,0.6392022518242353,0.5783381020307711,0.27535652008424183
2030,2008,49,0.0,0.9442540464539096,0.6468834860847654,0.5250545610473496,0.27535652008424183
2030,2008,50,0.0,0.9474715228531628,0.6539583251274906,0.5076849297918601,0.27535652008424183
2030,2008,51,0.0,0.949237697905988,0.6514150670230774,0.49324250755887356,0.27535652008424183
2030,2008,52,0.0,0.9404198639911482,0.640755216180606,0.47876468516510917,0.27535652008424183
2030,2008,53,0.0,0.8518825434131021,0.6344716528755583,0.4742427305673704,0.27535652008424183
2030,2008,54,0.0,0.9118052288866966,0.6328476563541233,0.47592744957147387,0.27535652008424183
2030,2008,55,0.0,0.9323754828641444,0.6428793882992062,0.4927194291901868,0.27535652008424183
2030,2008,56,0.0,0.9328996980692832,0.6703094202646144,0.5280026537227083,0.27535652008424183
2030,2008,57,0.00769899231473024,0.9313300036833692,0.6925168071175203,0.5693621304488694,0.27535652008424183
2030,2008,58,0.05503647093903281,0.908556016124272,0.7056032477886043,0.6038401697527732,0.27535652008424183
2030,2008,59,0.139590818397246,0.9271122152149156,0.6955442113160557,0.6217810339420425,0.27535652008424183
2030,2008,60,0.2499919446973868,0.8924191107024679,0.6962657075161558,0.6267616736790814,0.27535652008424183
2030,2008,61,0.3319495033683389,0.8095758372102954,0.6971077958957335,0.6264319133656383,0.27535652008424183
2030,2008,62,0.3435303462441306,0.7284856370141974,0.6785233211806183,0.6186505258684407,0.27535652008424183
2030,2008,63,0.2915703150657387,0.5974113552578366,0.6561044543369852,0.602839914129134,0.27535652008424183
2030,2008,64,0.2060072176630184,0.4944779781230871,0.5985282366592013,0.5924264547835492,0.27535652008424183
2030,2008,65,0.09919389673121863,0.5593523034257345,0.5408857310795656,0.5916429193045301,0.27535652008424183
2030,2008,66,0.0,0.4899718344032704,0.4651379245982742,0.6067125259686968,0.27535652008424183
2030,2008,67,0.0,0.3800011915497013,0.421126677608724,0.6305474652032861,0.27535652008424183
2030,2008,68,0.0,0.2952581726275824,0.384645582099461,0.6505642826840841,0.27535652008424183
2030,2008,69,0.0,0.1799283404610206,0.3563538543791867,0.6567803218671779,0.27535652008424183
2030,2008,70,0.0,0.1001102839202767,0.3180617687436591,0.6307447927447807,0.27535652008424183
2030,2008,71,0.0,0.1873009288365021,0.2890326228159036,0.5850381858623941,0.27535652008424183
2030,2008,72,0.0,0.1336492758748,0.2510447568423437,0.564064574189917,0.27535652008424183
2030,2008,73,0.0,0.0628535395401129,0.2242428822078694,0.5240217144470117,0.27535652008424183
2030,2008,74,0.0,0.03913389106527822,0.2064415787991443,0.5076712337758318,0.27535652008424183
2030,2008,75,0.0,0.04940950017223785,0.1896326955981699,0.4937858586428708,0.27535652008424183
2030,2008,76,0.0,0.05264062155514138,0.1817093989265898,0.47931560603456796,0.27535652008424183
2030,2008,77,0.0,0.03599902261202597,0.1872583579952806,0.4733884517533132,0.27535652008424183
2030,2008,78,0.0,0.02561159472923965,0.1896082966493314,0.4723329217255708,0.27535652008424183
2030,2008,79,0.0,0.04401443678754278,0.1853667351263372,0.48631666280593955,0.27535652008424183
2030,2008,80,0.0,0.1254642788999738,0.1872043723967893,0.5193127449368531,0.27535652008424183
2030,2008,81,0.03259055580785758,0.1652463893390592,0.2038163725961438,0.5587752556569553,0.27535652008424183
2030,2008,82,0.1631065525225205,0.2623815504983006,0.2182629798143296,0.5913744400530427,0.27535652008424183
2030,2008,83,0.3017568423332521,0.2832084232142371,0.214028399753493,0.6068992962708166,0.27535652008424183
2030,2008,84,0.3766977125519211,0.1291072639261719,0.1993047035648888,0.6099383723730388,0.27535652008424183
2030,2008,85,0.4162065859752891,0.1853073458059027,0.1988564300144241,0.6087253169397246,0.27535652008424183
2030,2008,86,0.4299441221021878,0.5368163575169078,0.2128757062351573,0.6008138927080992,0.27535652008424183
2030,2008,87,0.3916996584595064,0.5224902188390964,0.2256017361463171,0.5847070819761762,0.27535652008424183
2030,2008,88,0.2983840667470021,0.3741027694778442,0.2234948773834232,0.5740093523552361,0.27535652008424183
2030,2008,89,0.152916544414789,0.4905550217029457,0.2039256310687842,0.5733052591015385,0.27535652008424183
2030,2008,90,0.0,0.7251934696195065,0.2492613398328486,0.5883792284183724,0.27535652008424183
2030,2008,91,0.0,0.8935257429892173,0.2835432679891317,0.612926704299774,0.27535652008424183
2030,2008,92,0.0,0.9447818300730968,0.3059823238380551,0.634865352747509,0.27535652008424183
2030,2008,93,0.0,0.9400221755611602,0.3077079887466405,0.6430346177434658,0.27535652008424183
2030,2008,94,0.0,0.9202729318185728,0.3073751253430687,0.6196248589905388,0.27535652008424183
2030,2008,95,0.0,0.927545047923248,0.3466598063812614,0.5763815231496638,0.27535652008424183
2030,2008,96,0.0,0.9164785544282478,0.3529059934744143,0.5576452026056358,0.27535652008424183
2030,2008,97,0.0,0.9205805951776221,0.3749958623499168,0.4989569460534194,0.27535652008424183
2030,2008,98,0.0,0.9302958939524768,0.3395802492585511,0.4813361873344131,0.27535652008424183
2030,2008,99,0.0,0.9244937520078936,0.323649103977433,0.4668412192380821,0.27535652008424183
2030,2008,100,0.0,0.8941146755994324,0.3208364935300225,0.4524255350661516,0.27535652008424183
2030,2008,101,0.0,0.8802349970496582,0.3239594618983208,0.4479436227727194,0.27535652008424183
2030,2008,102,0.0,0.8875862997217113,0.3343465569882153,0.450336048146898,0.27535652008424183
2030,2008,103,0.0,0.9034610514429804,0.3389788125885782,0.46874633865674353,0.27535652008424183
2030,2008,104,0.0,0.9483193737216216,0.3541567987842787,0.5051422018043674,0.27535652008424183
2030,2008,105,0.03789346984891365,0.9499580129498992,0.3572194027549108,0.5463158172987895,0.27535652008424183
2030,2008,106,0.142191747515389,0.9499779195018514,0.3632806548543307,0.579860395436497,0.27535652008424183
2030,2008,107,0.2401960206105128,0.949999445347898,0.388461923752397,0.5964393753030619,0.27535652008424183
2030,2008,108,0.3144772373281781,0.9499999999999996,0.4004470688122295,0.6000458393420101,0.27535652008424183
2030,2008,109,0.3638773429553897,0.9499999999999996,0.4448275137900462,0.5987735083304127,0.27535652008424183
2030,2008,110,0.3645212224002218,0.9499999999999996,0.4554687073367225,0.5901685492211942,0.27535652008424183
2030,2008,111,0.3066445357294157,0.9499999999999996,0.454695266828251,0.5736483584537375,0.27535652008424183
2030,2008,112,0.2033005325201187,0.9499999999999996,0.4460069994373655,0.5628886737776589,0.27535652008424183
2030,2008,113,0.08767675181868465,0.9499998068336026,0.4414053260900827,0.562093396828843,0.27535652008424183
2030,2008,114,0.0,0.9499895213825352,0.4679767820834994,0.5774388702700113,0.27535652008424183
2030,2008,115,0.0,0.9499468543375243,0.4839399183340488,0.6027068881477841,0.27535652008424183
2030,2008,116,0.0,0.9499867320001476,0.4933584714457244,0.6245895286199485,0.27535652008424183
2030,2008,117,0.0,0.9499988410806663,0.5061498355130027,0.6312319576705466,0.27535652008424183
2030,2008,118,0.0,0.9499998505410406,0.5145971727519694,0.6045921609480376,0.27535652008424183
2030,2008,119,0.0,0.9499999285632474,0.5160386190777089,0.5582436749558414,0.27535652008424183
2030,2008,120,0.0,0.9499999075954636,0.5214083884545748,0.5368221747637557,0.27535652008424183
2030,2008,121,0.0,0.9499999496379476,0.5355897793255455,0.49447316387150214,0.27535652008424183
2030,2008,122,0.0,0.9499999907468896,0.5464409525330408,0.47840297440269824,0.27535652008424183
2030,2008,123,0.0,0.9499995445628492,0.552487071721893,0.46447734014993314,0.27535652008424183
2030,2008,124,0.0,0.949990651299678,0.5548166075189775,0.45014248125123035,0.27535652008424183
2030,2008,125,0.0,0.9499807252534468,0.5605133171684846,0.4397627955150157,0.27535652008424183
2030,2008,126,0.0,0.9499854230851836,0.5540305462204466,0.4305389621470131,0.27535652008424183
2030,2008,127,0.0,0.9499907947452354,0.5440824823426381,0.43637569712729973,0.27535652008424183
2030,2008,128,0.0,0.9499965275512592,0.5347587551335012,0.46086027312897765,0.27535652008424183
2030,2008,129,0.01656263455818429,0.9499978343962864,0.521404407159563,0.49339628500514315,0.27535652008424183
2030,2008,130,0.08613368979900843,0.9499981353085999,0.5083927776586825,0.523947144760755,0.27535652008424183
2030,2008,131,0.1729650179530609,0.9499997585166088,0.4838490225064949,0.539850956263492,0.27535652008424183
2030,2008,132,0.2704640100635528,0.9499999684218388,0.4663681748323,0.5430127284182765,0.27535652008424183
2030,2008,133,0.344121181263276,0.9499998575018832,0.4638395727677249,0.545480124874447,0.27535652008424183
2030,2008,134,0.361343983419786,0.9499998856029062,0.446909091636697,0.5435765781292929,0.27535652008424183
2030,2008,135,0.3425800656484926,0.9499999143173959,0.4404963017322919,0.5389667642565271,0.27535652008424183
2030,2008,136,0.2673512537073337,0.9499999671658512,0.4122731245180291,0.5277409617106763,0.27535652008424183
2030,2008,137,0.132498468768171,0.9499999999999996,0.3866414011420461,0.5287477052104765,0.27535652008424183
2030,2008,138,0.0001828280393916467,0.9499999999999996,0.3805163796564724,0.5410990224705062,0.27535652008424183
2030,2008,139,0.0,0.9499999871207148,0.3812654932359258,0.5675367221677632,0.27535652008424183
2030,2008,140,0.0,0.9499999852817074,0.3917156654800603,0.5861375098654099,0.27535652008424183
2030,2008,141,0.0,0.9495679280495024,0.3861009189587385,0.5958761495905377,0.27535652008424183
2030,2008,142,0.0,0.8994702747453174,0.3705442737823114,0.582128273529836,0.27535652008424183
2030,2008,143,0.0,0.7355811131683337,0.3731708068219795,0.5470222229943631,0.27535652008424183
2030,2008,144,0.0,0.5119264357348353,0.3556079152921909,0.5288284700628519,0.27535652008424183
2030,2008,145,0.0,0.3656606312157833,0.3375174527965818,0.49925362934640194,0.27535652008424183
2030,2008,146,0.0,0.2929865165484506,0.3015767382999417,0.4841227366148571,0.27535652008424183
2030,2008,147,0.0,0.2306332533112945,0.2572205011115605,0.4717469989863367,0.27535652008424183
2030,2008,148,0.0,0.1967083440015816,0.2180985348067871,0.45946422061149295,0.27535652008424183
2030,2008,149,0.0,0.1484796063500538,0.1878307254820862,0.4550978147282747,0.27535652008424183
2030,2008,150,0.0,0.1132372354197146,0.154592940074136,0.45534414185406086,0.27535652008424183
2030,2008,151,0.0,0.09207837193057247,0.1224319985335331,0.46825485142744644,0.27535652008424183
2030,2008,152,0.0,0.1024278971601474,0.1077161153380955,0.49807882191595754,0.27535652008424183
2030,2008,153,0.03447979978499761,0.09258384955310056,0.09420352797074624,0.534083050883448,0.27535652008424183
2030,2008,154,0.1446047472197325,0.06185042803700058,0.07853849800505293,0.5633116783837635,0.27535652008424183
2030,2008,155,0.2691478630540063,0.0670656554182464,0.06106068292209189,0.5774228317925011,0.27535652008424183
2030,2008,156,0.3745787107463926,0.04342779888916448,0.05578691589167625,0.580499402182139,0.27535652008424183
2030,2008,157,0.438038380734629,0.02655635879990676,0.06509117537805684,0.5790523363628101,0.27535652008424183
2030,2008,158,0.4568398399953647,0.02299262318286365,0.0732191176947765,0.570967783732284,0.27535652008424183
2030,2008,159,0.4166229717220463,0.02986347935929012,0.07278080551957711,0.5561803580062226,0.27535652008424183
2030,2008,160,0.3058034460726675,0.02132155566718228,0.06252953097728774,0.5463371632570082,0.27535652008424183
2030,2008,161,0.1523050002643934,0.01358891244282491,0.05395009400770397,0.5447007550250559,0.27535652008424183
