base_name,period_duration,method,distance,weight_type,niters,learning_rate,stochastic_method,risk_aversion_weight_lambda,risk_aversion_confidence_level,run_case
convex_dirac_cross,24,convex_hull,Euclidean,dirac,2000,0.001,cross_scenario,0.1,0.95,false
convex_dirac_per,24,convex_hull,Euclidean,dirac,2000,0.001,per_scenario,0.1,0.95,false
convex_convex_cross,24,convex_hull,Euclidean,convex,2000,0.001,cross_scenario,0.1,0.95,false
convex_convex_per,24,convex_hull,Euclidean,convex,2000,0.001,per_scenario,0.1,0.95,false
conical_dirac_cross,24,conical_hull,Euclidean,dirac,2000,0.001,cross_scenario,0.1,0.95,false
conical_dirac_per,24,conical_hull,Euclidean,dirac,2000,0.001,per_scenario,0.1,0.95,false
conical_conical_cross,24,conical_hull,Euclidean,conical,2000,0.001,cross_scenario,0.1,0.95,false
conical_conical_per,24,conical_hull,Euclidean,conical,2000,0.001,per_scenario,0.1,0.95,false
conicalb_dirac_cross,24,convex_hull_with_null,Euclidean,dirac,2000,0.001,cross_scenario,0.1,0.95,false
conicalb_dirac_per,24,convex_hull_with_null,Euclidean,dirac,2000,0.001,per_scenario,0.1,0.95,false
conicalb_conicalb_cross,24,convex_hull_with_null,Euclidean,conical_bounded,2000,0.001,cross_scenario,0.1,0.95,false
conicalb_conicalb_per,24,convex_hull_with_null,Euclidean,conical_bounded,2000,0.001,per_scenario,0.1,0.95,false
convex_convex_per,24,convex_hull_with_null,Euclidean,conical_bounded,2000,0.001,per_scenario,0.1,0.95,true
convex_convex_per,24,convex_hull_with_null,Euclidean,conical_bounded,2000,0.001,cross_scenario,0.1,0.95,true

