name,type,capacity,capacity_storage_energy,technology,is_seasonal,lat,lon
NL_Battery,storage,52.294,156.882,Battery,FALSE,52.1326,5.2913
BE_Battery,storage,1.13,3.39,Battery,FALSE,50.5039,4.4699
DE_Hydro_Reservoir,storage,1.297,258.6,Hydro_Reservoir,TRUE,51.1657,10.4515
DE_Battery,storage,111.097,333.291,Battery,FALSE,51.1657,10.4515
DE_Pump_Hydro_Closed,storage,7.382,242.2,PHS,TRUE,51.1657,10.4515
DE_Pump_Hydro_Open,storage,1.644,416.7,PHS,TRUE,51.1657,10.4515
FR_Hydro_Reservoir,storage,8.785,10000,Hydro_Reservoir,TRUE,46.6034,1.8883
FR_Pump_Hydro_Closed,storage,1.95,10,PHS,TRUE,46.6034,1.8883
FR_Pump_Hydro_Open,storage,1.85,90,PHS,TRUE,46.6034,1.8883
UK_Battery,storage,12.932,38.796,Battery,FALSE,55.3781,-3.436
UK_Pump_Hydro_Closed,storage,2.744,26.4,PHS,TRUE,55.3781,-3.436
IE_Battery,storage,52.206,156.618,Battery,FALSE,53.1424,-7.6921
IE_Pump_Hydro_Closed,storage,0.292,1.7,PHS,TRUE,53.1424,-7.6921
CH_Battery,storage,5.05,15.15,Battery,FALSE,46.8182,8.2275
CH_Pump_Hydro_Closed,storage,2.17,70,PHS,TRUE,46.8182,8.2275
CH_Pump_Hydro_Open,storage,10.732,8800,PHS,TRUE,46.8182,8.2275
AT_Hydro_Reservoir,storage,2.489,757,Hydro_Reservoir,TRUE,47.5162,14.5501
AT_Battery,storage,0.304,0.912,Battery,FALSE,47.5162,14.5501
AT_Pump_Hydro_Closed,storage,0.3,1.8,PHS,TRUE,47.5162,14.5501
AT_Pump_Hydro_Open,storage,5.793,1732.6,PHS,TRUE,47.5162,14.5501
LU_Pump_Hydro_Closed,storage,1.31,5,PHS,TRUE,49.8153,6.1296
CZ_Hydro_Reservoir,storage,0.698,2.5,Hydro_Reservoir,TRUE,49.8175,15.473
CZ_Battery,storage,3.61,10.83,Battery,FALSE,49.8175,15.473
CZ_Pump_Hydro_Closed,storage,0.688,3.7,PHS,TRUE,49.8175,15.473
CZ_Pump_Hydro_Open,storage,0.47,2.3,PHS,TRUE,49.8175,15.473
PL_Hydro_Reservoir,storage,0.272,0.8,Hydro_Reservoir,TRUE,51.9194,19.1451
PL_Pump_Hydro_Closed,storage,1.323,6.3,PHS,TRUE,51.9194,19.1451
PL_Pump_Hydro_Open,storage,0.216,1.5,PHS,TRUE,51.9194,19.1451
SE_Hydro_Reservoir,storage,16.447,31931.326,Hydro_Reservoir,TRUE,60.1282,18.6435
SE_Battery,storage,0.543,1.629,Battery,FALSE,60.1282,18.6435
NO_Pump_Hydro_Open,storage,0.76,4.56,PHS,TRUE,60.472,8.4689
NO_Hydro_Reservoir,storage,30.728,89577.4,Hydro_Reservoir,TRUE,60.472,8.4689
ES_Hydro_Reservoir,storage,10.972,11648.5,Hydro_Reservoir,TRUE,40.4637,-3.7492
ES_Battery,storage,32,96,Battery,FALSE,40.4637,-3.7492
ES_Pump_Hydro_Closed,storage,6.866,99,PHS,TRUE,40.4637,-3.7492
ES_Pump_Hydro_Open,storage,2.683,5961.9,PHS,TRUE,40.4637,-3.7492
PT_Hydro_Reservoir,storage,3.766,1289.6,Hydro_Reservoir,TRUE,39.3999,-8.2245
PT_Pump_Hydro_Open,storage,3.832,2017.9,PHS,TRUE,39.3999,-8.2245
IT_Hydro_Reservoir,storage,9.576,5567.85,Hydro_Reservoir,TRUE,41.8719,12.5674
IT_Battery,storage,142.781,428.343,Battery,FALSE,41.8719,12.5674
IT_Pump_Hydro_Closed,storage,6.2,63,PHS,TRUE,41.8719,12.5674
IT_Pump_Hydro_Open,storage,3.254,288.99,PHS,TRUE,41.8719,12.5674
SI_Battery,storage,0.065,0.195,Battery,FALSE,46.1512,14.9955
SI_Pump_Hydro_Closed,storage,0.18,2.6,PHS,TRUE,46.1512,14.9955
HU_Battery,storage,0.954,2.862,Battery,FALSE,47.1625,19.5033
SK_Hydro_Reservoir,storage,0.021,17.242,Hydro_Reservoir,TRUE,48.669,19.699
SK_Pump_Hydro_Closed,storage,0.65,4.1,PHS,TRUE,48.669,19.699
SK_Pump_Hydro_Open,storage,0.276,45.55,PHS,TRUE,48.669,19.699
LT_Battery,storage,3.658,10.974,Battery,FALSE,55.1694,23.8813
LT_Pump_Hydro_Closed,storage,0.93,10.6,PHS,TRUE,55.1694,23.8813
FI_Hydro_Reservoir,storage,3.237,5530,Hydro_Reservoir,TRUE,61.9241,25.7482
FI_Battery,storage,5.887,17.661,Battery,FALSE,61.9241,25.7482
HR_Hydro_Reservoir,storage,1.941,2045.9,Hydro_Reservoir,TRUE,45.1,15.2
HR_Battery,storage,0.365,1.095,Battery,FALSE,45.1,15.2
HR_Pump_Hydro_Open,storage,0.281,18.3,PHS,TRUE,45.1,15.2
GR_Hydro_Reservoir,storage,2.744,3600,Hydro_Reservoir,TRUE,39.0742,21.8243
GR_Battery,storage,33.048,99.144,Battery,FALSE,39.0742,21.8243
