id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
1,AT_Battery,2050,1,1,4,0.0
2,AT_Battery,2050,1,5,8,0.0
3,AT_Battery,2050,1,9,12,0.0
4,AT_Battery,2050,1,13,16,0.0
5,AT_Battery,2050,1,17,20,0.0
6,AT_Battery,2050,1,21,24,0.0
7,AT_Battery,2050,2,1,4,0.0
8,AT_Battery,2050,2,5,8,0.0
9,AT_Battery,2050,2,9,12,0.0
10,AT_Battery,2050,2,13,16,0.0
11,AT_Battery,2050,2,17,20,0.0
12,AT_Battery,2050,2,21,24,0.0
13,AT_Battery,2050,3,1,4,0.0
14,AT_Battery,2050,3,5,8,0.0
15,AT_Battery,2050,3,9,12,0.0
16,AT_Battery,2050,3,13,16,0.0
17,AT_Battery,2050,3,17,20,0.0
18,AT_Battery,2050,3,21,24,0.0
19,AT_E_ENS,2050,1,1,4,0.0
20,AT_E_ENS,2050,1,5,8,0.0
21,AT_E_ENS,2050,1,9,12,0.0
22,AT_E_ENS,2050,1,13,16,0.0
23,AT_E_ENS,2050,1,17,20,0.0
24,AT_E_ENS,2050,1,21,24,0.0
25,AT_E_ENS,2050,2,1,4,0.0
26,AT_E_ENS,2050,2,5,8,0.0
27,AT_E_ENS,2050,2,9,12,0.0
28,AT_E_ENS,2050,2,13,16,0.0
29,AT_E_ENS,2050,2,17,20,0.0
30,AT_E_ENS,2050,2,21,24,0.0
31,AT_E_ENS,2050,3,1,4,0.0
32,AT_E_ENS,2050,3,5,8,0.0
33,AT_E_ENS,2050,3,9,12,0.0
34,AT_E_ENS,2050,3,13,16,0.0
35,AT_E_ENS,2050,3,17,20,0.0
36,AT_E_ENS,2050,3,21,24,0.0
37,AT_Gas,2050,1,1,4,0.0
38,AT_Gas,2050,1,5,8,0.0
39,AT_Gas,2050,1,9,12,0.0
40,AT_Gas,2050,1,13,16,0.0
41,AT_Gas,2050,1,17,20,0.0
42,AT_Gas,2050,1,21,24,0.0
43,AT_Gas,2050,2,1,4,0.0
44,AT_Gas,2050,2,5,8,0.0
45,AT_Gas,2050,2,9,12,0.0
46,AT_Gas,2050,2,13,16,0.0
47,AT_Gas,2050,2,17,20,0.0
48,AT_Gas,2050,2,21,24,0.0
49,AT_Gas,2050,3,1,4,0.0
50,AT_Gas,2050,3,5,8,0.0
51,AT_Gas,2050,3,9,12,0.0
52,AT_Gas,2050,3,13,16,0.0
53,AT_Gas,2050,3,17,20,0.0
54,AT_Gas,2050,3,21,24,0.0
55,AT_Hydro,2050,1,1,4,-0.0
56,AT_Hydro,2050,1,5,8,-0.0
57,AT_Hydro,2050,1,9,12,0.0
58,AT_Hydro,2050,1,13,16,0.0
59,AT_Hydro,2050,1,17,20,-0.0
60,AT_Hydro,2050,1,21,24,-0.0
61,AT_Hydro,2050,2,1,4,-6073.521844509809
62,AT_Hydro,2050,2,5,8,-6073.521844509803
63,AT_Hydro,2050,2,9,12,-0.0
64,AT_Hydro,2050,2,13,16,-0.0
65,AT_Hydro,2050,2,17,20,-4555.141383382357
66,AT_Hydro,2050,2,21,24,-6073.521844509809
67,AT_Hydro,2050,3,1,4,2.2737367544323206e-13
68,AT_Hydro,2050,3,5,8,-0.0
69,AT_Hydro,2050,3,9,12,-0.0
70,AT_Hydro,2050,3,13,16,0.0
71,AT_Hydro,2050,3,17,20,-0.0
72,AT_Hydro,2050,3,21,24,-0.0
73,AT_Hydro_Reservoir,2050,1,1,4,0.0
74,AT_Hydro_Reservoir,2050,1,5,8,0.0
75,AT_Hydro_Reservoir,2050,1,9,12,0.0
76,AT_Hydro_Reservoir,2050,1,13,16,0.0
77,AT_Hydro_Reservoir,2050,1,17,20,0.0
78,AT_Hydro_Reservoir,2050,1,21,24,0.0
79,AT_Hydro_Reservoir,2050,2,1,4,0.0
80,AT_Hydro_Reservoir,2050,2,5,8,0.0
81,AT_Hydro_Reservoir,2050,2,9,12,0.0
82,AT_Hydro_Reservoir,2050,2,13,16,0.0
83,AT_Hydro_Reservoir,2050,2,17,20,0.0
84,AT_Hydro_Reservoir,2050,2,21,24,0.0
85,AT_Hydro_Reservoir,2050,3,1,4,0.0
86,AT_Hydro_Reservoir,2050,3,5,8,0.0
87,AT_Hydro_Reservoir,2050,3,9,12,0.0
88,AT_Hydro_Reservoir,2050,3,13,16,0.0
89,AT_Hydro_Reservoir,2050,3,17,20,0.0
90,AT_Hydro_Reservoir,2050,3,21,24,0.0
91,AT_Pump_Hydro_Closed,2050,1,1,4,4.249045559845399e-12
92,AT_Pump_Hydro_Closed,2050,1,5,8,0.0
93,AT_Pump_Hydro_Closed,2050,1,9,12,0.0
94,AT_Pump_Hydro_Closed,2050,1,13,16,0.0
95,AT_Pump_Hydro_Closed,2050,1,17,20,0.0
96,AT_Pump_Hydro_Closed,2050,1,21,24,4.249045559845399e-12
97,AT_Pump_Hydro_Closed,2050,2,1,4,-1518.3804611274518
98,AT_Pump_Hydro_Closed,2050,2,5,8,-1518.3804611274454
99,AT_Pump_Hydro_Closed,2050,2,9,12,0.0
100,AT_Pump_Hydro_Closed,2050,2,13,16,0.0
101,AT_Pump_Hydro_Closed,2050,2,17,20,0.0
102,AT_Pump_Hydro_Closed,2050,2,21,24,-1518.3804611274518
103,AT_Pump_Hydro_Closed,2050,3,1,4,-0.0
104,AT_Pump_Hydro_Closed,2050,3,5,8,0.0
105,AT_Pump_Hydro_Closed,2050,3,9,12,0.0
106,AT_Pump_Hydro_Closed,2050,3,13,16,0.0
107,AT_Pump_Hydro_Closed,2050,3,17,20,-2.2737367544323206e-13
108,AT_Pump_Hydro_Closed,2050,3,21,24,0.0
109,AT_Pump_Hydro_Open,2050,1,1,4,4.703792910731863e-12
110,AT_Pump_Hydro_Open,2050,1,5,8,0.0
111,AT_Pump_Hydro_Open,2050,1,9,12,0.0
112,AT_Pump_Hydro_Open,2050,1,13,16,0.0
113,AT_Pump_Hydro_Open,2050,1,17,20,0.0
114,AT_Pump_Hydro_Open,2050,1,21,24,4.703792910731863e-12
115,AT_Pump_Hydro_Open,2050,2,1,4,-1518.3804611274518
116,AT_Pump_Hydro_Open,2050,2,5,8,-1518.3804611274454
117,AT_Pump_Hydro_Open,2050,2,9,12,0.0
118,AT_Pump_Hydro_Open,2050,2,13,16,0.0
119,AT_Pump_Hydro_Open,2050,2,17,20,0.0
120,AT_Pump_Hydro_Open,2050,2,21,24,-1518.3804611274518
121,AT_Pump_Hydro_Open,2050,3,1,4,0.0
122,AT_Pump_Hydro_Open,2050,3,5,8,0.0
123,AT_Pump_Hydro_Open,2050,3,9,12,0.0
124,AT_Pump_Hydro_Open,2050,3,13,16,0.0
125,AT_Pump_Hydro_Open,2050,3,17,20,-2.2737367544323206e-13
126,AT_Pump_Hydro_Open,2050,3,21,24,-2.2737367544323206e-13
127,AT_Solar,2050,1,1,4,0.0
128,AT_Solar,2050,1,5,8,-0.0
129,AT_Solar,2050,1,9,12,0.0
130,AT_Solar,2050,1,13,16,0.0
131,AT_Solar,2050,1,17,20,-0.0
132,AT_Solar,2050,1,21,24,0.0
133,AT_Solar,2050,2,1,4,-6073.521844509809
134,AT_Solar,2050,2,5,8,-6073.521844509803
135,AT_Solar,2050,2,9,12,-0.0
136,AT_Solar,2050,2,13,16,-0.0
137,AT_Solar,2050,2,17,20,-4555.141383382357
138,AT_Solar,2050,2,21,24,-6073.521844509809
139,AT_Solar,2050,3,1,4,2.2737367544323206e-13
140,AT_Solar,2050,3,5,8,-0.0
141,AT_Solar,2050,3,9,12,-0.0
142,AT_Solar,2050,3,13,16,0.0
143,AT_Solar,2050,3,17,20,-0.0
144,AT_Solar,2050,3,21,24,0.0
145,AT_Wind_Onshore,2050,1,1,4,-0.0
146,AT_Wind_Onshore,2050,1,5,8,-0.0
147,AT_Wind_Onshore,2050,1,9,12,-0.0
148,AT_Wind_Onshore,2050,1,13,16,-0.0
149,AT_Wind_Onshore,2050,1,17,20,-0.0
150,AT_Wind_Onshore,2050,1,21,24,-0.0
151,AT_Wind_Onshore,2050,2,1,4,-6073.521844509809
152,AT_Wind_Onshore,2050,2,5,8,-6073.521844509803
153,AT_Wind_Onshore,2050,2,9,12,-0.0
154,AT_Wind_Onshore,2050,2,13,16,-0.0
155,AT_Wind_Onshore,2050,2,17,20,-4555.141383382357
156,AT_Wind_Onshore,2050,2,21,24,-6073.521844509809
157,AT_Wind_Onshore,2050,3,1,4,2.2737367544323206e-13
158,AT_Wind_Onshore,2050,3,5,8,-0.0
