id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_hub
1,AT_E_Balance,2050,1,1,4,-0.0
2,AT_E_Balance,2050,1,5,8,-0.0
3,AT_E_Balance,2050,1,9,12,-0.0
4,AT_E_Balance,2050,1,13,16,-0.0
5,AT_E_Balance,2050,1,17,20,-0.0
6,AT_E_Balance,2050,1,21,24,-0.0
7,AT_E_Balance,2050,2,1,4,6073.521844509804
8,AT_E_Balance,2050,2,5,8,6073.521844509802
9,AT_E_Balance,2050,2,9,12,-0.0
10,AT_E_Balance,2050,2,13,16,-0.0
11,AT_E_Balance,2050,2,17,20,4555.1413833823535
12,AT_E_Balance,2050,2,21,24,6073.521844509804
13,AT_E_Balance,2050,3,1,4,9.663381206337363e-13
14,AT_E_Balance,2050,3,5,8,-0.0
15,AT_E_Balance,2050,3,9,12,-6.821210263296962e-13
16,AT_E_Balance,2050,3,13,16,-0.0
17,AT_E_Balance,2050,3,17,20,-0.0
18,AT_E_Balance,2050,3,21,24,-0.0
19,BE_E_Balance,2050,1,1,1,-0.0
20,BE_E_Balance,2050,1,2,2,1.390221271435621e-12
21,BE_E_Balance,2050,1,3,3,-1.390221271435621e-12
22,BE_E_Balance,2050,1,4,4,-0.0
23,BE_E_Balance,2050,1,5,5,-0.0
24,BE_E_Balance,2050,1,6,6,-0.0
25,BE_E_Balance,2050,1,7,7,-0.0
26,BE_E_Balance,2050,1,8,8,-0.0
27,BE_E_Balance,2050,1,9,9,-0.0
28,BE_E_Balance,2050,1,10,10,-0.0
29,BE_E_Balance,2050,1,11,11,-0.0
30,BE_E_Balance,2050,1,12,12,-0.0
31,BE_E_Balance,2050,1,13,13,-0.0
32,BE_E_Balance,2050,1,14,14,-0.0
33,BE_E_Balance,2050,1,15,15,-0.0
34,BE_E_Balance,2050,1,16,16,-0.0
35,BE_E_Balance,2050,1,17,17,-0.0
36,BE_E_Balance,2050,1,18,18,5.17585974080248e-13
37,BE_E_Balance,2050,1,19,19,-0.0
38,BE_E_Balance,2050,1,20,20,-0.0
39,BE_E_Balance,2050,1,21,21,-0.0
40,BE_E_Balance,2050,1,22,22,-0.0
41,BE_E_Balance,2050,1,23,23,-0.0
42,BE_E_Balance,2050,1,24,24,-0.0
43,BE_E_Balance,2050,2,1,1,1518.380461127451
44,BE_E_Balance,2050,2,2,2,1518.380461127451
45,BE_E_Balance,2050,2,3,3,1518.380461127451
46,BE_E_Balance,2050,2,4,4,1518.380461127451
47,BE_E_Balance,2050,2,5,5,1518.380461127451
48,BE_E_Balance,2050,2,6,6,1518.380461127451
49,BE_E_Balance,2050,2,7,7,1518.380461127451
50,BE_E_Balance,2050,2,8,8,1518.3804611274504
51,BE_E_Balance,2050,2,9,9,1518.380461127451
52,BE_E_Balance,2050,2,10,10,-0.0
53,BE_E_Balance,2050,2,11,11,-0.0
54,BE_E_Balance,2050,2,12,12,-0.0
55,BE_E_Balance,2050,2,13,13,-0.0
56,BE_E_Balance,2050,2,14,14,-0.0
57,BE_E_Balance,2050,2,15,15,-0.0
58,BE_E_Balance,2050,2,16,16,-0.0
59,BE_E_Balance,2050,2,17,17,-0.0
60,BE_E_Balance,2050,2,18,18,1518.380461127451
61,BE_E_Balance,2050,2,19,19,1518.380461127451
62,BE_E_Balance,2050,2,20,20,1518.380461127451
63,BE_E_Balance,2050,2,21,21,1518.380461127451
64,BE_E_Balance,2050,2,22,22,1518.380461127451
65,BE_E_Balance,2050,2,23,23,1518.380461127451
66,BE_E_Balance,2050,2,24,24,1518.380461127451
67,BE_E_Balance,2050,3,1,1,-0.0
68,BE_E_Balance,2050,3,2,2,-0.0
69,BE_E_Balance,2050,3,3,3,-0.0
70,BE_E_Balance,2050,3,4,4,-0.0
71,BE_E_Balance,2050,3,5,5,-0.0
72,BE_E_Balance,2050,3,6,6,-0.0
73,BE_E_Balance,2050,3,7,7,-0.0
74,BE_E_Balance,2050,3,8,8,-0.0
75,BE_E_Balance,2050,3,9,9,-0.0
76,BE_E_Balance,2050,3,10,10,-0.0
77,BE_E_Balance,2050,3,11,11,-0.0
78,BE_E_Balance,2050,3,12,12,-0.0
79,BE_E_Balance,2050,3,13,13,-0.0
80,BE_E_Balance,2050,3,14,14,-0.0
81,BE_E_Balance,2050,3,15,15,-0.0
82,BE_E_Balance,2050,3,16,16,-0.0
83,BE_E_Balance,2050,3,17,17,-0.0
84,BE_E_Balance,2050,3,18,18,-0.0
85,BE_E_Balance,2050,3,19,19,-1.2789769243681803e-13
86,BE_E_Balance,2050,3,20,20,1.2789769243681803e-13
87,BE_E_Balance,2050,3,21,21,1.2789769243681803e-13
