id,from_asset,to_asset,year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,AT_E_Balance,DE_E_Balance,2050,1,1.0,1.0,1,4,5.549563134213535
2,AT_E_Balance,DE_E_Balance,2050,1,1.0,1.0,5,8,11.5
3,AT_E_Balance,DE_E_Balance,2050,1,1.0,1.0,9,12,-11.5
4,AT_E_Balance,DE_E_Balance,2050,1,1.0,1.0,13,16,-11.5
5,AT_E_Balance,DE_E_Balance,2050,1,1.0,1.0,17,20,5.539301473246824
6,AT_E_Balance,DE_E_Balance,2050,1,1.0,1.0,21,24,11.388785801817587
7,BG_E_Balance,GR_E_Balance,2050,1,1.0,1.0,1,4,-2.4
8,BG_E_Balance,GR_E_Balance,2050,1,1.0,1.0,5,8,-2.4
9,BG_E_Balance,GR_E_Balance,2050,1,1.0,1.0,9,12,-2.4
10,BG_E_Balance,GR_E_Balance,2050,1,1.0,1.0,13,16,-2.4
11,BG_E_Balance,GR_E_Balance,2050,1,1.0,1.0,17,20,-2.4
12,BG_E_Balance,GR_E_Balance,2050,1,1.0,1.0,21,24,-2.4
13,CH_E_Balance,FR_E_Balance,2050,1,1.0,1.0,1,4,-6.262358368948155
14,CH_E_Balance,FR_E_Balance,2050,1,1.0,1.0,5,8,3.7504112959934215
15,CH_E_Balance,FR_E_Balance,2050,1,1.0,1.0,9,12,-6.5
16,CH_E_Balance,FR_E_Balance,2050,1,1.0,1.0,13,16,-6.5
17,CH_E_Balance,FR_E_Balance,2050,1,1.0,1.0,17,20,-6.5
18,CH_E_Balance,FR_E_Balance,2050,1,1.0,1.0,21,24,-2.000729288915211
19,CY_E_Balance,GR_E_Balance,2050,1,1.0,1.0,1,4,-0.9594262333557584
20,CY_E_Balance,GR_E_Balance,2050,1,1.0,1.0,5,8,-0.9500477633119936
21,CY_E_Balance,GR_E_Balance,2050,1,1.0,1.0,9,12,-1.0
22,CY_E_Balance,GR_E_Balance,2050,1,1.0,1.0,13,16,-1.0
23,CY_E_Balance,GR_E_Balance,2050,1,1.0,1.0,17,20,-1.0
24,CY_E_Balance,GR_E_Balance,2050,1,1.0,1.0,21,24,-0.9091353398428088
25,CZ_E_Balance,DE_E_Balance,2050,1,1.0,1.0,1,4,-5.6
26,CZ_E_Balance,DE_E_Balance,2050,1,1.0,1.0,5,8,-5.6
27,CZ_E_Balance,DE_E_Balance,2050,1,1.0,1.0,9,12,-4.015293865099732
28,CZ_E_Balance,DE_E_Balance,2050,1,1.0,1.0,13,16,-5.6
29,CZ_E_Balance,DE_E_Balance,2050,1,1.0,1.0,17,20,-5.6
30,CZ_E_Balance,DE_E_Balance,2050,1,1.0,1.0,21,24,-4.525520078938528
31,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,1,1,-5.522302732040355
32,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,2,2,-5.991869137637881
33,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,3,3,-6.10663252187604
34,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,4,4,-5.6159869324615315
35,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,5,5,-2.302026162029618
36,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,6,6,-1.0043887858899136
37,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,7,7,0.23334707117390963
38,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,8,8,8.0
39,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,9,9,8.0
40,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,10,10,8.0
41,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,11,11,8.0
42,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,12,12,8.0
43,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,13,13,8.0
44,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,14,14,8.0
45,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,15,15,8.0
46,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,16,16,8.0
47,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,17,17,8.0
48,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,18,18,-8.0
49,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,19,19,2.932199321826836
50,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,20,20,8.0
51,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,21,21,8.0
52,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,22,22,8.0
53,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,23,23,0.39156029316429297
54,DE_E_Balance,NL_E_Balance,2050,1,1.0,1.0,24,24,-6.097038142952126
55,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,1,1,-2.7
56,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,2,2,-2.7
57,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,3,3,-2.7
58,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,4,4,-2.7
59,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,5,5,-2.7
60,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,6,6,-2.7
61,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,7,7,-2.7
62,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,8,8,-2.7
63,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,9,9,-2.5881984545612626
64,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,10,10,-2.7
65,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,11,11,-2.7
66,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,12,12,-2.7
67,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,13,13,-2.7
68,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,14,14,-2.7
69,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,15,15,-2.657826316805253
70,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,16,16,-1.409646617349698
71,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,17,17,-2.7
72,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,18,18,-2.7
73,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,19,19,2.7
74,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,20,20,-2.7
75,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,21,21,2.7
76,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,22,22,2.7
77,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,23,23,2.3995035206850828
78,DK_E_Balance,NL_E_Balance,2050,1,1.0,1.0,24,24,1.6879484669335127
79,EE_E_Balance,LV_E_Balance,2050,1,1.0,1.0,1,4,-3.879
80,EE_E_Balance,LV_E_Balance,2050,1,1.0,1.0,5,8,-3.879
81,EE_E_Balance,LV_E_Balance,2050,1,1.0,1.0,9,12,-3.879
82,EE_E_Balance,LV_E_Balance,2050,1,1.0,1.0,13,16,-3.879
83,EE_E_Balance,LV_E_Balance,2050,1,1.0,1.0,17,20,-3.879
84,EE_E_Balance,LV_E_Balance,2050,1,1.0,1.0,21,24,-3.879
85,ES_E_Balance,FR_E_Balance,2050,1,1.0,1.0,1,3,-4.949249100534006
86,ES_E_Balance,FR_E_Balance,2050,1,1.0,1.0,4,6,-4.949249100534006
87,ES_E_Balance,FR_E_Balance,2050,1,1.0,1.0,7,9,-11.0
88,ES_E_Balance,FR_E_Balance,2050,1,1.0,1.0,10,12,-11.0
89,ES_E_Balance,FR_E_Balance,2050,1,1.0,1.0,13,15,-11.0
90,ES_E_Balance,FR_E_Balance,2050,1,1.0,1.0,16,18,-11.0
91,ES_E_Balance,FR_E_Balance,2050,1,1.0,1.0,19,21,10.45212306172289
92,ES_E_Balance,FR_E_Balance,2050,1,1.0,1.0,22,24,10.452123061722892
93,FI_E_Balance,SE_E_Balance,2050,1,1.0,1.0,1,4,-12.0
94,FI_E_Balance,SE_E_Balance,2050,1,1.0,1.0,5,8,-12.0
95,FI_E_Balance,SE_E_Balance,2050,1,1.0,1.0,9,12,-12.0
96,FI_E_Balance,SE_E_Balance,2050,1,1.0,1.0,13,16,-12.0
97,FI_E_Balance,SE_E_Balance,2050,1,1.0,1.0,17,20,-12.0
98,FI_E_Balance,SE_E_Balance,2050,1,1.0,1.0,21,24,-7.476839414353834
99,GR_E_Balance,IT_E_Balance,2050,1,1.0,1.0,1,4,2.5
100,GR_E_Balance,IT_E_Balance,2050,1,1.0,1.0,5,8,2.5
101,GR_E_Balance,IT_E_Balance,2050,1,1.0,1.0,9,12,-2.5
102,GR_E_Balance,IT_E_Balance,2050,1,1.0,1.0,13,16,-2.5
103,GR_E_Balance,IT_E_Balance,2050,1,1.0,1.0,17,20,2.5
104,GR_E_Balance,IT_E_Balance,2050,1,1.0,1.0,21,24,2.5
105,HR_E_Balance,SI_E_Balance,2050,1,1.0,1.0,1,4,-2.2773426897796174
106,HR_E_Balance,SI_E_Balance,2050,1,1.0,1.0,5,8,-1.3623032981200223
107,HR_E_Balance,SI_E_Balance,2050,1,1.0,1.0,9,12,-3.5
108,HR_E_Balance,SI_E_Balance,2050,1,1.0,1.0,13,16,-3.5
109,HR_E_Balance,SI_E_Balance,2050,1,1.0,1.0,17,20,-2.0601028448059155
110,HR_E_Balance,SI_E_Balance,2050,1,1.0,1.0,21,24,0.6769425525311452
111,HU_E_Balance,SI_E_Balance,2050,1,1.0,1.0,1,4,-3.2
112,HU_E_Balance,SI_E_Balance,2050,1,1.0,1.0,5,8,-3.2
113,HU_E_Balance,SI_E_Balance,2050,1,1.0,1.0,9,12,-3.2
114,HU_E_Balance,SI_E_Balance,2050,1,1.0,1.0,13,16,-3.2
