id,asset,milestone_year,rep_period,time_block_start,time_block_end,solution
1,AT_Battery,2050,1,1,4,0.0
2,AT_Battery,2050,1,5,8,0.0
3,AT_Battery,2050,1,9,12,0.0
4,AT_Battery,2050,1,13,16,0.912
5,AT_Battery,2050,1,17,20,0.912
6,AT_Battery,2050,1,21,24,0.0
7,AT_Battery,2050,2,1,4,0.912
8,AT_Battery,2050,2,5,8,0.0
9,AT_Battery,2050,2,9,12,0.0
10,AT_Battery,2050,2,13,16,0.912
11,AT_Battery,2050,2,17,20,0.912
12,AT_Battery,2050,2,21,24,0.912
13,AT_Battery,2050,3,1,4,0.0
14,AT_Battery,2050,3,5,8,0.0
15,AT_Battery,2050,3,9,12,0.0
16,AT_Battery,2050,3,13,16,0.912
17,AT_Battery,2050,3,17,20,0.0
18,AT_Battery,2050,3,21,24,0.0
19,BE_Battery,2050,1,1,1,0.0
20,BE_Battery,2050,1,2,2,0.004001730825105021
21,BE_Battery,2050,1,3,3,0.0
22,BE_Battery,2050,1,4,4,0.06255657112973889
23,BE_Battery,2050,1,5,5,0.555812751097871
24,BE_Battery,2050,1,6,6,0.0
25,BE_Battery,2050,1,7,7,0.4418206738293975
26,BE_Battery,2050,1,8,8,0.0
27,BE_Battery,2050,1,9,9,0.18822833899970348
28,BE_Battery,2050,1,10,10,0.08964210741156009
29,BE_Battery,2050,1,11,11,0.0
30,BE_Battery,2050,1,12,12,0.174594769525811
31,BE_Battery,2050,1,13,13,0.0
32,BE_Battery,2050,1,14,14,0.06961359525694988
33,BE_Battery,2050,1,15,15,0.0
34,BE_Battery,2050,1,16,16,0.0
35,BE_Battery,2050,1,17,17,0.31722979183578026
36,BE_Battery,2050,1,18,18,0.34502890956586896
37,BE_Battery,2050,1,19,19,0.0
38,BE_Battery,2050,1,20,20,0.0
39,BE_Battery,2050,1,21,21,0.5738186777023411
40,BE_Battery,2050,1,22,22,1.0262831752597483
41,BE_Battery,2050,1,23,23,0.0
42,BE_Battery,2050,1,24,24,0.5005473620756087
43,BE_Battery,2050,2,1,1,0.0326214256816737
44,BE_Battery,2050,2,2,2,0.07984879625582408
45,BE_Battery,2050,2,3,3,0.0
46,BE_Battery,2050,2,4,4,0.0
47,BE_Battery,2050,2,5,5,0.6960695071267722
48,BE_Battery,2050,2,6,6,0.0
49,BE_Battery,2050,2,7,7,0.3618594145049099
50,BE_Battery,2050,2,8,8,0.0
51,BE_Battery,2050,2,9,9,0.11490908152835289
52,BE_Battery,2050,2,10,10,0.0
53,BE_Battery,2050,2,11,11,0.0
54,BE_Battery,2050,2,12,12,0.30034717949633993
55,BE_Battery,2050,2,13,13,1.1897607278198752
56,BE_Battery,2050,2,14,14,2.319760727819875
57,BE_Battery,2050,2,15,15,2.606731887859106
58,BE_Battery,2050,2,16,16,2.932852502542178
59,BE_Battery,2050,2,17,17,3.39
60,BE_Battery,2050,2,18,18,3.39
61,BE_Battery,2050,2,19,19,2.2600000000000002
62,BE_Battery,2050,2,20,20,1.5033631627368473
63,BE_Battery,2050,2,21,21,1.2364393229444604
64,BE_Battery,2050,2,22,22,1.13
65,BE_Battery,2050,2,23,23,0.0
66,BE_Battery,2050,2,24,24,0.45235722808608614
67,BE_Battery,2050,3,1,1,0.4015530428659204
68,BE_Battery,2050,3,2,2,0.11479806566688922
69,BE_Battery,2050,3,3,3,0.0
70,BE_Battery,2050,3,4,4,0.0
71,BE_Battery,2050,3,5,5,1.061593997445172
72,BE_Battery,2050,3,6,6,0.0
73,BE_Battery,2050,3,7,7,0.20589542008210948
74,BE_Battery,2050,3,8,8,0.0
75,BE_Battery,2050,3,9,9,0.0
76,BE_Battery,2050,3,10,10,0.03168720071563769
77,BE_Battery,2050,3,11,11,0.0
78,BE_Battery,2050,3,12,12,0.39203585774093597
79,BE_Battery,2050,3,13,13,0.031958695827198014
80,BE_Battery,2050,3,14,14,0.0
81,BE_Battery,2050,3,15,15,0.1343390549513721
82,BE_Battery,2050,3,16,16,0.0
83,BE_Battery,2050,3,17,17,0.33924359767678425
84,BE_Battery,2050,3,18,18,0.0
85,BE_Battery,2050,3,19,19,0.0
86,BE_Battery,2050,3,20,20,0.5783103986161118
87,BE_Battery,2050,3,21,21,0.3254174731753099
88,BE_Battery,2050,3,22,22,0.5886003496068835
89,BE_Battery,2050,3,23,23,0.0
90,BE_Battery,2050,3,24,24,1.13
91,BG_Battery,2050,1,1,4,-0.0
92,BG_Battery,2050,1,5,8,-0.0
93,BG_Battery,2050,1,9,12,-0.0
94,BG_Battery,2050,1,13,16,-0.0
95,BG_Battery,2050,1,17,20,-0.0
96,BG_Battery,2050,1,21,24,0.0
97,BG_Battery,2050,2,1,4,-0.0
98,BG_Battery,2050,2,5,8,-0.0
99,BG_Battery,2050,2,9,12,-0.0
100,BG_Battery,2050,2,13,16,-0.0
101,BG_Battery,2050,2,17,20,0.0
102,BG_Battery,2050,2,21,24,-0.0
103,BG_Battery,2050,3,1,4,-0.0
104,BG_Battery,2050,3,5,8,-0.0
105,BG_Battery,2050,3,9,12,-0.0
106,BG_Battery,2050,3,13,16,-0.0
107,BG_Battery,2050,3,17,20,-0.0
108,BG_Battery,2050,3,21,24,0.0
109,CH_Battery,2050,1,1,4,0.0
110,CH_Battery,2050,1,5,8,0.0
111,CH_Battery,2050,1,9,12,0.0
112,CH_Battery,2050,1,13,16,0.0
113,CH_Battery,2050,1,17,20,15.15
114,CH_Battery,2050,1,21,24,0.0
115,CH_Battery,2050,2,1,4,0.0
116,CH_Battery,2050,2,5,8,0.0
117,CH_Battery,2050,2,9,12,15.15
118,CH_Battery,2050,2,13,16,15.15
119,CH_Battery,2050,2,17,20,5.054605254851394
120,CH_Battery,2050,2,21,24,0.0
121,CH_Battery,2050,3,1,4,0.0
122,CH_Battery,2050,3,5,8,0.0
123,CH_Battery,2050,3,9,12,0.0
124,CH_Battery,2050,3,13,16,0.0
125,CH_Battery,2050,3,17,20,0.0
126,CH_Battery,2050,3,21,24,0.0
127,CY_Battery,2050,1,1,4,0.0
128,CY_Battery,2050,1,5,8,0.19980894675202565
129,CY_Battery,2050,1,9,12,0.0
130,CY_Battery,2050,1,13,16,0.0
131,CY_Battery,2050,1,17,20,0.0
132,CY_Battery,2050,1,21,24,0.0
133,CY_Battery,2050,2,1,4,0.0
134,CY_Battery,2050,2,5,8,0.0
135,CY_Battery,2050,2,9,12,0.0
136,CY_Battery,2050,2,13,16,0.3016891503664474
137,CY_Battery,2050,2,17,20,0.0
138,CY_Battery,2050,2,21,24,0.0
139,CY_Battery,2050,3,1,4,0.0
140,CY_Battery,2050,3,5,8,0.0
141,CY_Battery,2050,3,9,12,0.04491980772266224
142,CY_Battery,2050,3,13,16,0.0
143,CY_Battery,2050,3,17,20,0.0
144,CY_Battery,2050,3,21,24,0.0
145,CZ_Battery,2050,1,1,4,0.0
146,CZ_Battery,2050,1,5,8,0.0
147,CZ_Battery,2050,1,9,12,8.549780711226303
148,CZ_Battery,2050,1,13,16,10.83
149,CZ_Battery,2050,1,17,20,8.37547638727159
150,CZ_Battery,2050,1,21,24,0.0
151,CZ_Battery,2050,2,1,4,6.3736424704238965
152,CZ_Battery,2050,2,5,8,0.0
153,CZ_Battery,2050,2,9,12,0.0
154,CZ_Battery,2050,2,13,16,10.83
155,CZ_Battery,2050,2,17,20,4.408624225787812
156,CZ_Battery,2050,2,21,24,5.888488619049132
157,CZ_Battery,2050,3,1,4,1.8918516565561418
158,CZ_Battery,2050,3,5,8,0.0
159,CZ_Battery,2050,3,9,12,6.350442452589901
160,CZ_Battery,2050,3,13,16,10.83
161,CZ_Battery,2050,3,17,20,0.0
162,CZ_Battery,2050,3,21,24,10.83
163,DE_Battery,2050,1,1,1,0.0
164,DE_Battery,2050,1,2,2,0.0
165,DE_Battery,2050,1,3,3,0.0
166,DE_Battery,2050,1,4,4,0.0
167,DE_Battery,2050,1,5,5,0.0
168,DE_Battery,2050,1,6,6,0.0
169,DE_Battery,2050,1,7,7,0.0
170,DE_Battery,2050,1,8,8,0.0
171,DE_Battery,2050,1,9,9,0.0
172,DE_Battery,2050,1,10,10,0.0
173,DE_Battery,2050,1,11,11,0.0
174,DE_Battery,2050,1,12,12,0.0
175,DE_Battery,2050,1,13,13,0.0
176,DE_Battery,2050,1,14,14,0.0
177,DE_Battery,2050,1,15,15,0.0
178,DE_Battery,2050,1,16,16,0.0
179,DE_Battery,2050,1,17,17,0.0
180,DE_Battery,2050,1,18,18,17.363342698411216
