id,from_asset,to_asset,milestone_year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,AT_Battery,AT_E_Demand,2050,1,1.0,1.0,1,4,0.0
2,AT_Battery,AT_E_Demand,2050,1,1.0,1.0,5,8,0.0
3,AT_Battery,AT_E_Demand,2050,1,1.0,1.0,9,12,0.0
4,AT_Battery,AT_E_Demand,2050,1,1.0,1.0,13,16,0.0
5,AT_Battery,AT_E_Demand,2050,1,1.0,1.0,17,20,0.0
6,AT_Battery,AT_E_Demand,2050,1,1.0,1.0,21,24,0.228
7,AT_E_Demand,DE_E_Demand,2050,1,1.0,1.0,1,4,-3.430168156141921
8,AT_E_Demand,DE_E_Demand,2050,1,1.0,1.0,5,8,5.405202278334947
9,AT_E_Demand,DE_E_Demand,2050,1,1.0,1.0,9,12,-11.5
10,AT_E_Demand,DE_E_Demand,2050,1,1.0,1.0,13,16,-11.5
11,AT_E_Demand,DE_E_Demand,2050,1,1.0,1.0,17,20,8.445056445835652
12,AT_E_Demand,DE_E_Demand,2050,1,1.0,1.0,21,24,11.388785801817583
13,AT_E_ENS,AT_E_Demand,2050,1,1.0,1.0,1,4,0.0
14,AT_E_ENS,AT_E_Demand,2050,1,1.0,1.0,5,8,0.0
15,AT_E_ENS,AT_E_Demand,2050,1,1.0,1.0,9,12,0.0
16,AT_E_ENS,AT_E_Demand,2050,1,1.0,1.0,13,16,0.0
17,AT_E_ENS,AT_E_Demand,2050,1,1.0,1.0,17,20,0.0
18,AT_E_ENS,AT_E_Demand,2050,1,1.0,1.0,21,24,0.0
19,AT_Gas,AT_E_Demand,2050,1,1.0,1.0,1,4,0.0
20,AT_Gas,AT_E_Demand,2050,1,1.0,1.0,5,8,0.0
21,AT_Gas,AT_E_Demand,2050,1,1.0,1.0,9,12,0.0
22,AT_Gas,AT_E_Demand,2050,1,1.0,1.0,13,16,0.0
23,AT_Gas,AT_E_Demand,2050,1,1.0,1.0,17,20,0.0
24,AT_Gas,AT_E_Demand,2050,1,1.0,1.0,21,24,0.0
25,AT_Hydro,AT_E_Demand,2050,1,1.0,1.0,1,4,5.201888936633538
26,AT_Hydro,AT_E_Demand,2050,1,1.0,1.0,5,8,5.201888936633538
27,AT_Hydro,AT_E_Demand,2050,1,1.0,1.0,9,12,0.0
28,AT_Hydro,AT_E_Demand,2050,1,1.0,1.0,13,16,0.0
29,AT_Hydro,AT_E_Demand,2050,1,1.0,1.0,17,20,5.201888936633538
30,AT_Hydro,AT_E_Demand,2050,1,1.0,1.0,21,24,5.201888936633538
31,AT_Hydro_Reservoir,AT_E_Demand,2050,1,1.0,1.0,1,4,0.0
32,AT_Hydro_Reservoir,AT_E_Demand,2050,1,1.0,1.0,5,8,0.0
33,AT_Hydro_Reservoir,AT_E_Demand,2050,1,1.0,1.0,9,12,0.0
34,AT_Hydro_Reservoir,AT_E_Demand,2050,1,1.0,1.0,13,16,0.0
35,AT_Hydro_Reservoir,AT_E_Demand,2050,1,1.0,1.0,17,20,0.0
36,AT_Hydro_Reservoir,AT_E_Demand,2050,1,1.0,1.0,21,24,0.0
37,AT_Pump_Hydro_Closed,AT_E_Demand,2050,1,1.0,1.0,1,4,0.3
38,AT_Pump_Hydro_Closed,AT_E_Demand,2050,1,1.0,1.0,5,8,0.2980667388076153
39,AT_Pump_Hydro_Closed,AT_E_Demand,2050,1,1.0,1.0,9,12,0.0
40,AT_Pump_Hydro_Closed,AT_E_Demand,2050,1,1.0,1.0,13,16,0.0
41,AT_Pump_Hydro_Closed,AT_E_Demand,2050,1,1.0,1.0,17,20,0.0
42,AT_Pump_Hydro_Closed,AT_E_Demand,2050,1,1.0,1.0,21,24,0.3
