name,milestone_year,partition,initial_units
NL_electrolyzer,2050,1,1
BE_electrolyzer,2050,2,1
DE_electrolyzer,2050,1,1
FR_electrolyzer,2050,2,1
DK_electrolyzer,2050,1,1
UK_electrolyzer,2050,1,1
IE_electrolyzer,2050,2,1
CH_electrolyzer,2050,4,1
AT_electrolyzer,2050,4,1
LU_electrolyzer,2050,4,1
CZ_electrolyzer,2050,4,1
PL_electrolyzer,2050,3,1
SE_electrolyzer,2050,4,1
NO_electrolyzer,2050,1,1
ES_electrolyzer,2050,3,1
PT_electrolyzer,2050,4,1
IT_electrolyzer,2050,4,1
MT_electrolyzer,2050,4,1
SI_electrolyzer,2050,4,1
HU_electrolyzer,2050,4,1
SK_electrolyzer,2050,4,1
LT_electrolyzer,2050,4,1
LV_electrolyzer,2050,4,1
EE_electrolyzer,2050,4,1
FI_electrolyzer,2050,4,1
HR_electrolyzer,2050,4,1
GR_electrolyzer,2050,4,1
BG_electrolyzer,2050,4,1
RO_electrolyzer,2050,4,1
CY_electrolyzer,2050,4,1
OBZLL_electrolyzer,2050,1,1
