name,type,capacity,technology,lat,lon
NL_E_ENS,producer,33.7758785,ENS,52.1326,5.2913
NL_Wind_Onshore,producer,20,Wind_Onshore,52.1326,5.2913
NL_Wind_Offshore,producer,49.653,Wind_Offshore,52.1326,5.2913
NL_Solar,producer,99.984,Solar,52.1326,5.2913
NL_Gas,producer,15.25,Gas,52.1326,5.2913
NL_OCGT,producer,0,Gas,52.1326,5.2913
BE_E_ENS,producer,23.58292406,ENS,50.8503,4.3517
BE_Wind_Onshore,producer,10,Wind_Onshore,50.8503,4.3517
BE_Wind_Offshore,producer,10.96,Wind_Offshore,50.8503,4.3517
BE_Solar,producer,55,Solar,50.8503,4.3517
BE_Hydro,producer,0.165,Hydro,50.8503,4.3517
BE_Gas,producer,8.868,Gas,50.8503,4.3517
BE_OCGT,producer,0.244,Gas,50.8503,4.3517
DE_E_ENS,producer,119.0835828,ENS,51.1657,10.4515
DE_Wind_Onshore,producer,191.5,Wind_Onshore,51.1657,10.4515
DE_Wind_Offshore,producer,70.585,Wind_Offshore,51.1657,10.4515
DE_Solar,producer,456.389,Solar,51.1657,10.4515
DE_Hydro,producer,4.753,Hydro,51.1657,10.4515
DE_Coal,producer,0,Coal,51.1657,10.4515
DE_Gas,producer,33.582,Gas,51.1657,10.4515
DE_OCGT,producer,0,Gas,51.1657,10.4515
FR_E_ENS,producer,92.16,ENS,46.6034,1.8883
FR_Wind_Onshore,producer,80,Wind_Onshore,46.6034,1.8883
FR_Wind_Offshore,producer,43.57,Wind_Offshore,46.6034,1.8883
FR_Solar,producer,193.594,Solar,46.6034,1.8883
FR_Hydro,producer,23.447,Hydro,46.6034,1.8883
FR_Nuclear,producer,50.139,Nuclear,46.6034,1.8883
FR_Gas,producer,10.839,Gas,46.6034,1.8883
FR_OCGT,producer,0,Gas,46.6034,1.8883
DK_E_ENS,producer,5.8946533,ENS,56.2639,9.5018
DK_Wind_Onshore,producer,11.393,Wind_Onshore,56.2639,9.5018
DK_Wind_Offshore,producer,44.191,Wind_Offshore,56.2639,9.5018
DK_Solar,producer,24.446,Solar,56.2639,9.5018
DK_Gas,producer,0.01,Gas,56.2639,9.5018
DK_OCGT,producer,0.612,Gas,56.2639,9.5018
UK_E_ENS,producer,118.6302474,ENS,55.3781,-3.436
UK_Wind_Onshore,producer,53.918,Wind_Onshore,55.3781,-3.436
UK_Wind_Offshore,producer,110.458,Wind_Offshore,55.3781,-3.436
UK_Solar,producer,63.715,Solar,55.3781,-3.436
UK_Hydro,producer,2.513,Hydro,55.3781,-3.436
UK_Nuclear,producer,16,Nuclear,55.3781,-3.436
UK_Gas,producer,9.505,Gas,55.3781,-3.436
UK_OCGT,producer,1.243,Gas,55.3781,-3.436
IE_E_ENS,producer,10.172088,ENS,53.1424,-7.6921
IE_Wind_Onshore,producer,11.308,Wind_Onshore,53.1424,-7.6921
IE_Wind_Offshore,producer,21.057,Wind_Offshore,53.1424,-7.6921
IE_Solar,producer,12.113,Solar,53.1424,-7.6921
IE_Hydro,producer,0.215,Hydro,53.1424,-7.6921
IE_Gas,producer,7.933,Gas,53.1424,-7.6921
IE_OCGT,producer,0.116,Gas,53.1424,-7.6921
CH_E_ENS,producer,12.73508856,ENS,46.8182,8.2275
CH_Wind_Onshore,producer,2.223,Wind_Onshore,46.8182,8.2275
CH_Solar,producer,13.312,Solar,46.8182,8.2275
CH_Hydro,producer,13.775,Hydro,46.8182,8.2275
CH_Nuclear,producer,0,Nuclear,46.8182,8.2275
AT_E_ENS,producer,18.9402772,ENS,47.5162,14.5501
AT_Wind_Onshore,producer,41.145,Wind_Onshore,47.5162,14.5501
AT_Solar,producer,53.129,Solar,47.5162,14.5501
AT_Hydro,producer,8.137,Hydro,47.5162,14.5501
AT_Gas,producer,3.26,Gas,47.5162,14.5501
