asset,commission_year,investment_cost,investment_limit,fixed_cost_storage_energy,storage_charging_efficiency,storage_discharging_efficiency,storage_loss_from_stored_energy,conversion_efficiency,fixed_cost,investment_cost_storage_energy,investment_limit_storage_energy
ccgt,2030,1100.0,,0.0,1.0,1.0,0.0,1.0,25.0,0.0,
wind,2030,1041.0,,0.0,1.0,1.0,0.0,1.0,24.5,0.0,
solar,2030,776.0,,0.0,1.0,1.0,0.0,1.0,7.0,0.0,
e_demand,2030,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,
ocgt,2030,1200.0,,0.0,1.0,1.0,0.0,1.0,11.5,0.0,
ens,2030,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,
electrolizer,2030,1570.0,,0.0,1.0,1.0,0.0,0.65,23.6,0.0,
h2_demand,2030,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,
smr_ccs,2030,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,
wind_offshore,2030,2852.0,,0.0,1.0,1.0,0.0,1.0,10.2,0.0,
battery,2030,250.0,,0.0,0.95,0.95,0.0,1.0,12.0,0.0,0.2
h2_storage,2030,0.0,,0.0,0.65,0.65,0.0,1.0,0.0,0.0,
hydro_reservoir,2030,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,
spillage,2030,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,0.0,
