from_asset,to_asset,milestone_year,variable_cost,efficiency
NL_E_ENS,NL_E_Demand,2050,1000,1
NL_Wind_Onshore,NL_E_Demand,2050,0,1
NL_Wind_Offshore,NL_E_Demand,2050,0,1
NL_Solar,NL_E_Demand,2050,0,1
NL_E_Demand,NL_Battery,2050,0,0.955
NL_Battery,NL_E_Demand,2050,0,0.955
NL_Gas,NL_E_Demand,2050,79.858571,1
NL_OCGT,NL_E_Demand,2050,109.93,1
BE_E_ENS,BE_E_Demand,2050,1000,1
BE_Wind_Onshore,BE_E_Demand,2050,0,1
BE_Wind_Offshore,BE_E_Demand,2050,0,1
BE_Solar,BE_E_Demand,2050,0,1
BE_Hydro,BE_E_Demand,2050,0,1
BE_E_Demand,BE_Battery,2050,0,0.955
BE_Battery,BE_E_Demand,2050,0,0.955
BE_Gas,BE_E_Demand,2050,79.858571,1
BE_OCGT,BE_E_Demand,2050,109.93,1
DE_E_ENS,DE_E_Demand,2050,1000,1
DE_Wind_Onshore,DE_E_Demand,2050,0,1
DE_Wind_Offshore,DE_E_Demand,2050,0,1
DE_Solar,DE_E_Demand,2050,0,1
DE_Hydro,DE_E_Demand,2050,0,1
DE_Hydro_Reservoir,DE_E_Demand,2050,0,1
DE_E_Demand,DE_Battery,2050,0,0.955
DE_Battery,DE_E_Demand,2050,0,0.955
DE_E_Demand,DE_Pump_Hydro_Closed,2050,0,0.875
DE_Pump_Hydro_Closed,DE_E_Demand,2050,0,0.875
DE_E_Demand,DE_Pump_Hydro_Open,2050,0,0.875
DE_Pump_Hydro_Open,DE_E_Demand,2050,0,0.875
DE_Coal,DE_E_Demand,2050,51.035102,1
DE_Gas,DE_E_Demand,2050,79.858571,1
DE_OCGT,DE_E_Demand,2050,109.93,1
FR_E_ENS,FR_E_Demand,2050,1000,1
FR_Wind_Onshore,FR_E_Demand,2050,0,1
FR_Wind_Offshore,FR_E_Demand,2050,0,1
FR_Solar,FR_E_Demand,2050,0,1
