asset,type,capacity,vintage_method,investment_integer,technical_lifetime,discount_rate,capacity_storage_energy,use_inter_period_constraints,inter_period_storage_level_bounds
ccgt,producer,800.0,aggregated,true,15,0.05,0.0,false,inter_period_only
e_demand,consumer,0.0,aggregated,false,15,0.05,0.0,false,inter_period_only
ens,producer,1000.0,aggregated,false,15,0.05,0.0,false,inter_period_only
ocgt,producer,100.0,aggregated,true,15,0.05,0.0,false,inter_period_only
solar,producer,500.0,aggregated,true,15,0.05,0.0,false,inter_period_only
wind,producer,400.0,aggregated,true,15,0.05,0.0,false,inter_period_only
electrolizer,conversion,100.0,aggregated,true,15,0.05,0.0,false,inter_period_only
h2_demand,consumer,100.0,aggregated,false,15,0.05,0.0,false,inter_period_only
smr_ccs,producer,100.0,aggregated,true,15,0.05,0.0,false,inter_period_only
hub,consumer,0.0,aggregated,false,15,0.05,0.0,false,inter_period_only
wind_offshore,producer,400.0,aggregated,true,15,0.05,0.0,false,inter_period_only
battery,storage,20.0,aggregated,true,15,0.05,40.0,false,inter_period_only
h2_storage,storage,100.0,aggregated,true,15,0.05,16800.0,false,inter_period_only
