id,storage_level_id,asset,milestone_year,rep_period,time_block_start,time_block_end,dual_max_storage_level_intra_rep_period_limit
1,1,AT_Battery,2050,1,1,4,0.0
2,2,AT_Battery,2050,1,5,8,0.0
3,3,AT_Battery,2050,1,9,12,0.0
4,4,AT_Battery,2050,1,13,16,-0.0
5,5,AT_Battery,2050,1,17,20,-0.0
6,6,AT_Battery,2050,1,21,24,0.0
7,7,AT_Battery,2050,2,1,4,-0.0
8,8,AT_Battery,2050,2,5,8,0.0
9,9,AT_Battery,2050,2,9,12,0.0
10,10,AT_Battery,2050,2,13,16,-0.0
11,11,AT_Battery,2050,2,17,20,-0.0
12,12,AT_Battery,2050,2,21,24,-0.0
13,13,AT_Battery,2050,3,1,4,0.0
14,14,AT_Battery,2050,3,5,8,0.0
15,15,AT_Battery,2050,3,9,12,0.0
16,16,AT_Battery,2050,3,13,16,-0.0
17,17,AT_Battery,2050,3,17,20,0.0
18,18,AT_Battery,2050,3,21,24,0.0
19,19,BE_Battery,2050,1,1,1,0.0
20,20,BE_Battery,2050,1,2,2,0.0
21,21,BE_Battery,2050,1,3,3,0.0
22,22,BE_Battery,2050,1,4,4,0.0
23,23,BE_Battery,2050,1,5,5,0.0
24,24,BE_Battery,2050,1,6,6,0.0
25,25,BE_Battery,2050,1,7,7,0.0
26,26,BE_Battery,2050,1,8,8,0.0
27,27,BE_Battery,2050,1,9,9,0.0
28,28,BE_Battery,2050,1,10,10,0.0
29,29,BE_Battery,2050,1,11,11,0.0
30,30,BE_Battery,2050,1,12,12,0.0
31,31,BE_Battery,2050,1,13,13,0.0
32,32,BE_Battery,2050,1,14,14,0.0
33,33,BE_Battery,2050,1,15,15,0.0
34,34,BE_Battery,2050,1,16,16,0.0
35,35,BE_Battery,2050,1,17,17,0.0
36,36,BE_Battery,2050,1,18,18,0.0
37,37,BE_Battery,2050,1,19,19,0.0
38,38,BE_Battery,2050,1,20,20,0.0
39,39,BE_Battery,2050,1,21,21,0.0
40,40,BE_Battery,2050,1,22,22,0.0
41,41,BE_Battery,2050,1,23,23,0.0
42,42,BE_Battery,2050,1,24,24,0.0
43,43,BE_Battery,2050,2,1,1,0.0
44,44,BE_Battery,2050,2,2,2,0.0
45,45,BE_Battery,2050,2,3,3,0.0
46,46,BE_Battery,2050,2,4,4,0.0
47,47,BE_Battery,2050,2,5,5,0.0
48,48,BE_Battery,2050,2,6,6,0.0
49,49,BE_Battery,2050,2,7,7,0.0
50,50,BE_Battery,2050,2,8,8,0.0
51,51,BE_Battery,2050,2,9,9,0.0
52,52,BE_Battery,2050,2,10,10,0.0
53,53,BE_Battery,2050,2,11,11,0.0
54,54,BE_Battery,2050,2,12,12,0.0
55,55,BE_Battery,2050,2,13,13,0.0
56,56,BE_Battery,2050,2,14,14,0.0
57,57,BE_Battery,2050,2,15,15,0.0
58,58,BE_Battery,2050,2,16,16,-0.0
59,59,BE_Battery,2050,2,17,17,-0.0
60,60,BE_Battery,2050,2,18,18,0.0
61,61,BE_Battery,2050,2,19,19,0.0
62,62,BE_Battery,2050,2,20,20,0.0
63,63,BE_Battery,2050,2,21,21,0.0
64,64,BE_Battery,2050,2,22,22,0.0
65,65,BE_Battery,2050,2,23,23,0.0
66,66,BE_Battery,2050,2,24,24,0.0
67,67,BE_Battery,2050,3,1,1,0.0
68,68,BE_Battery,2050,3,2,2,0.0
69,69,BE_Battery,2050,3,3,3,0.0
70,70,BE_Battery,2050,3,4,4,0.0
71,71,BE_Battery,2050,3,5,5,0.0
72,72,BE_Battery,2050,3,6,6,0.0
73,73,BE_Battery,2050,3,7,7,0.0
74,74,BE_Battery,2050,3,8,8,0.0
75,75,BE_Battery,2050,3,9,9,0.0
76,76,BE_Battery,2050,3,10,10,0.0
77,77,BE_Battery,2050,3,11,11,0.0
78,78,BE_Battery,2050,3,12,12,0.0
79,79,BE_Battery,2050,3,13,13,0.0
80,80,BE_Battery,2050,3,14,14,0.0
81,81,BE_Battery,2050,3,15,15,0.0
82,82,BE_Battery,2050,3,16,16,0.0
83,83,BE_Battery,2050,3,17,17,0.0
84,84,BE_Battery,2050,3,18,18,0.0
85,85,BE_Battery,2050,3,19,19,0.0
86,86,BE_Battery,2050,3,20,20,0.0
87,87,BE_Battery,2050,3,21,21,0.0
88,88,BE_Battery,2050,3,22,22,0.0
89,89,BE_Battery,2050,3,23,23,0.0
90,90,BE_Battery,2050,3,24,24,0.0
91,91,BG_Battery,2050,1,1,4,0.0
92,92,BG_Battery,2050,1,5,8,0.0
93,93,BG_Battery,2050,1,9,12,0.0
94,94,BG_Battery,2050,1,13,16,0.0
95,95,BG_Battery,2050,1,17,20,0.0
96,96,BG_Battery,2050,1,21,24,0.0
97,97,BG_Battery,2050,2,1,4,0.0
98,98,BG_Battery,2050,2,5,8,0.0
99,99,BG_Battery,2050,2,9,12,0.0
100,100,BG_Battery,2050,2,13,16,0.0
101,101,BG_Battery,2050,2,17,20,0.0
102,102,BG_Battery,2050,2,21,24,0.0
103,103,BG_Battery,2050,3,1,4,0.0
104,104,BG_Battery,2050,3,5,8,0.0
105,105,BG_Battery,2050,3,9,12,0.0
106,106,BG_Battery,2050,3,13,16,0.0
107,107,BG_Battery,2050,3,17,20,0.0
108,108,BG_Battery,2050,3,21,24,0.0
109,109,CH_Battery,2050,1,1,4,0.0
110,110,CH_Battery,2050,1,5,8,0.0
111,111,CH_Battery,2050,1,9,12,0.0
112,112,CH_Battery,2050,1,13,16,0.0
113,113,CH_Battery,2050,1,17,20,0.0
114,114,CH_Battery,2050,1,21,24,0.0
115,115,CH_Battery,2050,2,1,4,0.0
116,116,CH_Battery,2050,2,5,8,0.0
117,117,CH_Battery,2050,2,9,12,0.0
118,118,CH_Battery,2050,2,13,16,-0.0
119,119,CH_Battery,2050,2,17,20,-0.0
