name,milestone_year,partition,initial_units
NL_E_ENS,2050,1,1
NL_Wind_Onshore,2050,1,1
NL_Wind_Offshore,2050,1,1
NL_Solar,2050,1,1
NL_Gas,2050,1,1
NL_OCGT,2050,2,1
BE_E_ENS,2050,2,1
BE_Wind_Onshore,2050,2,1
BE_Wind_Offshore,2050,2,1
BE_Solar,2050,2,1
BE_Hydro,2050,2,1
BE_Gas,2050,2,1
BE_OCGT,2050,2,1
DE_E_ENS,2050,1,1
DE_Wind_Onshore,2050,1,1
DE_Wind_Offshore,2050,1,1
DE_Solar,2050,1,1
DE_Hydro,2050,1,1
DE_Coal,2050,1,1
DE_Gas,2050,1,1
DE_OCGT,2050,1,1
FR_E_ENS,2050,2,1
FR_Wind_Onshore,2050,2,1
FR_Wind_Offshore,2050,2,1
FR_Solar,2050,2,1
FR_Hydro,2050,2,1
FR_Nuclear,2050,2,1
FR_Gas,2050,2,1
FR_OCGT,2050,2,1
DK_E_ENS,2050,1,1
DK_Wind_Onshore,2050,1,1
DK_Wind_Offshore,2050,1,1
DK_Solar,2050,1,1
DK_Gas,2050,1,1
DK_OCGT,2050,1,1
UK_E_ENS,2050,1,1
UK_Wind_Onshore,2050,1,1
UK_Wind_Offshore,2050,1,1
UK_Solar,2050,1,1
UK_Hydro,2050,1,1
UK_Nuclear,2050,1,1
UK_Gas,2050,1,1
UK_OCGT,2050,1,1
IE_E_ENS,2050,2,1
IE_Wind_Onshore,2050,2,1
IE_Wind_Offshore,2050,2,1
IE_Solar,2050,2,1
IE_Hydro,2050,2,1
IE_Gas,2050,2,1
IE_OCGT,2050,2,1
CH_E_ENS,2050,4,1
CH_Wind_Onshore,2050,4,1
CH_Solar,2050,4,1
CH_Hydro,2050,4,1
CH_Nuclear,2050,4,1
AT_E_ENS,2050,4,1
AT_Wind_Onshore,2050,4,1
AT_Solar,2050,4,1
AT_Hydro,2050,4,1
AT_Gas,2050,4,1
LU_E_ENS,2050,4,1
LU_Wind_Onshore,2050,4,1
LU_Solar,2050,4,1
LU_Hydro,2050,4,1
CZ_E_ENS,2050,4,1
CZ_Wind_Onshore,2050,4,1
CZ_Solar,2050,4,1
CZ_Hydro,2050,4,1
CZ_Nuclear,2050,4,1
CZ_Coal,2050,4,1
CZ_Gas,2050,4,1
PL_E_ENS,2050,3,1
PL_Wind_Onshore,2050,3,1
PL_Wind_Offshore,2050,3,1
PL_Solar,2050,3,1
PL_Hydro,2050,3,1
PL_Coal,2050,3,1
PL_Gas,2050,3,1
SE_E_ENS,2050,4,1
SE_Wind_Onshore,2050,4,1
SE_Wind_Offshore,2050,4,1
SE_Solar,2050,4,1
SE_Nuclear,2050,4,1
SE_Gas,2050,4,1
SE_OCGT,2050,4,1
NO_E_ENS,2050,1,1
NO_Wind_Onshore,2050,1,1
NO_Wind_Offshore,2050,1,1
NO_Solar,2050,1,1
ES_E_ENS,2050,3,1
ES_Wind_Onshore,2050,3,1
ES_Wind_Offshore,2050,3,1
ES_Solar,2050,3,1
ES_Hydro,2050,3,1
ES_Nuclear,2050,3,1
ES_Gas,2050,3,1
PT_E_ENS,2050,4,1
PT_Wind_Onshore,2050,4,1
PT_Wind_Offshore,2050,4,1
PT_Solar,2050,4,1
PT_Hydro,2050,4,1
PT_Gas,2050,4,1
IT_E_ENS,2050,4,1
IT_Wind_Onshore,2050,4,1
IT_Wind_Offshore,2050,4,1
IT_Solar,2050,4,1
