id,storage_level_id,asset,milestone_year,scenario,period_block_start,period_block_end,inter_period_storage_level_bounds,dual_max_storage_level_inter_period_limit
1,1,AT_Hydro_Reservoir,2050,1,1,1,inter_period_only,0.0
2,2,AT_Hydro_Reservoir,2050,1,2,2,inter_period_only,0.0
3,3,AT_Hydro_Reservoir,2050,1,3,3,inter_period_only,0.0
4,4,AT_Hydro_Reservoir,2050,1,4,4,inter_period_only,0.0
5,5,AT_Hydro_Reservoir,2050,1,5,5,inter_period_only,0.0
6,6,AT_Hydro_Reservoir,2050,1,6,6,inter_period_only,0.0
7,7,AT_Hydro_Reservoir,2050,1,7,7,inter_period_only,0.0
8,8,AT_Hydro_Reservoir,2050,1,8,8,inter_period_only,0.0
9,9,AT_Hydro_Reservoir,2050,1,9,9,inter_period_only,0.0
10,10,AT_Hydro_Reservoir,2050,1,10,10,inter_period_only,0.0
11,11,AT_Hydro_Reservoir,2050,1,11,11,inter_period_only,0.0
12,12,AT_Hydro_Reservoir,2050,1,12,12,inter_period_only,0.0
13,13,AT_Hydro_Reservoir,2050,1,13,13,inter_period_only,0.0
14,14,AT_Hydro_Reservoir,2050,1,14,14,inter_period_only,0.0
15,15,AT_Hydro_Reservoir,2050,1,15,15,inter_period_only,0.0
16,16,AT_Hydro_Reservoir,2050,1,16,16,inter_period_only,0.0
17,17,AT_Hydro_Reservoir,2050,1,17,17,inter_period_only,0.0
18,18,AT_Hydro_Reservoir,2050,1,18,18,inter_period_only,0.0
19,19,AT_Hydro_Reservoir,2050,1,19,19,inter_period_only,0.0
20,20,AT_Hydro_Reservoir,2050,1,20,20,inter_period_only,0.0
21,21,AT_Hydro_Reservoir,2050,1,21,21,inter_period_only,0.0
22,22,AT_Hydro_Reservoir,2050,1,22,22,inter_period_only,0.0
23,23,AT_Hydro_Reservoir,2050,1,23,23,inter_period_only,0.0
24,24,AT_Hydro_Reservoir,2050,1,24,24,inter_period_only,0.0
25,25,AT_Hydro_Reservoir,2050,1,25,25,inter_period_only,0.0
26,26,AT_Hydro_Reservoir,2050,1,26,26,inter_period_only,0.0
27,27,AT_Hydro_Reservoir,2050,1,27,27,inter_period_only,0.0
28,28,AT_Hydro_Reservoir,2050,1,28,28,inter_period_only,0.0
29,29,AT_Hydro_Reservoir,2050,1,29,29,inter_period_only,0.0
30,30,AT_Hydro_Reservoir,2050,1,30,30,inter_period_only,0.0
31,31,AT_Hydro_Reservoir,2050,1,31,31,inter_period_only,0.0
32,32,AT_Hydro_Reservoir,2050,1,32,32,inter_period_only,0.0
33,33,AT_Hydro_Reservoir,2050,1,33,33,inter_period_only,0.0
34,34,AT_Hydro_Reservoir,2050,1,34,34,inter_period_only,0.0
35,35,AT_Hydro_Reservoir,2050,1,35,35,inter_period_only,0.0
36,36,AT_Hydro_Reservoir,2050,1,36,36,inter_period_only,0.0
37,37,AT_Hydro_Reservoir,2050,1,37,37,inter_period_only,0.0
38,38,AT_Hydro_Reservoir,2050,1,38,38,inter_period_only,0.0
39,39,AT_Hydro_Reservoir,2050,1,39,39,inter_period_only,0.0
40,40,AT_Hydro_Reservoir,2050,1,40,40,inter_period_only,0.0
41,41,AT_Hydro_Reservoir,2050,1,41,41,inter_period_only,0.0
42,42,AT_Hydro_Reservoir,2050,1,42,42,inter_period_only,0.0
43,43,AT_Hydro_Reservoir,2050,1,43,43,inter_period_only,0.0
44,44,AT_Hydro_Reservoir,2050,1,44,44,inter_period_only,0.0
45,45,AT_Hydro_Reservoir,2050,1,45,45,inter_period_only,0.0
46,46,AT_Hydro_Reservoir,2050,1,46,46,inter_period_only,0.0
47,47,AT_Hydro_Reservoir,2050,1,47,47,inter_period_only,0.0
48,48,AT_Hydro_Reservoir,2050,1,48,48,inter_period_only,0.0
49,49,AT_Hydro_Reservoir,2050,1,49,49,inter_period_only,0.0
50,50,AT_Hydro_Reservoir,2050,1,50,50,inter_period_only,0.0
51,51,AT_Hydro_Reservoir,2050,1,51,51,inter_period_only,0.0
52,52,AT_Hydro_Reservoir,2050,1,52,52,inter_period_only,0.0
53,53,AT_Hydro_Reservoir,2050,1,53,53,inter_period_only,0.0
54,54,AT_Hydro_Reservoir,2050,1,54,54,inter_period_only,0.0
55,55,AT_Hydro_Reservoir,2050,1,55,55,inter_period_only,0.0
56,56,AT_Hydro_Reservoir,2050,1,56,56,inter_period_only,0.0
57,57,AT_Hydro_Reservoir,2050,1,57,57,inter_period_only,0.0
58,58,AT_Hydro_Reservoir,2050,1,58,58,inter_period_only,0.0
59,59,AT_Hydro_Reservoir,2050,1,59,59,inter_period_only,0.0
60,60,AT_Hydro_Reservoir,2050,1,60,60,inter_period_only,0.0
61,61,AT_Hydro_Reservoir,2050,1,61,61,inter_period_only,0.0
62,62,AT_Hydro_Reservoir,2050,1,62,62,inter_period_only,0.0
63,63,AT_Hydro_Reservoir,2050,1,63,63,inter_period_only,0.0
64,64,AT_Hydro_Reservoir,2050,1,64,64,inter_period_only,0.0
65,65,AT_Hydro_Reservoir,2050,1,65,65,inter_period_only,0.0
66,66,AT_Hydro_Reservoir,2050,1,66,66,inter_period_only,0.0
67,67,AT_Hydro_Reservoir,2050,1,67,67,inter_period_only,0.0
68,68,AT_Hydro_Reservoir,2050,1,68,68,inter_period_only,0.0
69,69,AT_Hydro_Reservoir,2050,1,69,69,inter_period_only,0.0
70,70,AT_Hydro_Reservoir,2050,1,70,70,inter_period_only,0.0
71,71,AT_Hydro_Reservoir,2050,1,71,71,inter_period_only,0.0
72,72,AT_Hydro_Reservoir,2050,1,72,72,inter_period_only,0.0
73,73,AT_Hydro_Reservoir,2050,1,73,73,inter_period_only,0.0
74,74,AT_Hydro_Reservoir,2050,1,74,74,inter_period_only,0.0
75,75,AT_Hydro_Reservoir,2050,1,75,75,inter_period_only,0.0
76,76,AT_Hydro_Reservoir,2050,1,76,76,inter_period_only,0.0
77,77,AT_Hydro_Reservoir,2050,1,77,77,inter_period_only,0.0
78,78,AT_Hydro_Reservoir,2050,1,78,78,inter_period_only,0.0
79,79,AT_Hydro_Reservoir,2050,1,79,79,inter_period_only,0.0
80,80,AT_Hydro_Reservoir,2050,1,80,80,inter_period_only,0.0
81,81,AT_Hydro_Reservoir,2050,1,81,81,inter_period_only,0.0
82,82,AT_Hydro_Reservoir,2050,1,82,82,inter_period_only,0.0
83,83,AT_Hydro_Reservoir,2050,1,83,83,inter_period_only,0.0
84,84,AT_Hydro_Reservoir,2050,1,84,84,inter_period_only,0.0
85,85,AT_Hydro_Reservoir,2050,1,85,85,inter_period_only,0.0
86,86,AT_Hydro_Reservoir,2050,1,86,86,inter_period_only,0.0
87,87,AT_Hydro_Reservoir,2050,1,87,87,inter_period_only,0.0
88,88,AT_Hydro_Reservoir,2050,1,88,88,inter_period_only,0.0
89,89,AT_Hydro_Reservoir,2050,1,89,89,inter_period_only,0.0
90,90,AT_Hydro_Reservoir,2050,1,90,90,inter_period_only,0.0
91,91,AT_Hydro_Reservoir,2050,1,91,91,inter_period_only,0.0
92,92,AT_Hydro_Reservoir,2050,1,92,92,inter_period_only,0.0
93,93,AT_Hydro_Reservoir,2050,1,93,93,inter_period_only,0.0
94,94,AT_Hydro_Reservoir,2050,1,94,94,inter_period_only,0.0
95,95,AT_Hydro_Reservoir,2050,1,95,95,inter_period_only,0.0
96,96,AT_Hydro_Reservoir,2050,1,96,96,inter_period_only,0.0
97,97,AT_Hydro_Reservoir,2050,1,97,97,inter_period_only,0.0
98,98,AT_Hydro_Reservoir,2050,1,98,98,inter_period_only,0.0
99,99,AT_Hydro_Reservoir,2050,1,99,99,inter_period_only,0.0
100,100,AT_Hydro_Reservoir,2050,1,100,100,inter_period_only,0.0
101,101,AT_Hydro_Reservoir,2050,1,101,101,inter_period_only,0.0
102,102,AT_Hydro_Reservoir,2050,1,102,102,inter_period_only,0.0
103,103,AT_Hydro_Reservoir,2050,1,103,103,inter_period_only,0.0
104,104,AT_Hydro_Reservoir,2050,1,104,104,inter_period_only,0.0
105,105,AT_Hydro_Reservoir,2050,1,105,105,inter_period_only,0.0
106,106,AT_Hydro_Reservoir,2050,1,106,106,inter_period_only,0.0
107,107,AT_Hydro_Reservoir,2050,1,107,107,inter_period_only,0.0
108,108,AT_Hydro_Reservoir,2050,1,108,108,inter_period_only,0.0
109,109,AT_Hydro_Reservoir,2050,1,109,109,inter_period_only,0.0
110,110,AT_Hydro_Reservoir,2050,1,110,110,inter_period_only,0.0
111,111,AT_Hydro_Reservoir,2050,1,111,111,inter_period_only,0.0
112,112,AT_Hydro_Reservoir,2050,1,112,112,inter_period_only,0.0
113,113,AT_Hydro_Reservoir,2050,1,113,113,inter_period_only,0.0
114,114,AT_Hydro_Reservoir,2050,1,114,114,inter_period_only,0.0
115,115,AT_Hydro_Reservoir,2050,1,115,115,inter_period_only,0.0
116,116,AT_Hydro_Reservoir,2050,1,116,116,inter_period_only,0.0
117,117,AT_Hydro_Reservoir,2050,1,117,117,inter_period_only,0.0
118,118,AT_Hydro_Reservoir,2050,1,118,118,inter_period_only,0.0
119,119,AT_Hydro_Reservoir,2050,1,119,119,inter_period_only,0.0
120,120,AT_Hydro_Reservoir,2050,1,120,120,inter_period_only,0.0
121,121,AT_Hydro_Reservoir,2050,1,121,121,inter_period_only,0.0
122,122,AT_Hydro_Reservoir,2050,1,122,122,inter_period_only,0.0
123,123,AT_Hydro_Reservoir,2050,1,123,123,inter_period_only,0.0
124,124,AT_Hydro_Reservoir,2050,1,124,124,inter_period_only,0.0
125,125,AT_Hydro_Reservoir,2050,1,125,125,inter_period_only,0.0
126,126,AT_Hydro_Reservoir,2050,1,126,126,inter_period_only,0.0
127,127,AT_Hydro_Reservoir,2050,1,127,127,inter_period_only,0.0
128,128,AT_Hydro_Reservoir,2050,1,128,128,inter_period_only,0.0
129,129,AT_Hydro_Reservoir,2050,1,129,129,inter_period_only,0.0
130,130,AT_Hydro_Reservoir,2050,1,130,130,inter_period_only,0.0
131,131,AT_Hydro_Reservoir,2050,1,131,131,inter_period_only,0.0
