name,milestone_year,partition,initial_units,initial_storage_units,initial_storage_level,storage_inflows
NL_Battery,2050,1,1,1,,0.0
BE_Battery,2050,1,1,1,,0.0
DE_Hydro_Reservoir,2050,24,1,1,0.5,1.297
DE_Battery,2050,1,1,1,,0.0
DE_Pump_Hydro_Closed,2050,24,1,1,0.5825763831544178,7.382
DE_Pump_Hydro_Open,2050,24,1,1,0.5,1.644
FR_Hydro_Reservoir,2050,24,1,1,0.5,8.785
FR_Pump_Hydro_Closed,2050,24,1,1,0.5,1.95
FR_Pump_Hydro_Open,2050,24,1,1,0.5,1.85
UK_Battery,2050,1,1,1,,0.0
UK_Pump_Hydro_Closed,2050,24,1,1,0.5,2.744
IE_Battery,2050,2,1,1,,0.0
IE_Pump_Hydro_Closed,2050,24,1,1,0.5,0.292
CH_Battery,2050,4,1,1,,0.0
CH_Pump_Hydro_Closed,2050,24,1,1,0.5,2.17
CH_Pump_Hydro_Open,2050,24,1,1,0.6,10.732
AT_Hydro_Reservoir,2050,24,1,1,0.5,2.489
AT_Battery,2050,4,1,1,,0.0
AT_Pump_Hydro_Closed,2050,24,1,1,0.5,0.3
AT_Pump_Hydro_Open,2050,24,1,1,0.5,5.793
LU_Pump_Hydro_Closed,2050,24,1,1,0.5,1.31
CZ_Hydro_Reservoir,2050,24,1,1,0.5,0.698
CZ_Battery,2050,4,1,1,,0.0
CZ_Pump_Hydro_Closed,2050,24,1,1,0.5,0.688
CZ_Pump_Hydro_Open,2050,24,1,1,0.5,0.47
PL_Hydro_Reservoir,2050,24,1,1,0.5,0.272
PL_Pump_Hydro_Closed,2050,24,1,1,0.5,1.323
PL_Pump_Hydro_Open,2050,24,1,1,0.5,0.216
SE_Hydro_Reservoir,2050,24,1,1,0.5,16.447
SE_Battery,2050,4,1,1,,0.0
NO_Pump_Hydro_Open,2050,24,1,1,0.5,0.135
NO_Hydro_Reservoir,2050,24,1,1,0.6000000000000001,38.048
ES_Hydro_Reservoir,2050,24,1,1,0.5,10.972
ES_Battery,2050,3,1,1,,0.0
ES_Pump_Hydro_Closed,2050,24,1,1,0.5,6.866
ES_Pump_Hydro_Open,2050,24,1,1,0.5,2.683
PT_Hydro_Reservoir,2050,24,1,1,0.5,3.766
PT_Pump_Hydro_Open,2050,24,1,1,0.5,3.832
IT_Hydro_Reservoir,2050,24,1,1,0.5,9.576
IT_Battery,2050,4,1,1,,0.0
IT_Pump_Hydro_Closed,2050,24,1,1,0.5,6.2
IT_Pump_Hydro_Open,2050,24,1,1,0.5,3.254
SI_Battery,2050,4,1,1,,0.0
SI_Pump_Hydro_Closed,2050,24,1,1,0.5,0.18
HU_Battery,2050,4,1,1,,0.0
SK_Hydro_Reservoir,2050,24,1,1,0.5999884004175849,0.021
SK_Pump_Hydro_Closed,2050,24,1,1,0.5,0.65
SK_Pump_Hydro_Open,2050,24,1,1,0.5,0.276
LT_Battery,2050,4,1,1,,0.0
LT_Pump_Hydro_Closed,2050,24,1,1,0.5,0.93
FI_Hydro_Reservoir,2050,24,1,1,0.5,3.237
FI_Battery,2050,4,1,1,,0.0
HR_Hydro_Reservoir,2050,24,1,1,0.5,1.941
HR_Battery,2050,4,1,1,,0.0
HR_Pump_Hydro_Open,2050,24,1,1,0.5,0.281
GR_Hydro_Reservoir,2050,24,1,1,0.5,2.744
GR_Battery,2050,4,1,1,,0.0
GR_Pump_Hydro_Closed,2050,24,1,0,0.0,0.68
GR_Pump_Hydro_Open,2050,24,1,1,0.5,0.699
BG_Hydro_Reservoir,2050,24,1,1,0.5,1.281
BG_Pump_Hydro_Closed,2050,24,1,1,0.5,0.864
BG_Pump_Hydro_Open,2050,24,1,1,0.5,0.535
RO_Hydro_Reservoir,2050,24,1,1,0.5,2.579
RO_Battery,2050,4,1,1,,0.0
RO_Pump_Hydro_Open,2050,24,1,1,0.5,0.839
CY_Battery,2050,4,1,1,,0.0
DK_Battery,2050,1,1,1,,0.0
BG_Battery,2050,4,1,1,,0.0
FR_Battery,2050,2,1,1,,0.0
LV_Battery,2050,4,1,1,,0.0
PT_Battery,2050,4,1,1,,0.0
SK_Battery,2050,4,1,1,,0.0
