from_asset,to_asset,carrier
NL_E_ENS,NL_E_Demand,electricity
NL_Wind_Onshore,NL_E_Demand,electricity
NL_Wind_Offshore,NL_E_Demand,electricity
NL_Solar,NL_E_Demand,electricity
NL_E_Demand,NL_Battery,electricity
NL_Battery,NL_E_Demand,electricity
NL_Gas,NL_E_Demand,electricity
NL_OCGT,NL_E_Demand,electricity
BE_E_ENS,BE_E_Demand,electricity
BE_Wind_Onshore,BE_E_Demand,electricity
BE_Wind_Offshore,BE_E_Demand,electricity
BE_Solar,BE_E_Demand,electricity
BE_Hydro,BE_E_Demand,electricity
BE_E_Demand,BE_Battery,electricity
BE_Battery,BE_E_Demand,electricity
BE_Gas,BE_E_Demand,electricity
BE_OCGT,BE_E_Demand,electricity
DE_E_ENS,DE_E_Demand,electricity
DE_Wind_Onshore,DE_E_Demand,electricity
DE_Wind_Offshore,DE_E_Demand,electricity
DE_Solar,DE_E_Demand,electricity
DE_Hydro,DE_E_Demand,electricity
DE_Hydro_Reservoir,DE_E_Demand,electricity
DE_E_Demand,DE_Battery,electricity
DE_Battery,DE_E_Demand,electricity
DE_E_Demand,DE_Pump_Hydro_Closed,electricity
DE_Pump_Hydro_Closed,DE_E_Demand,electricity
DE_E_Demand,DE_Pump_Hydro_Open,electricity
DE_Pump_Hydro_Open,DE_E_Demand,electricity
DE_Coal,DE_E_Demand,electricity
DE_Gas,DE_E_Demand,electricity
DE_OCGT,DE_E_Demand,electricity
FR_E_ENS,FR_E_Demand,electricity
FR_Wind_Onshore,FR_E_Demand,electricity
FR_Wind_Offshore,FR_E_Demand,electricity
FR_Solar,FR_E_Demand,electricity
FR_Hydro,FR_E_Demand,electricity
FR_Hydro_Reservoir,FR_E_Demand,electricity
FR_Nuclear,FR_E_Demand,electricity
FR_E_Demand,FR_Pump_Hydro_Closed,electricity
FR_Pump_Hydro_Closed,FR_E_Demand,electricity
FR_E_Demand,FR_Pump_Hydro_Open,electricity
FR_Pump_Hydro_Open,FR_E_Demand,electricity
FR_Gas,FR_E_Demand,electricity
FR_OCGT,FR_E_Demand,electricity
DK_E_ENS,DK_E_Demand,electricity
DK_Wind_Onshore,DK_E_Demand,electricity
DK_Wind_Offshore,DK_E_Demand,electricity
DK_Solar,DK_E_Demand,electricity
DK_Gas,DK_E_Demand,electricity
DK_OCGT,DK_E_Demand,electricity
UK_E_ENS,UK_E_Demand,electricity
UK_Wind_Onshore,UK_E_Demand,electricity
UK_Wind_Offshore,UK_E_Demand,electricity
UK_Solar,UK_E_Demand,electricity
UK_Hydro,UK_E_Demand,electricity
UK_Nuclear,UK_E_Demand,electricity
UK_E_Demand,UK_Battery,electricity
UK_Battery,UK_E_Demand,electricity
UK_E_Demand,UK_Pump_Hydro_Closed,electricity
UK_Pump_Hydro_Closed,UK_E_Demand,electricity
UK_Gas,UK_E_Demand,electricity
UK_OCGT,UK_E_Demand,electricity
IE_E_ENS,IE_E_Demand,electricity
IE_Wind_Onshore,IE_E_Demand,electricity
IE_Wind_Offshore,IE_E_Demand,electricity
IE_Solar,IE_E_Demand,electricity
IE_Hydro,IE_E_Demand,electricity
IE_E_Demand,IE_Battery,electricity
IE_Battery,IE_E_Demand,electricity
IE_E_Demand,IE_Pump_Hydro_Closed,electricity
IE_Pump_Hydro_Closed,IE_E_Demand,electricity
IE_Gas,IE_E_Demand,electricity
IE_OCGT,IE_E_Demand,electricity
CH_E_ENS,CH_E_Demand,electricity
CH_Wind_Onshore,CH_E_Demand,electricity
CH_Solar,CH_E_Demand,electricity
CH_Hydro,CH_E_Demand,electricity
CH_Nuclear,CH_E_Demand,electricity
CH_E_Demand,CH_Battery,electricity
CH_Battery,CH_E_Demand,electricity
CH_E_Demand,CH_Pump_Hydro_Closed,electricity
CH_Pump_Hydro_Closed,CH_E_Demand,electricity
CH_E_Demand,CH_Pump_Hydro_Open,electricity
CH_Pump_Hydro_Open,CH_E_Demand,electricity
AT_E_ENS,AT_E_Demand,electricity
AT_Wind_Onshore,AT_E_Demand,electricity
AT_Solar,AT_E_Demand,electricity
AT_Hydro,AT_E_Demand,electricity
AT_Hydro_Reservoir,AT_E_Demand,electricity
AT_E_Demand,AT_Battery,electricity
AT_Battery,AT_E_Demand,electricity
AT_E_Demand,AT_Pump_Hydro_Closed,electricity
AT_Pump_Hydro_Closed,AT_E_Demand,electricity
AT_E_Demand,AT_Pump_Hydro_Open,electricity
AT_Pump_Hydro_Open,AT_E_Demand,electricity
AT_Gas,AT_E_Demand,electricity
LU_E_ENS,LU_E_Demand,electricity
LU_Wind_Onshore,LU_E_Demand,electricity
LU_Solar,LU_E_Demand,electricity
LU_Hydro,LU_E_Demand,electricity
LU_E_Demand,LU_Pump_Hydro_Closed,electricity
LU_Pump_Hydro_Closed,LU_E_Demand,electricity
CZ_E_ENS,CZ_E_Demand,electricity
CZ_Wind_Onshore,CZ_E_Demand,electricity
CZ_Solar,CZ_E_Demand,electricity
CZ_Hydro,CZ_E_Demand,electricity
CZ_Hydro_Reservoir,CZ_E_Demand,electricity
CZ_Nuclear,CZ_E_Demand,electricity
CZ_E_Demand,CZ_Battery,electricity
CZ_Battery,CZ_E_Demand,electricity
CZ_E_Demand,CZ_Pump_Hydro_Closed,electricity
CZ_Pump_Hydro_Closed,CZ_E_Demand,electricity
CZ_E_Demand,CZ_Pump_Hydro_Open,electricity
CZ_Pump_Hydro_Open,CZ_E_Demand,electricity
CZ_Coal,CZ_E_Demand,electricity
CZ_Gas,CZ_E_Demand,electricity
PL_E_ENS,PL_E_Demand,electricity
PL_Wind_Onshore,PL_E_Demand,electricity
PL_Wind_Offshore,PL_E_Demand,electricity
PL_Solar,PL_E_Demand,electricity
PL_Hydro,PL_E_Demand,electricity
PL_Hydro_Reservoir,PL_E_Demand,electricity
PL_E_Demand,PL_Pump_Hydro_Closed,electricity
PL_Pump_Hydro_Closed,PL_E_Demand,electricity
PL_E_Demand,PL_Pump_Hydro_Open,electricity
PL_Pump_Hydro_Open,PL_E_Demand,electricity
PL_Coal,PL_E_Demand,electricity
PL_Gas,PL_E_Demand,electricity
SE_E_ENS,SE_E_Demand,electricity
SE_Wind_Onshore,SE_E_Demand,electricity
SE_Wind_Offshore,SE_E_Demand,electricity
SE_Solar,SE_E_Demand,electricity
SE_Hydro_Reservoir,SE_E_Demand,electricity
SE_Nuclear,SE_E_Demand,electricity
SE_E_Demand,SE_Battery,electricity
SE_Battery,SE_E_Demand,electricity
SE_Gas,SE_E_Demand,electricity
SE_OCGT,SE_E_Demand,electricity
NO_E_ENS,NO_E_Demand,electricity
