index,asset,year,rep_period,time_block_start,time_block_end
1,ccgt,2030,1,1,1
2,ccgt,2030,1,2,2
3,ccgt,2030,1,3,3
4,ccgt,2030,1,4,4
5,ccgt,2030,1,5,5
6,ccgt,2030,1,6,6
7,ccgt,2030,1,7,7
8,ccgt,2030,1,8,8
9,ccgt,2030,1,9,9
10,ccgt,2030,1,10,10
11,ccgt,2030,1,11,11
12,ccgt,2030,1,12,12
13,ccgt,2030,1,13,13
14,ccgt,2030,1,14,14
15,ccgt,2030,1,15,15
16,ccgt,2030,1,16,16
17,ccgt,2030,1,17,17
18,ccgt,2030,1,18,18
19,ccgt,2030,1,19,19
20,ccgt,2030,1,20,20
21,ccgt,2030,1,21,21
22,ccgt,2030,1,22,22
23,ccgt,2030,1,23,23
24,ccgt,2030,1,24,24
25,ccgt,2030,2,1,1
26,ccgt,2030,2,2,2
27,ccgt,2030,2,3,3
28,ccgt,2030,2,4,4
29,ccgt,2030,2,5,5
30,ccgt,2030,2,6,6
31,ccgt,2030,2,7,7
32,ccgt,2030,2,8,8
33,ccgt,2030,2,9,9
34,ccgt,2030,2,10,10
35,ccgt,2030,2,11,11
36,ccgt,2030,2,12,12
37,ccgt,2030,2,13,13
38,ccgt,2030,2,14,14
39,ccgt,2030,2,15,15
40,ccgt,2030,2,16,16
41,ccgt,2030,2,17,17
42,ccgt,2030,2,18,18
43,ccgt,2030,2,19,19
44,ccgt,2030,2,20,20
45,ccgt,2030,2,21,21
46,ccgt,2030,2,22,22
47,ccgt,2030,2,23,23
48,ccgt,2030,2,24,24
49,ccgt,2030,3,1,1
50,ccgt,2030,3,2,2
51,ccgt,2030,3,3,3
52,ccgt,2030,3,4,4
53,ccgt,2030,3,5,5
54,ccgt,2030,3,6,6
55,ccgt,2030,3,7,7
56,ccgt,2030,3,8,8
57,ccgt,2030,3,9,9
58,ccgt,2030,3,10,10
59,ccgt,2030,3,11,11
60,ccgt,2030,3,12,12
61,ccgt,2030,3,13,13
62,ccgt,2030,3,14,14
63,ccgt,2030,3,15,15
64,ccgt,2030,3,16,16
65,ccgt,2030,3,17,17
66,ccgt,2030,3,18,18
67,ccgt,2030,3,19,19
68,ccgt,2030,3,20,20
69,ccgt,2030,3,21,21
70,ccgt,2030,3,22,22
71,ccgt,2030,3,23,23
72,ccgt,2030,3,24,24
73,ens,2030,1,1,1
74,ens,2030,1,2,2
75,ens,2030,1,3,3
76,ens,2030,1,4,4
77,ens,2030,1,5,5
78,ens,2030,1,6,6
79,ens,2030,1,7,7
80,ens,2030,1,8,8
81,ens,2030,1,9,9
82,ens,2030,1,10,10
83,ens,2030,1,11,11
84,ens,2030,1,12,12
85,ens,2030,1,13,13
86,ens,2030,1,14,14
87,ens,2030,1,15,15
88,ens,2030,1,16,16
89,ens,2030,1,17,17
90,ens,2030,1,18,18
91,ens,2030,1,19,19
92,ens,2030,1,20,20
93,ens,2030,1,21,21
94,ens,2030,1,22,22
95,ens,2030,1,23,23
96,ens,2030,1,24,24
97,ens,2030,2,1,1
98,ens,2030,2,2,2
99,ens,2030,2,3,3
100,ens,2030,2,4,4
101,ens,2030,2,5,5
102,ens,2030,2,6,6
103,ens,2030,2,7,7
104,ens,2030,2,8,8
105,ens,2030,2,9,9
106,ens,2030,2,10,10
107,ens,2030,2,11,11
108,ens,2030,2,12,12
109,ens,2030,2,13,13
110,ens,2030,2,14,14
111,ens,2030,2,15,15
112,ens,2030,2,16,16
113,ens,2030,2,17,17
114,ens,2030,2,18,18
115,ens,2030,2,19,19
116,ens,2030,2,20,20
117,ens,2030,2,21,21
118,ens,2030,2,22,22
119,ens,2030,2,23,23
120,ens,2030,2,24,24
121,ens,2030,3,1,1
122,ens,2030,3,2,2
123,ens,2030,3,3,3
124,ens,2030,3,4,4
125,ens,2030,3,5,5
126,ens,2030,3,6,6
127,ens,2030,3,7,7
128,ens,2030,3,8,8
129,ens,2030,3,9,9
130,ens,2030,3,10,10
131,ens,2030,3,11,11
132,ens,2030,3,12,12
133,ens,2030,3,13,13
134,ens,2030,3,14,14
135,ens,2030,3,15,15
136,ens,2030,3,16,16
137,ens,2030,3,17,17
138,ens,2030,3,18,18
139,ens,2030,3,19,19
140,ens,2030,3,20,20
141,ens,2030,3,21,21
142,ens,2030,3,22,22
143,ens,2030,3,23,23
144,ens,2030,3,24,24
145,ocgt,2030,1,1,1
146,ocgt,2030,1,2,2
147,ocgt,2030,1,3,3
148,ocgt,2030,1,4,4
149,ocgt,2030,1,5,5
150,ocgt,2030,1,6,6
151,ocgt,2030,1,7,7
152,ocgt,2030,1,8,8
153,ocgt,2030,1,9,9
154,ocgt,2030,1,10,10
155,ocgt,2030,1,11,11
156,ocgt,2030,1,12,12
157,ocgt,2030,1,13,13
158,ocgt,2030,1,14,14
159,ocgt,2030,1,15,15
160,ocgt,2030,1,16,16
161,ocgt,2030,1,17,17
162,ocgt,2030,1,18,18
163,ocgt,2030,1,19,19
164,ocgt,2030,1,20,20
165,ocgt,2030,1,21,21
166,ocgt,2030,1,22,22
167,ocgt,2030,1,23,23
168,ocgt,2030,1,24,24
169,ocgt,2030,2,1,1
170,ocgt,2030,2,2,2
171,ocgt,2030,2,3,3
172,ocgt,2030,2,4,4
173,ocgt,2030,2,5,5
174,ocgt,2030,2,6,6
175,ocgt,2030,2,7,7
176,ocgt,2030,2,8,8
177,ocgt,2030,2,9,9
178,ocgt,2030,2,10,10
179,ocgt,2030,2,11,11
180,ocgt,2030,2,12,12
181,ocgt,2030,2,13,13
182,ocgt,2030,2,14,14
183,ocgt,2030,2,15,15
184,ocgt,2030,2,16,16
185,ocgt,2030,2,17,17
186,ocgt,2030,2,18,18
187,ocgt,2030,2,19,19
188,ocgt,2030,2,20,20
189,ocgt,2030,2,21,21
190,ocgt,2030,2,22,22
191,ocgt,2030,2,23,23
192,ocgt,2030,2,24,24
193,ocgt,2030,3,1,1
194,ocgt,2030,3,2,2
195,ocgt,2030,3,3,3
196,ocgt,2030,3,4,4
197,ocgt,2030,3,5,5
198,ocgt,2030,3,6,6
199,ocgt,2030,3,7,7
200,ocgt,2030,3,8,8
201,ocgt,2030,3,9,9
202,ocgt,2030,3,10,10
203,ocgt,2030,3,11,11
204,ocgt,2030,3,12,12
205,ocgt,2030,3,13,13
206,ocgt,2030,3,14,14
207,ocgt,2030,3,15,15
208,ocgt,2030,3,16,16
209,ocgt,2030,3,17,17
210,ocgt,2030,3,18,18
211,ocgt,2030,3,19,19
212,ocgt,2030,3,20,20
213,ocgt,2030,3,21,21
214,ocgt,2030,3,22,22
215,ocgt,2030,3,23,23
216,ocgt,2030,3,24,24
217,solar,2030,1,1,1
218,solar,2030,1,2,2
219,solar,2030,1,3,3
220,solar,2030,1,4,4
221,solar,2030,1,5,5
222,solar,2030,1,6,6
223,solar,2030,1,7,7
224,solar,2030,1,8,8
225,solar,2030,1,9,9
226,solar,2030,1,10,10
227,solar,2030,1,11,11
228,solar,2030,1,12,12
229,solar,2030,1,13,13
230,solar,2030,1,14,14
231,solar,2030,1,15,15
232,solar,2030,1,16,16
233,solar,2030,1,17,17
234,solar,2030,1,18,18
235,solar,2030,1,19,19
236,solar,2030,1,20,20
237,solar,2030,1,21,21
238,solar,2030,1,22,22
239,solar,2030,1,23,23
240,solar,2030,1,24,24
241,solar,2030,2,1,1
242,solar,2030,2,2,2
243,solar,2030,2,3,3
244,solar,2030,2,4,4
245,solar,2030,2,5,5
