id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_storage_rep_period,dual_max_storage_level_rep_period_limit,dual_min_storage_level_rep_period_limit
1,AT_Battery,2050,1,1,4,-1075.6674253581555,0.0,0.0
2,AT_Battery,2050,1,5,8,-1075.6674253581557,0.0,0.0
3,AT_Battery,2050,1,9,12,-0.0,0.0,0.0
4,AT_Battery,2050,1,13,16,-0.0,-823.5578725398383,0.0
5,AT_Battery,2050,1,17,20,-823.5578725398383,-252.10955281831718,0.0
6,AT_Battery,2050,1,21,24,-1075.6674253581555,-0.0,0.0
7,AT_Battery,2050,2,1,4,-4097.976831499415,0.0,0.0
8,AT_Battery,2050,2,5,8,-4097.976831499415,0.0,0.0
9,AT_Battery,2050,2,9,12,-3137.5135116167385,0.0,0.0
10,AT_Battery,2050,2,13,16,-3089.124828437648,-1008.8520030617674,0.0
11,AT_Battery,2050,2,17,20,-4097.976831499415,-0.0,0.0
12,AT_Battery,2050,2,21,24,-4097.976831499415,0.0,0.0
13,AT_Battery,2050,3,1,4,-0.0,0.0,0.0
14,AT_Battery,2050,3,5,8,-0.0,0.0,0.0
15,AT_Battery,2050,3,9,12,-0.0,0.0,0.0
16,AT_Battery,2050,3,13,16,-0.0,2.354632044898608e-12,0.0
17,AT_Battery,2050,3,17,20,2.354632044898608e-12,0.0,0.0
18,AT_Battery,2050,3,21,24,-0.0,0.0,0.0
19,BE_Battery,2050,1,1,1,-1075.6674253581557,0.0,0.0
20,BE_Battery,2050,1,2,2,-1075.6674253581557,0.0,0.0
21,BE_Battery,2050,1,3,3,-1075.6674253581557,0.0,0.0
22,BE_Battery,2050,1,4,4,-1075.6674253581557,0.0,0.0
23,BE_Battery,2050,1,5,5,-1075.6674253581557,0.0,0.0
24,BE_Battery,2050,1,6,6,-1075.6674253581557,0.0,0.0
25,BE_Battery,2050,1,7,7,-1075.6674253581557,0.0,0.0
26,BE_Battery,2050,1,8,8,-1075.6674253581557,0.0,0.0
27,BE_Battery,2050,1,9,9,-0.0,0.0,0.0
28,BE_Battery,2050,1,10,10,-0.0,0.0,0.0
29,BE_Battery,2050,1,11,11,-0.0,0.0,0.0
30,BE_Battery,2050,1,12,12,-0.0,0.0,0.0
31,BE_Battery,2050,1,13,13,-0.0,0.0,0.0
32,BE_Battery,2050,1,14,14,-0.0,0.0,0.0
33,BE_Battery,2050,1,15,15,-0.0,0.0,0.0
34,BE_Battery,2050,1,16,16,-0.0,0.0,0.0
35,BE_Battery,2050,1,17,17,-0.0,0.0,0.0
36,BE_Battery,2050,1,18,18,-0.0,-1075.6674253581557,0.0
37,BE_Battery,2050,1,19,19,-1075.6674253581557,0.0,0.0
38,BE_Battery,2050,1,20,20,-1075.6674253581557,0.0,0.0
39,BE_Battery,2050,1,21,21,-1075.6674253581557,0.0,0.0
40,BE_Battery,2050,1,22,22,-1075.6674253581557,0.0,0.0
41,BE_Battery,2050,1,23,23,-1075.6674253581557,0.0,0.0
42,BE_Battery,2050,1,24,24,-1075.6674253581557,0.0,0.0
43,BE_Battery,2050,2,1,1,-4097.976831499415,0.0,0.0
44,BE_Battery,2050,2,2,2,-4097.976831499415,0.0,0.0
45,BE_Battery,2050,2,3,3,-4097.976831499415,0.0,0.0
46,BE_Battery,2050,2,4,4,-4097.976831499415,0.0,0.0
47,BE_Battery,2050,2,5,5,-4097.976831499415,0.0,0.0
48,BE_Battery,2050,2,6,6,-4097.976831499415,0.0,0.0
49,BE_Battery,2050,2,7,7,-4097.976831499415,0.0,0.0
50,BE_Battery,2050,2,8,8,-4097.976831499415,0.0,0.0
51,BE_Battery,2050,2,9,9,-4097.976831499415,0.0,0.0
52,BE_Battery,2050,2,10,10,-4097.976831499415,0.0,0.0
53,BE_Battery,2050,2,11,11,-4097.976831499415,0.0,0.0
54,BE_Battery,2050,2,12,12,-4097.976831499415,0.0,0.0
55,BE_Battery,2050,2,13,13,-4097.976831499415,0.0,0.0
56,BE_Battery,2050,2,14,14,-4097.976831499415,0.0,0.0
57,BE_Battery,2050,2,15,15,-4097.976831499415,0.0,0.0
58,BE_Battery,2050,2,16,16,-4097.976831499415,-0.0,0.0
59,BE_Battery,2050,2,17,17,-4097.976831499415,0.0,0.0
60,BE_Battery,2050,2,18,18,-4097.976831499415,0.0,0.0
61,BE_Battery,2050,2,19,19,-4097.976831499415,0.0,0.0
62,BE_Battery,2050,2,20,20,-4097.976831499415,0.0,0.0
63,BE_Battery,2050,2,21,21,-4097.976831499415,0.0,0.0
64,BE_Battery,2050,2,22,22,-4097.976831499415,0.0,0.0
65,BE_Battery,2050,2,23,23,-4097.976831499415,0.0,0.0
66,BE_Battery,2050,2,24,24,-4097.976831499415,0.0,0.0
67,BE_Battery,2050,3,1,1,-2.2320714212359167e-13,0.0,0.0
68,BE_Battery,2050,3,2,2,-7.142628547954934e-13,0.0,0.0
69,BE_Battery,2050,3,3,3,-7.142628547954934e-13,0.0,0.0
70,BE_Battery,2050,3,4,4,-7.142628547954934e-13,0.0,0.0
71,BE_Battery,2050,3,5,5,-7.142628547954934e-13,0.0,0.0
72,BE_Battery,2050,3,6,6,-7.142628547954934e-13,0.0,0.0
73,BE_Battery,2050,3,7,7,-7.142628547954934e-13,0.0,0.0
