id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
1,AT_E_ENS,2050,1,1,4,0.0
2,AT_E_ENS,2050,1,5,8,0.0
3,AT_E_ENS,2050,1,9,12,0.0
4,AT_E_ENS,2050,1,13,16,0.0
5,AT_E_ENS,2050,1,17,20,0.0
6,AT_E_ENS,2050,1,21,24,0.0
7,AT_E_ENS,2050,2,1,4,0.0
8,AT_E_ENS,2050,2,5,8,0.0
9,AT_E_ENS,2050,2,9,12,0.0
10,AT_E_ENS,2050,2,13,16,0.0
11,AT_E_ENS,2050,2,17,20,0.0
12,AT_E_ENS,2050,2,21,24,0.0
13,AT_E_ENS,2050,3,1,4,0.0
14,AT_E_ENS,2050,3,5,8,0.0
15,AT_E_ENS,2050,3,9,12,0.0
16,AT_E_ENS,2050,3,13,16,0.0
17,AT_E_ENS,2050,3,17,20,0.0
18,AT_E_ENS,2050,3,21,24,0.0
19,AT_Gas,2050,1,1,4,0.0
20,AT_Gas,2050,1,5,8,0.0
21,AT_Gas,2050,1,9,12,0.0
22,AT_Gas,2050,1,13,16,0.0
23,AT_Gas,2050,1,17,20,0.0
24,AT_Gas,2050,1,21,24,0.0
25,AT_Gas,2050,2,1,4,0.0
26,AT_Gas,2050,2,5,8,0.0
27,AT_Gas,2050,2,9,12,0.0
28,AT_Gas,2050,2,13,16,0.0
29,AT_Gas,2050,2,17,20,0.0
30,AT_Gas,2050,2,21,24,0.0
31,AT_Gas,2050,3,1,4,0.0
32,AT_Gas,2050,3,5,8,0.0
33,AT_Gas,2050,3,9,12,0.0
34,AT_Gas,2050,3,13,16,0.0
35,AT_Gas,2050,3,17,20,0.0
36,AT_Gas,2050,3,21,24,0.0
37,AT_Hydro,2050,1,1,4,-4505.413299929447
38,AT_Hydro,2050,1,5,8,-4505.413299929448
39,AT_Hydro,2050,1,9,12,-0.0
40,AT_Hydro,2050,1,13,16,-0.0
41,AT_Hydro,2050,1,17,20,-3449.457057758485
42,AT_Hydro,2050,1,21,24,-4505.413299929447
43,AT_Hydro,2050,2,1,4,-17164.300864919027
44,AT_Hydro,2050,2,5,8,-17164.300864919016
45,AT_Hydro,2050,2,9,12,-13141.417849703617
46,AT_Hydro,2050,2,13,16,-11800.456844631815
47,AT_Hydro,2050,2,17,20,-17164.300864919016
48,AT_Hydro,2050,2,21,24,-17164.300864919016
49,AT_Hydro,2050,3,1,4,-1.3642420526593924e-12
50,AT_Hydro,2050,3,5,8,-0.0
51,AT_Hydro,2050,3,9,12,-0.0
52,AT_Hydro,2050,3,13,16,-0.0
53,AT_Hydro,2050,3,17,20,9.86233317235019e-12
54,AT_Hydro,2050,3,21,24,-0.0
55,AT_Hydro_Reservoir,2050,1,1,4,0.0
56,AT_Hydro_Reservoir,2050,1,5,8,0.0
57,AT_Hydro_Reservoir,2050,1,9,12,0.0
58,AT_Hydro_Reservoir,2050,1,13,16,0.0
59,AT_Hydro_Reservoir,2050,1,17,20,0.0
60,AT_Hydro_Reservoir,2050,1,21,24,0.0
61,AT_Hydro_Reservoir,2050,2,1,4,0.0
62,AT_Hydro_Reservoir,2050,2,5,8,0.0
63,AT_Hydro_Reservoir,2050,2,9,12,0.0
64,AT_Hydro_Reservoir,2050,2,13,16,0.0
65,AT_Hydro_Reservoir,2050,2,17,20,0.0
66,AT_Hydro_Reservoir,2050,2,21,24,-0.0
67,AT_Hydro_Reservoir,2050,3,1,4,0.0
68,AT_Hydro_Reservoir,2050,3,5,8,0.0
69,AT_Hydro_Reservoir,2050,3,9,12,0.0
70,AT_Hydro_Reservoir,2050,3,13,16,0.0
71,AT_Hydro_Reservoir,2050,3,17,20,0.0
72,AT_Hydro_Reservoir,2050,3,21,24,0.0
73,AT_Pump_Hydro_Closed,2050,1,1,4,4.547473508864641e-12
74,AT_Pump_Hydro_Closed,2050,1,5,8,0.0
75,AT_Pump_Hydro_Closed,2050,1,9,12,0.0
76,AT_Pump_Hydro_Closed,2050,1,13,16,0.0
77,AT_Pump_Hydro_Closed,2050,1,17,20,0.0
78,AT_Pump_Hydro_Closed,2050,1,21,24,4.547473508864641e-12
79,AT_Pump_Hydro_Closed,2050,2,1,4,0.0
80,AT_Pump_Hydro_Closed,2050,2,5,8,0.0
81,AT_Pump_Hydro_Closed,2050,2,9,12,0.0
82,AT_Pump_Hydro_Closed,2050,2,13,16,0.0
83,AT_Pump_Hydro_Closed,2050,2,17,20,0.0
84,AT_Pump_Hydro_Closed,2050,2,21,24,1.0913936421275139e-11
85,AT_Pump_Hydro_Closed,2050,3,1,4,0.0
86,AT_Pump_Hydro_Closed,2050,3,5,8,0.0
87,AT_Pump_Hydro_Closed,2050,3,9,12,0.0
88,AT_Pump_Hydro_Closed,2050,3,13,16,0.0
89,AT_Pump_Hydro_Closed,2050,3,17,20,-0.0
90,AT_Pump_Hydro_Closed,2050,3,21,24,0.0
