name,type,technology,lat,lon
NL_E_Balance,hub,Balance,52.1326,5.2913
BE_E_Balance,hub,Balance,50.8503,4.3517
DE_E_Balance,hub,Balance,51.1657,10.4515
FR_E_Balance,hub,Balance,46.6034,1.8883
DK_E_Balance,hub,Balance,56.2639,9.5018
UK_E_Balance,hub,Balance,55.3781,-3.436
IE_E_Balance,hub,Balance,53.1424,-7.6921
CH_E_Balance,hub,Balance,46.8182,8.2275
AT_E_Balance,hub,Balance,47.5162,14.5501
LU_E_Balance,hub,Balance,49.8153,6.1296
CZ_E_Balance,hub,Balance,49.8175,15.473
PL_E_Balance,hub,Balance,51.9194,19.1451
SE_E_Balance,hub,Balance,60.1282,18.6435
NO_E_Balance,hub,Balance,60.472,8.4689
ES_E_Balance,hub,Balance,40.4637,-3.7492
PT_E_Balance,hub,Balance,39.3999,-8.2245
IT_E_Balance,hub,Balance,41.8719,12.5674
MT_E_Balance,hub,Balance,35.9375,14.3754
SI_E_Balance,hub,Balance,46.1512,14.9955
HU_E_Balance,hub,Balance,47.1625,19.5033
SK_E_Balance,hub,Balance,48.669,19.699
LT_E_Balance,hub,Balance,55.1694,23.8813
LV_E_Balance,hub,Balance,56.8796,24.6032
EE_E_Balance,hub,Balance,58.5953,25.0136
FI_E_Balance,hub,Balance,61.9241,25.7482
HR_E_Balance,hub,Balance,45.1,15.2
GR_E_Balance,hub,Balance,39.0742,21.8243
BG_E_Balance,hub,Balance,42.7339,25.4858
RO_E_Balance,hub,Balance,45.9432,24.9668
CY_E_Balance,hub,Balance,35.1264,33.4299
OBZLL_E_Balance,hub,Balance,53.1705,3.5288
