id,from_asset,to_asset,year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,AT_E_Balance,DE_E_Balance,2050,1,1.0,1.0,1,4,-2.0383978827159237
2,AT_E_Balance,DE_E_Balance,2050,1,1.0,1.0,5,8,6.64386764829265
3,AT_E_Balance,DE_E_Balance,2050,1,1.0,1.0,9,12,-11.5
4,AT_E_Balance,DE_E_Balance,2050,1,1.0,1.0,13,16,-11.5
5,AT_E_Balance,DE_E_Balance,2050,1,1.0,1.0,17,20,7.0793868080193505
6,AT_E_Balance,DE_E_Balance,2050,1,1.0,1.0,21,24,11.388785801817587
7,BG_E_Balance,GR_E_Balance,2050,1,1.0,1.0,1,4,-2.4
8,BG_E_Balance,GR_E_Balance,2050,1,1.0,1.0,5,8,-2.4
9,BG_E_Balance,GR_E_Balance,2050,1,1.0,1.0,9,12,-2.4
10,BG_E_Balance,GR_E_Balance,2050,1,1.0,1.0,13,16,-2.4
11,BG_E_Balance,GR_E_Balance,2050,1,1.0,1.0,17,20,-2.4
12,BG_E_Balance,GR_E_Balance,2050,1,1.0,1.0,21,24,-2.4
13,CH_E_Balance,FR_E_Balance,2050,1,1.0,1.0,1,4,-6.5
14,CH_E_Balance,FR_E_Balance,2050,1,1.0,1.0,5,8,-0.220772593539885
15,CH_E_Balance,FR_E_Balance,2050,1,1.0,1.0,9,12,-6.5
16,CH_E_Balance,FR_E_Balance,2050,1,1.0,1.0,13,16,-6.5
17,CH_E_Balance,FR_E_Balance,2050,1,1.0,1.0,17,20,-6.5
18,CH_E_Balance,FR_E_Balance,2050,1,1.0,1.0,21,24,-0.36346898540644146
19,CY_E_Balance,GR_E_Balance,2050,1,1.0,1.0,1,4,-0.9594262333557584
20,CY_E_Balance,GR_E_Balance,2050,1,1.0,1.0,5,8,-1.0
21,CY_E_Balance,GR_E_Balance,2050,1,1.0,1.0,9,12,-1.0
22,CY_E_Balance,GR_E_Balance,2050,1,1.0,1.0,13,16,-1.0
23,CY_E_Balance,GR_E_Balance,2050,1,1.0,1.0,17,20,-1.0
