name,type,capacity,technology,lat,lon
NL_electrolyzer,conversion,16.00456621,electrolyzer,52.1326,5.2913
BE_electrolyzer,conversion,11.11872146,electrolyzer,50.8503,4.3517
DE_electrolyzer,conversion,68.34474886,electrolyzer,51.1657,10.4515
FR_electrolyzer,conversion,6.803652968,electrolyzer,46.6034,1.8883
DK_electrolyzer,conversion,2.305936073,electrolyzer,56.2639,9.5018
UK_electrolyzer,conversion,35.58907422,electrolyzer,55.3781,-3.436
IE_electrolyzer,conversion,2.705479452,electrolyzer,53.1424,-7.6921
CH_electrolyzer,conversion,3.820526568,electrolyzer,46.8182,8.2275
AT_electrolyzer,conversion,5.730593607,electrolyzer,47.5162,14.5501
LU_electrolyzer,conversion,0.51369863,electrolyzer,49.8153,6.1296
CZ_electrolyzer,conversion,4.703196347,electrolyzer,49.8175,15.473
PL_electrolyzer,conversion,14.94292237,electrolyzer,51.9194,19.1451
SE_electrolyzer,conversion,8.664383562,electrolyzer,60.1282,18.6435
NO_electrolyzer,conversion,9.032895165,electrolyzer,60.472,8.4689
ES_electrolyzer,conversion,20.97031963,electrolyzer,40.4637,-3.7492
PT_electrolyzer,conversion,3.515981735,electrolyzer,39.3999,-8.2245
IT_electrolyzer,conversion,16.66666667,electrolyzer,41.8719,12.5674
MT_electrolyzer,conversion,0.068493151,electrolyzer,35.9375,14.3754
SI_electrolyzer,conversion,0.650684932,electrolyzer,46.1512,14.9955
HU_electrolyzer,conversion,4.212328767,electrolyzer,47.1625,19.5033
SK_electrolyzer,conversion,2.716894977,electrolyzer,48.669,19.699
LT_electrolyzer,conversion,2.066210046,electrolyzer,55.1694,23.8813
LV_electrolyzer,conversion,0.308219178,electrolyzer,56.8796,24.6032
EE_electrolyzer,conversion,0.194063927,electrolyzer,58.5953,25.0136
FI_electrolyzer,conversion,5.410958904,electrolyzer,61.9241,25.7482
HR_electrolyzer,conversion,0.924657534,electrolyzer,45.1,15.2
GR_electrolyzer,conversion,6.575342466,electrolyzer,39.0742,21.8243
BG_electrolyzer,conversion,1.51826484,electrolyzer,42.7339,25.4858
RO_electrolyzer,conversion,4.897260274,electrolyzer,45.9432,24.9668
CY_electrolyzer,conversion,0.285388128,electrolyzer,35.1264,33.4299
OBZLL_electrolyzer,conversion,0,electrolyzer,53.1705,3.5288
