from_asset,to_asset,year,initial_export_units,initial_import_units
NL_E_Balance,BE_E_Balance,2050,6.4,6.4
DE_E_Balance,NL_E_Balance,2050,8,8
DE_E_Balance,BE_E_Balance,2050,4,4
FR_E_Balance,DE_E_Balance,2050,6.8,6.8
FR_E_Balance,BE_E_Balance,2050,7.3,5.8
DK_E_Balance,DE_E_Balance,2050,9.1,9.1
DK_E_Balance,NL_E_Balance,2050,2.7,2.7
UK_E_Balance,BE_E_Balance,2050,4.4,4.4
UK_E_Balance,DK_E_Balance,2050,2.8,2.8
UK_E_Balance,FR_E_Balance,2050,8.15,8.15
UK_E_Balance,NL_E_Balance,2050,3,3
IE_E_Balance,UK_E_Balance,2050,3.95,3.95
IE_E_Balance,FR_E_Balance,2050,2.1,2.1
CH_E_Balance,DE_E_Balance,2050,4.5,5
CH_E_Balance,FR_E_Balance,2050,4.2,6.5
AT_E_Balance,CH_E_Balance,2050,2.2,2.2
AT_E_Balance,DE_E_Balance,2050,11.5,11.5
LU_E_Balance,BE_E_Balance,2050,1.18,1.68
LU_E_Balance,DE_E_Balance,2050,3.7,3.7
LU_E_Balance,FR_E_Balance,2050,0,0.38
CZ_E_Balance,AT_E_Balance,2050,2.4,2.4
CZ_E_Balance,DE_E_Balance,2050,5.5,5.6
PL_E_Balance,DK_E_Balance,2050,0.6,0.6
PL_E_Balance,CZ_E_Balance,2050,2.8,2.6
PL_E_Balance,DE_E_Balance,2050,7,6
SE_E_Balance,DK_E_Balance,2050,7.715,8.115
SE_E_Balance,PL_E_Balance,2050,1.6,1.6
SE_E_Balance,DE_E_Balance,2050,5.015,5.015
NO_E_Balance,DK_E_Balance,2050,3.632,3.362
NO_E_Balance,NL_E_Balance,2050,2.7,2.7
NO_E_Balance,DE_E_Balance,2050,3.4,3.4
NO_E_Balance,SE_E_Balance,2050,8.695,8.995
NO_E_Balance,UK_E_Balance,2050,3.4,3.4
ES_E_Balance,FR_E_Balance,2050,11,11
PT_E_Balance,ES_E_Balance,2050,5.5,6.2
IT_E_Balance,FR_E_Balance,2050,4.16,6.485
IT_E_Balance,CH_E_Balance,2050,6.11,8.772
IT_E_Balance,AT_E_Balance,2050,2.345,2.525
MT_E_Balance,IT_E_Balance,2050,0.225,0.225
SI_E_Balance,AT_E_Balance,2050,2.95,2.95
SI_E_Balance,IT_E_Balance,2050,2.153,2.08
HU_E_Balance,AT_E_Balance,2050,2.8,2.8
HU_E_Balance,SI_E_Balance,2050,3.2,3.2
SK_E_Balance,CZ_E_Balance,2050,2.6,3.3
SK_E_Balance,HU_E_Balance,2050,4.513,3.8
SK_E_Balance,PL_E_Balance,2050,2.818,2.781
LT_E_Balance,SE_E_Balance,2050,2.3,2.3
LT_E_Balance,PL_E_Balance,2050,0.7,0.7
LV_E_Balance,LT_E_Balance,2050,2.45,2.45
EE_E_Balance,LV_E_Balance,2050,3.95,3.879
FI_E_Balance,EE_E_Balance,2050,3.116,3.116
FI_E_Balance,SE_E_Balance,2050,12.1,12
HR_E_Balance,HU_E_Balance,2050,1.8,2
HR_E_Balance,SI_E_Balance,2050,3.5,3.5
GR_E_Balance,IT_E_Balance,2050,2.5,2.5
BG_E_Balance,GR_E_Balance,2050,2.7,2.4
RO_E_Balance,BG_E_Balance,2050,3.19,3.19
RO_E_Balance,HU_E_Balance,2050,6.175,7.027
CY_E_Balance,GR_E_Balance,2050,1,1
OBZLL_E_Balance,NL_E_Balance,2050,2,2
OBZLL_E_Balance,UK_E_Balance,2050,1.8,1.8
