asset,type,capacity,vintage_method,investment_integer,technical_lifetime,discount_rate,capacity_storage_energy,use_inter_period_constraints,consumer_balance_sense,economic_lifetime,energy_to_power_ratio,investment_integer_storage_energy,max_ramp_down,max_ramp_up,min_operating_point,ramping,unit_commitment_integer,use_binary_storage_method,storage_method_energy,unit_commitment,minimum_down_time,minimum_up_time,inter_period_storage_level_bounds
ccgt,producer,0.8,aggregated,false,25,0.05,0.0,false,==,20,0.0,false,0.0,0.0,0.0,false,false,,none,none,1,1,inter_period_only
e_demand,consumer,0.0,aggregated,false,25,0.05,0.0,false,==,20,0.0,false,0.0,0.0,0.0,false,false,,none,none,1,1,inter_period_only
ens,producer,2.0,aggregated,false,25,0.05,0.0,false,==,20,0.0,false,0.0,0.0,0.0,false,false,,none,none,1,1,inter_period_only
ocgt,producer,0.1,aggregated,false,25,0.05,0.0,false,==,20,0.0,false,0.0,0.0,0.0,false,false,,none,none,1,1,inter_period_only
solar,producer,0.5,aggregated,false,25,0.05,0.0,false,==,20,0.0,false,0.0,0.0,0.0,false,false,,none,none,1,1,inter_period_only
wind,producer,0.4,aggregated,false,25,0.05,0.0,false,==,20,0.0,false,0.0,0.0,0.0,false,false,,none,none,1,1,inter_period_only
electrolizer,conversion,0.1,aggregated,false,25,0.05,0.0,false,==,20,0.0,false,0.0,0.0,0.0,false,false,,none,none,1,1,inter_period_only
h2_demand,consumer,0.1,aggregated,false,25,0.05,0.0,false,==,20,0.0,false,0.0,0.0,0.0,false,false,,none,none,1,1,inter_period_only
smr_ccs,producer,0.5,aggregated,false,25,0.05,0.0,false,==,20,0.0,false,0.0,0.0,0.0,false,false,,none,none,1,1,inter_period_only
wind_offshore,producer,0.4,aggregated,false,25,0.05,0.0,false,==,20,0.0,false,0.0,0.0,0.0,false,false,,none,none,1,1,inter_period_only
battery,storage,0.05,aggregated,false,25,0.05,0.1,false,==,20,2.0,false,0.0,0.0,0.0,false,false,,use_fixed_energy_to_power_ratio,none,1,1,inter_period_only
h2_storage,storage,0.1,aggregated,false,25,0.05,16.8,true,==,20,0.0,false,0.0,0.0,0.0,false,false,,none,none,1,1,inter_period_only
hydro_reservoir,storage,0.1,aggregated,false,25,0.05,403.2,true,==,20,0.0,false,0.0,0.0,0.0,false,false,,none,none,1,1,inter_period_only
spillage,consumer,0.0,aggregated,false,25,0.05,0.0,false,>=,20,0.0,false,0.0,0.0,0.0,false,false,,none,none,1,1,inter_period_only
