from_asset,to_asset,carrier,is_transport,capacity
NL_E_Demand,BE_E_Demand,electricity,TRUE,1
DE_E_Demand,NL_E_Demand,electricity,TRUE,1
DE_E_Demand,BE_E_Demand,electricity,TRUE,1
FR_E_Demand,DE_E_Demand,electricity,TRUE,1
FR_E_Demand,BE_E_Demand,electricity,TRUE,1
DK_E_Demand,DE_E_Demand,electricity,TRUE,1
DK_E_Demand,NL_E_Demand,electricity,TRUE,1
UK_E_Demand,BE_E_Demand,electricity,TRUE,1
UK_E_Demand,DK_E_Demand,electricity,TRUE,1
UK_E_Demand,FR_E_Demand,electricity,TRUE,1
UK_E_Demand,NL_E_Demand,electricity,TRUE,1
IE_E_Demand,UK_E_Demand,electricity,TRUE,1
IE_E_Demand,FR_E_Demand,electricity,TRUE,1
CH_E_Demand,DE_E_Demand,electricity,TRUE,1
CH_E_Demand,FR_E_Demand,electricity,TRUE,1
AT_E_Demand,CH_E_Demand,electricity,TRUE,1
AT_E_Demand,DE_E_Demand,electricity,TRUE,1
LU_E_Demand,BE_E_Demand,electricity,TRUE,1
LU_E_Demand,DE_E_Demand,electricity,TRUE,1
LU_E_Demand,FR_E_Demand,electricity,TRUE,1
CZ_E_Demand,AT_E_Demand,electricity,TRUE,1
CZ_E_Demand,DE_E_Demand,electricity,TRUE,1
PL_E_Demand,DK_E_Demand,electricity,TRUE,1
PL_E_Demand,CZ_E_Demand,electricity,TRUE,1
PL_E_Demand,DE_E_Demand,electricity,TRUE,1
SE_E_Demand,DK_E_Demand,electricity,TRUE,1
SE_E_Demand,PL_E_Demand,electricity,TRUE,1
SE_E_Demand,DE_E_Demand,electricity,TRUE,1
NO_E_Demand,DK_E_Demand,electricity,TRUE,1
NO_E_Demand,NL_E_Demand,electricity,TRUE,1
NO_E_Demand,DE_E_Demand,electricity,TRUE,1
NO_E_Demand,SE_E_Demand,electricity,TRUE,1
NO_E_Demand,UK_E_Demand,electricity,TRUE,1
ES_E_Demand,FR_E_Demand,electricity,TRUE,1
PT_E_Demand,ES_E_Demand,electricity,TRUE,1
IT_E_Demand,FR_E_Demand,electricity,TRUE,1
IT_E_Demand,CH_E_Demand,electricity,TRUE,1
IT_E_Demand,AT_E_Demand,electricity,TRUE,1
MT_E_Demand,IT_E_Demand,electricity,TRUE,1
SI_E_Demand,AT_E_Demand,electricity,TRUE,1
SI_E_Demand,IT_E_Demand,electricity,TRUE,1
HU_E_Demand,AT_E_Demand,electricity,TRUE,1
HU_E_Demand,SI_E_Demand,electricity,TRUE,1
SK_E_Demand,CZ_E_Demand,electricity,TRUE,1
SK_E_Demand,HU_E_Demand,electricity,TRUE,1
SK_E_Demand,PL_E_Demand,electricity,TRUE,1
LT_E_Demand,SE_E_Demand,electricity,TRUE,1
LT_E_Demand,PL_E_Demand,electricity,TRUE,1
LV_E_Demand,LT_E_Demand,electricity,TRUE,1
EE_E_Demand,LV_E_Demand,electricity,TRUE,1
FI_E_Demand,EE_E_Demand,electricity,TRUE,1
FI_E_Demand,SE_E_Demand,electricity,TRUE,1
HR_E_Demand,HU_E_Demand,electricity,TRUE,1
HR_E_Demand,SI_E_Demand,electricity,TRUE,1
GR_E_Demand,IT_E_Demand,electricity,TRUE,1
BG_E_Demand,GR_E_Demand,electricity,TRUE,1
RO_E_Demand,BG_E_Demand,electricity,TRUE,1
RO_E_Demand,HU_E_Demand,electricity,TRUE,1
CY_E_Demand,GR_E_Demand,electricity,TRUE,1
OBZLL_E_Demand,NL_E_Demand,electricity,TRUE,1
OBZLL_E_Demand,UK_E_Demand,electricity,TRUE,1
